pair,k,fecha,period,active,majority_count,n_conf,majority_sign,aligned,outlier,pattern,base,target,corr
US,3,2026-01-07,PRE,True,5,6,-1,ret_SPY,ret_QQQ,QQQ_UP_SPY_DOWN,0.0022373769864915,-0.004238537720703817,0.001703821145702185
US,3,2026-01-28,PRE,True,6,6,1,ret_QQQ,ret_SPY,QQQ_UP_SPY_DOWN,0.0066235527577222,0.006892581145957921,0.006089996916932884
US,3,2026-02-11,PRE,True,5,6,1,ret_QQQ,ret_SPY,QQQ_UP_SPY_DOWN,0.0164503707898982,0.012074625863115918,0.015916814949108887
US,3,2026-02-17,PRE,True,5,6,-1,ret_QQQ,ret_SPY,QQQ_DOWN_SPY_UP,-0.0090373616931474,-0.012581861437976016,-0.009089577713510542
US,3,2026-03-10,PRE,True,6,6,1,ret_QQQ,ret_SPY,QQQ_UP_SPY_DOWN,0.0072058015824623,0.007788155684593123,0.006672245741672985
US,3,2026-04-10,PRE,False,3,6,0,,,QQQ_UP_SPY_DOWN,0.0030898955117829,0.007263603228770288,0.0030898955117829
US,3,2026-04-29,PRE,True,5,6,-1,ret_SPY,ret_QQQ,QQQ_UP_SPY_DOWN,-0.0030437311712348,-0.009965504662854063,-0.003577287012024115
US,3,2026-06-04,PRE,True,5,6,-1,ret_QQQ,ret_SPY,QQQ_DOWN_SPY_UP,-0.0105594515832818,-0.008416192562385127,-0.010611667603644943
US,3,2026-07-08,TRAIN,True,4,6,-1,ret_SPY,ret_QQQ,QQQ_UP_SPY_DOWN,-0.0009709762557685,-0.001746806880565499,-0.0015045320965578154
US,3,2026-07-15,TRAIN,False,3,6,0,,,QQQ_DOWN_SPY_UP,-0.0079551239892028,-0.008458202674095805,-0.0079551239892028
US,3,2026-07-20,TRAIN,True,4,6,1,ret_QQQ,ret_SPY,QQQ_UP_SPY_DOWN,-0.0019211459521712,-0.0022124270089529663,-0.002454701792960515
US,3,2026-07-24,TRAIN,True,6,6,-1,ret_QQQ,ret_SPY,QQQ_DOWN_SPY_UP,-0.0240750202488745,-0.018859849963174136,-0.024127236269237642
US,3,2026-07-27,TRAIN,True,5,6,1,ret_SPY,ret_QQQ,QQQ_DOWN_SPY_UP,-0.0014593460167311,-0.0017900987206110885,-0.0015115620370942423
US,3,2026-07-28,TRAIN,True,4,5,-1,ret_QQQ,ret_SPY,QQQ_DOWN_SPY_UP,-0.0185261285634325,-0.023116331541812585,-0.018578344583795644
US,3,2026-08-19,OOS,True,6,6,1,ret_SPY,ret_QQQ,QQQ_DOWN_SPY_UP,0.0060924215332506,0.00997810334032101,0.006040205512887457
US,4,2026-01-07,PRE,True,5,6,-1,ret_SPY,ret_QQQ,QQQ_UP_SPY_DOWN,0.0022373769864915,-0.004238537720703817,0.001703821145702185
US,4,2026-01-28,PRE,True,6,6,1,ret_QQQ,ret_SPY,QQQ_UP_SPY_DOWN,0.0066235527577222,0.006892581145957921,0.006089996916932884
US,4,2026-02-11,PRE,True,5,6,1,ret_QQQ,ret_SPY,QQQ_UP_SPY_DOWN,0.0164503707898982,0.012074625863115918,0.015916814949108887
US,4,2026-02-17,PRE,True,5,6,-1,ret_QQQ,ret_SPY,QQQ_DOWN_SPY_UP,-0.0090373616931474,-0.012581861437976016,-0.009089577713510542
US,4,2026-03-10,PRE,True,6,6,1,ret_QQQ,ret_SPY,QQQ_UP_SPY_DOWN,0.0072058015824623,0.007788155684593123,0.006672245741672985
