pair,threshold_abs_z,fecha,period,pattern_US,z_US,base_err,corr_err,outcome,pattern_PE,z_PE
US,0.0,2026-01-07,PRE,QQQ_UP_SPY_DOWN,,0.6475914707195317,0.5942358866406001,IMPROVES,,
US,0.0,2026-01-28,PRE,QQQ_UP_SPY_DOWN,,0.02690283882357215,0.0802584229025037,WORSENS,,
US,0.0,2026-02-11,PRE,QQQ_UP_SPY_DOWN,,0.43757449267822834,0.3842189085992969,IMPROVES,,
US,0.0,2026-02-17,PRE,QQQ_DOWN_SPY_UP,,0.3544499744828617,0.3492283724465474,IMPROVES,,
US,0.0,2026-03-10,PRE,QQQ_UP_SPY_DOWN,0.4057792027249566,0.05823541021308231,0.11159099429201387,WORSENS,,
US,0.0,2026-04-10,PRE,QQQ_UP_SPY_DOWN,0.4276739627724985,0.4173707716987388,0.4707263557776703,WORSENS,,
US,0.0,2026-04-29,PRE,QQQ_UP_SPY_DOWN,1.3834974720382134,0.6921773491619263,0.6388217650829949,IMPROVES,,
US,0.0,2026-06-04,PRE,QQQ_DOWN_SPY_UP,-2.13691743806894,0.21432590208966731,0.21954750412598156,WORSENS,,
US,0.0,2026-07-08,TRAIN,QQQ_UP_SPY_DOWN,0.6129989948603773,0.0775830624796999,0.024227478400768367,IMPROVES,,
US,0.0,2026-07-15,TRAIN,QQQ_DOWN_SPY_UP,-0.6337428076625274,0.05030786848930057,0.04508626645298632,IMPROVES,,
US,0.0,2026-07-20,TRAIN,QQQ_UP_SPY_DOWN,0.37594832449177623,0.029128105678176634,0.024227478400754877,IMPROVES,,
US,0.0,2026-07-24,TRAIN,QQQ_DOWN_SPY_UP,-1.02908919062616,0.5215170285700365,0.5267386306063506,WORSENS,,
US,0.0,2026-07-27,TRAIN,QQQ_DOWN_SPY_UP,-0.23354990516128077,0.03307527038799885,0.027853668351684624,IMPROVES,,
US,0.0,2026-07-28,TRAIN,QQQ_DOWN_SPY_UP,-1.0943353204456567,0.45902029783800835,0.4537986958016941,IMPROVES,,
US,0.0,2026-08-19,OOS,QQQ_DOWN_SPY_UP,-0.47125913508358447,0.38856818070704097,0.39378978274335524,WORSENS,,
US,1.0,2026-04-29,PRE,QQQ_UP_SPY_DOWN,1.3834974720382134,0.6921773491619263,0.6388217650829949,IMPROVES,,
US,1.0,2026-06-04,PRE,QQQ_DOWN_SPY_UP,-2.13691743806894,0.21432590208966731,0.21954750412598156,WORSENS,,
US,1.0,2026-07-24,TRAIN,QQQ_DOWN_SPY_UP,-1.02908919062616,0.5215170285700365,0.5267386306063506,WORSENS,,
US,1.0,2026-07-28,TRAIN,QQQ_DOWN_SPY_UP,-1.0943353204456567,0.45902029783800835,0.4537986958016941,IMPROVES,,
US,1.5,2026-06-04,PRE,QQQ_DOWN_SPY_UP,-2.13691743806894,0.21432590208966731,0.21954750412598156,WORSENS,,
US,2.0,2026-06-04,PRE,QQQ_DOWN_SPY_UP,-2.13691743806894,0.21432590208966731,0.21954750412598156,WORSENS,,
PE,0.0,2026-01-07,PRE,,,0.6475914707195317,0.6134131692386579,IMPROVES,EPU_DOWN_SPBLSCUP_UP,
PE,0.0,2026-01-16,PRE,,,0.3166846572376421,0.2825063557567683,IMPROVES,EPU_DOWN_SPBLSCUP_UP,
PE,0.0,2026-01-21,PRE,,,0.23186768387680312,0.20273957819863156,IMPROVES,EPU_UP_SPBLSCUP_DOWN,
PE,0.0,2026-01-22,PRE,,,0.9914506611129896,1.0205787667911614,WORSENS,EPU_UP_SPBLSCUP_DOWN,
PE,0.0,2026-03-02,PRE,,,0.600373077607389,0.6345513790882629,WORSENS,EPU_DOWN_SPBLSCUP_UP,-0.6722893431308785
PE,0.0,2026-04-17,PRE,,,0.12151408727399202,0.15064219295216358,WORSENS,EPU_UP_SPBLSCUP_DOWN,2.166113404025941
PE,0.0,2026-05-05,PRE,,,2.4362277036652706,2.407099597987099,IMPROVES,EPU_UP_SPBLSCUP_DOWN,1.9396057005927307
PE,0.0,2026-05-18,PRE,,,0.3715086869501495,0.3423805812719779,IMPROVES,EPU_UP_SPBLSCUP_DOWN,1.6700551871332925
PE,0.0,2026-05-27,PRE,,,1.5808774188805357,1.5466991173996623,IMPROVES,EPU_DOWN_SPBLSCUP_UP,-5.896905651866767
PE,0.0,2026-06-01,PRE,,,1.307692578973231,1.2785644732950594,IMPROVES,EPU_UP_SPBLSCUP_DOWN,0.5640970728260845
PE,0.0,2026-06-15,PRE,,,0.44198201381016217,0.4761603152910361,WORSENS,EPU_DOWN_SPBLSCUP_UP,-0.6374445061466373
PE,0.0,2026-06-25,PRE,,,0.7935039435647523,0.7593256420838783,IMPROVES,EPU_DOWN_SPBLSCUP_UP,-1.249735258351587
PE,0.0,2026-06-26,PRE,,,0.36603975819493106,0.39516786387310265,WORSENS,EPU_UP_SPBLSCUP_DOWN,1.3091727218061464
PE,0.0,2026-07-01,PRE,,,0.7122611953289105,0.7464394968097843,WORSENS,EPU_DOWN_SPBLSCUP_UP,-0.9141625012618925
PE,0.0,2026-07-15,TRAIN,,,0.05030786848930057,0.016129567008426812,IMPROVES,EPU_DOWN_SPBLSCUP_UP,-0.048114965899968665
PE,0.0,2026-07-20,TRAIN,,,0.029128105678176634,5.0306980803327406e-15,IMPROVES,EPU_UP_SPBLSCUP_DOWN,0.42962515363731985
PE,0.0,2026-07-27,TRAIN,,,0.03307527038799885,0.0011030310928749525,IMPROVES,EPU_DOWN_SPBLSCUP_UP,-0.4837172490684986
PE,0.0,2026-08-10,TRAIN,,,0.019151765565329076,0.015026535915544682,IMPROVES,EPU_DOWN_SPBLSCUP_UP,-0.17401710314584454
PE,0.0,2026-08-24,OOS,,,0.26248418920373007,0.23335608352555853,IMPROVES,EPU_UP_SPBLSCUP_DOWN,0.40853506697625225
PE,1.0,2026-04-17,PRE,,,0.12151408727399202,0.15064219295216358,WORSENS,EPU_UP_SPBLSCUP_DOWN,2.166113404025941
PE,1.0,2026-05-05,PRE,,,2.4362277036652706,2.407099597987099,IMPROVES,EPU_UP_SPBLSCUP_DOWN,1.9396057005927307
PE,1.0,2026-05-18,PRE,,,0.3715086869501495,0.3423805812719779,IMPROVES,EPU_UP_SPBLSCUP_DOWN,1.6700551871332925
PE,1.0,2026-05-27,PRE,,,1.5808774188805357,1.5466991173996623,IMPROVES,EPU_DOWN_SPBLSCUP_UP,-5.896905651866767
PE,1.0,2026-06-25,PRE,,,0.7935039435647523,0.7593256420838783,IMPROVES,EPU_DOWN_SPBLSCUP_UP,-1.249735258351587
PE,1.0,2026-06-26,PRE,,,0.36603975819493106,0.39516786387310265,WORSENS,EPU_UP_SPBLSCUP_DOWN,1.3091727218061464
PE,1.5,2026-04-17,PRE,,,0.12151408727399202,0.15064219295216358,WORSENS,EPU_UP_SPBLSCUP_DOWN,2.166113404025941
PE,1.5,2026-05-05,PRE,,,2.4362277036652706,2.407099597987099,IMPROVES,EPU_UP_SPBLSCUP_DOWN,1.9396057005927307
PE,1.5,2026-05-18,PRE,,,0.3715086869501495,0.3423805812719779,IMPROVES,EPU_UP_SPBLSCUP_DOWN,1.6700551871332925
PE,1.5,2026-05-27,PRE,,,1.5808774188805357,1.5466991173996623,IMPROVES,EPU_DOWN_SPBLSCUP_UP,-5.896905651866767
PE,2.0,2026-04-17,PRE,,,0.12151408727399202,0.15064219295216358,WORSENS,EPU_UP_SPBLSCUP_DOWN,2.166113404025941
PE,2.0,2026-05-27,PRE,,,1.5808774188805357,1.5466991173996623,IMPROVES,EPU_DOWN_SPBLSCUP_UP,-5.896905651866767
