fecha,.INX,CPER,EEM,NDX,SPBLSCUP,USD_PEN
2026-04-02,6582.69,34.37,56.59,24045.53,403.83,3.451
2026-04-06,6611.83,34.3,57.11,24192.17,403.51,3.4225
2026-04-07,6616.85,34.08,57.31,24202.37,400.97,3.425
2026-04-08,6782.81,35.25,60.44,24903.17,419.57,3.3805
2026-04-09,6824.66,35.21,60.28,25082.09,420.88,3.371
2026-04-10,6816.89,35.87,60.56,25116.34,418.1,3.3875
2026-04-13,6886.24,36.79,61.07,25383.72,424.18,3.3705
2026-04-14,6967.38,37.26,62.24,25842,418.23,3.387
2026-04-15,7022.95,37.26,62.2,26204.58,393.06,3.439
2026-04-16,7041.28,36.94,62.45,26333,406.12,3.372438
2026-04-17,7126.06,37.29,63.64,26672.43,402.39,3.436
2026-04-20,7109.14,37.01,63.18,26590.34,400.17,3.436
2026-04-21,7064.01,36.56,62.25,26479.47,387.95,3.437
2026-04-22,7137.9,37.6,63.38,26937.28,390.1,3.4385
2026-04-23,7108.4,36.96,62.35,26782.63,386.07,3.465
2026-04-24,7165.08,36.94,63.74,27303.67,386.41,3.485
2026-04-27,7173.91,36.93,63.64,27305.68,382.43,3.425951
2026-04-28,7138.8,36.24,62.99,27029.01,375.16,3.515
2026-04-29,7135.95,35.97,62.69,27186.99,370.33,3.523
2026-04-30,7209.01,36.53,63.99,27452.12,380.05,3.5075
2026-05-01,7230.12,36.23,64.13,27710.36,380.05,3.507
2026-05-04,7200.75,35.58,64.1,27651.82,374.3,3.504
2026-05-05,7259.22,36.33,65.4,28015.06,377.65,3.488
2026-05-06,7365.12,37.54,67.49,28599.17,391.39,3.462
2026-05-07,7337.11,37.35,66.59,28563.95,389.28,3.457
2026-05-08,7398.93,38.27,67.94,29234.99,395.92,3.4335
2026-05-11,7412.84,39.39,67.89,29320.66,401.15,3.428
2026-05-12,7400.96,40.44,65.82,29064.8,405.69,3.359541
2026-05-13,7444.25,40.27,67.21,29366.94,406.85,3.427
2026-05-14,7501.24,40.02,67.38,29580.3,404.98,3.421
2026-05-15,7408.5,38.14,65.07,29125.2,390.01,3.431
2026-05-18,7403.05,38.4,64.97,28994.37,385.55,3.4215
2026-05-19,7353.61,37.63,64.26,28818.84,384.08,3.353916
2026-05-20,7432.97,38.57,65.46,29297.7,394.94,3.411
2026-05-21,7445.72,38.58,66.03,29357.27,400.16,3.408
2026-05-22,7473.47,38.92,65.88,29481.64,396.45,3.341469
2026-05-26,7519.12,39.03,68.4,30001.32,410.8,3.404
2026-05-27,7520.36,38.48,68.39,29973.57,407.87,3.3374
2026-05-28,7563.63,39.06,68.61,30223.89,408.92,3.408
2026-05-29,7580.06,38.86,68.6,30333.18,411.68,3.398
2026-06-01,7599.96,39.96,70.08,30513.86,409.76,3.331387
2026-06-02,7609.78,40.6,70.8,30660.6,413.5,3.402
2026-06-03,7553.68,39.42,69.92,30571.24,401.84,3.4025
2026-06-04,7584.31,39.73,69.1,30407.81,400.44,3.333133
2026-06-05,7383.74,38.08,64.59,28957.6,376.8,3.47
2026-06-08,7405.73,38.55,65.75,29414.26,376.34,3.47
