fecha,QQQ
2026-04-01,584.31
2026-04-02,584.98
2026-04-06,588.5
2026-04-07,588.59
2026-04-08,606.09
2026-04-09,610.19
2026-04-10,611.07
2026-04-13,617.39
2026-04-14,628.6
2026-04-15,637.4
2026-04-16,640.47
2026-04-17,648.85
2026-04-20,646.79
2026-04-21,644.33
2026-04-22,655.11
2026-04-23,651.42
2026-04-24,663.88
2026-04-27,664.23
2026-04-28,657.55
2026-04-29,661.57
2026-04-30,667.74
2026-05-01,674.15
2026-05-04,672.88
2026-05-05,681.61
2026-05-06,695.77
2026-05-07,694.94
2026-05-08,711.23
2026-05-11,713.29
2026-05-12,707.24
2026-05-13,714.71
2026-05-14,719.79
2026-05-15,708.93
2026-05-18,705.88
2026-05-19,701.53
2026-05-20,713.15
2026-05-21,714.51
2026-05-22,717.54
2026-05-26,730.28
2026-05-27,729.45
2026-05-28,735.6
2026-05-29,738.31
2026-06-01,742.74
2026-06-02,746.16
2026-06-03,744.21
2026-06-04,740.61
2026-06-05,705.06
2026-06-08,716.07
2026-06-09,707.83
2026-06-10,693.69
2026-06-11,717.12
2026-06-12,721.34
2026-06-15,744
2026-06-16,729.86
2026-06-17,722.51
2026-06-18,740.62
2026-06-22,737.95
2026-06-23,713.65
2026-06-24,710.62
2026-06-25,716.38
2026-06-26,706.52
2026-06-29,724.08
2026-06-30,736.4
2026-07-01,725.17
2026-07-02,712.6
2026-07-06,722.82
2026-07-07,709.43
2026-07-08,711.44
2026-07-09,723.28
2026-07-10,725.51
2026-07-13,711.74
2026-07-14,719.69
2026-07-15,717.74
2026-07-16,705.94
2026-07-17,695.33
2026-07-20,696.06
2026-07-21,708.97
2026-07-22,705.35
2026-07-23,691.96
2026-07-24,684.23
2026-07-27,682.12
2026-07-28,675.49
2026-07-29,661.73
2026-07-30,683.55
2026-07-31,687.99
2026-08-03,700.07
2026-08-04,723.85
2026-08-05,717.3
2026-08-06,714.65
2026-08-07,723.03
2026-08-10,720.87
2026-08-11,718.45
2026-08-12,723.7
2026-08-13,732.07
2026-08-14,731.07
2026-08-17,729.87
2026-08-18,717.51
2026-08-19,716.08
2026-08-20,710.93
