fecha,SPBLSCUP,source
2026-01-05,357.86,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-06,365.08,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-07,365.39,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-08,371.35,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-09,380.92,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-12,393.24,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-13,394.11,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-14,398.77,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-15,402.73,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-16,403.18,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-20,415.61,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-21,415.12,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-22,410.82,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-23,419.83,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-26,432.28,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-27,437.01,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-28,441.77,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-29,448.02,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-01-30,418.57,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-02-02,421.01,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-02-03,443.86,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-02-04,429.86,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-02-05,420.62,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-02-06,432.58,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-02-09,445.68,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-02-10,439.72,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-02-11,446.43,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-02-12,430.52,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-02-13,427.42,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-02-17,420.04,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-02-18,427.63,RECONSTRUIDO DESDE RETORNOS · ANCLA 2026-02-19=431.09
2026-02-19,431.09,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-02-20,436.09,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-02-23,438.81,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-02-24,444.3,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-02-25,450.89,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-02-26,453.09,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-02-27,459.76,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-03-02,459.97,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-03-03,432.36,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-03-04,436.7,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-03-05,417.78,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-03-06,410.85,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-03-09,413.97,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-03-10,427.24,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-03-11,422.03,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-03-12,404.37,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-03-13,395.78,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-03-16,403.79,GOOGLE FINANCE · ARCHIVO HISTÓRICO
2026-03-17,405.96,GOOGLE FINANCE · ARCHIVO HISTÓRICO
