id_cluster,fuente,periodo,archivo,fingerprint_vector,numero_filas,filas_excel,fila_conservada,monto_vector_total,prioridades
hoja3_000001,hoja3,2015-01,CA-0001-en2015.XLS,0.0|9048.210867|0.0|0.0,2,24 | 27,27,9048.2108670371,10.06 | 10.15
hoja3_000002,hoja3,2015-01,CA-0001-en2015.XLS,163.770322|0.0|0.0|0.0,2,86 | 88,88,163.7703215976,10.07 | 10.15
hoja3_000003,hoja3,2015-01,CA-0001-en2015.XLS,0.0|20492.405926|32134.228622|0.0,2,120 | 122,120,52626.63454796,10.12 | 10.03
hoja3_000004,hoja3,2015-01,CA-0001-en2015.XLS,0.0|3263.898199|7912.486316|3560.618994,2,242 | 243,242,14737.0035088029,10.15 | 10.05
hoja3_000005,hoja3,2015-01,CA-0001-en2015.XLS,0.0|30.479999|0.0|0.0,2,362 | 363,362,30.4799985072,10.15 | 10.03
hoja3_000006,hoja3,2015-01,CA-0001-en2015.XLS,0.0|29743.890753|37650.509075|0.0,2,391 | 393,391,67394.39982748,10.03 | 10.03
hoja3_000007,hoja3,2015-01,CA-0001-en2015.XLS,0.0|0.0|0.0|1880.834367,2,403 | 405,405,1880.8343668884,10.03 | 10.15
hoja3_000008,hoja3,2015-01,CA-0001-en2015.XLS,0.0|0.0|0.0|8314.701962,2,427 | 428,427,8314.7019618422,10.12 | 10.04
hoja3_000009,hoja3,2015-01,CA-0001-en2015.XLS,0.0|0.0|0.0|7455.240719,2,431 | 432,431,7455.2407189354,10.07 | 10.04
hoja3_000010,hoja3,2015-01,CA-0001-en2015.XLS,0.0|4467.255004|0.0|4467.255004,2,433 | 434,433,8934.510008235,10.12 | 10.04
hoja3_000011,hoja3,2015-01,CA-0001-en2015.XLS,0.0|15191.471243|20255.295996|0.0,2,435 | 436,435,35446.7672387855,10.06 | 10.04
hoja3_000012,hoja3,2015-01,CA-0001-en2015.XLS,0.0|21824.478147|21292.089465|11710.595689,2,437 | 438,437,54827.1633004806,10.09 | 10.04
hoja3_000013,hoja3,2015-01,CA-0001-en2015.XLS,0.0|1913.65053|0.0|1913.647474,2,447 | 448,447,3827.2980041621,10.13 | 10.04
hoja3_000014,hoja3,2015-01,CA-0001-en2015.XLS,0.0|0.0|7326.521496|4029.523542,2,449 | 450,449,11356.0450389089,10.15 | 10.04
hoja3_000015,hoja3,2015-01,CA-0001-en2015.XLS,0.0|0.0|24960.726251|0.0,2,453 | 454,453,24960.7262514376,10.12 | 10.04
hoja3_000016,hoja3,2015-01,CA-0001-en2015.XLS,0.0|0.0|0.0|5473.836494,2,463 | 464,463,5473.836493665301,10.08 | 10.04
hoja3_000017,hoja3,2015-01,CA-0001-en2015.XLS,0.0|0.0|0.0|2415.764919,2,465 | 466,465,2415.7649191738,10.15 | 10.04
hoja3_000018,hoja3,2015-01,CA-0001-en2015.XLS,0.0|0.0|0.0|6825.15022,2,476 | 477,476,6825.1502202833,10.15 | 10.04
hoja3_000019,hoja3,2015-01,CA-0001-en2015.XLS,0.0|0.0|21233.380701|7774.242375,2,488 | 489,488,29007.6230760002,10.14 | 10.04
hoja3_000020,hoja3,2015-01,CA-0001-en2015.XLS,0.0|1176.424827|0.0|1176.424827,2,490 | 491,490,2352.8496539558,10.08 | 10.04
hoja3_000021,hoja3,2015-01,CA-0001-en2015.XLS,0.0|17702.312377|0.0|4944.779864,2,492 | 493,492,22647.0922407218,10.08 | 10.04
hoja3_000022,hoja3,2015-01,CA-0001-en2015.XLS,0.0|0.0|0.0|13434.23743,2,494 | 495,494,13434.2374302577,10.09 | 10.04
hoja3_000023,hoja3,2015-01,CA-0001-en2015.XLS,0.0|0.0|56925.260037|0.0,2,508 | 509,508,56925.2600366084,10.11 | 10.04
hoja3_000024,hoja3,2015-01,CA-0001-en2015.XLS,0.0|4874.13703|0.0|3736.845419,2,512 | 513,512,8610.9824481735,10.14 | 10.04
hoja3_000025,hoja3,2015-01,CA-0001-en2015.XLS,0.0|21682.015049|0.0|0.0,2,534 | 535,534,21682.0150491158,10.10 | 10.04
hoja3_000026,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|10000.0|0.0|0.0,2,17 | 19,19,10000.0,10.10 | 10.11
hoja3_000027,hoja3,2015-02,CA-0001-fe2015.XLS,164.494336|0.0|0.0|0.0,2,86 | 88,88,164.4943361064,10.07 | 10.15
hoja3_000028,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|21010.549443|40107.803668|0.0,2,120 | 122,120,61118.35311096,10.12 | 10.03
hoja3_000029,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|3300.187453|8000.46033|3600.207302,2,244 | 245,244,14900.8550847673,10.15 | 10.05
hoja3_000030,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|31.2449|0.0|0.0,2,368 | 369,368,31.2448999392,10.15 | 10.03
hoja3_000031,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|18451.761001|38941.370781|0.0,2,395 | 397,395,57393.131782112,10.03 | 10.03
hoja3_000032,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|0.0|0.0|1902.390876,2,404 | 406,406,1902.3908763816,10.03 | 10.15
