periodo,fecha_cartera,archivo,fila_excel_aprox,Habitat,Integra,Prima,Profuturo,pct_Habitat,pct_Integra,pct_Prima,pct_Profuturo,identificador_especifico,categoria_instrumento,estado_refinado,fingerprint_vector,monto_vector_total,fuente,conservar_auditoria,id_cluster,prioridad
2015-01,2015-01-30,CA-0001-en2015.XLS,10,3392.1729039091992,417276.3431077615,438284.3757816608,260969.1910410936,3.383829017910736,4.967238971183606,5.4575756355650045,4.835332810736843,GOB.CENTRAL,BONOS GOB.CEN.,pareja_exacta_heuristica,3392.172904|417276.343108|438284.375782|260969.191041,1119922.0828344251,hoja3,True,,145.11
2015-01,2015-01-30,CA-0001-en2015.XLS,11,0.0,0.0,0.0,255989.5816542096,,,,4.74306878310585,BONOS GOB.CEN.,,pendiente_sin_categoria,0.0|0.0|0.0|255989.581654,255989.5816542096,hoja3,True,,10.14
2015-01,2015-01-30,CA-0001-en2015.XLS,12,0.0,0.0,0.0,4979.609386884,,,,0.0922640276309931,GDN GOB CEN,,pendiente_sin_categoria,0.0|0.0|0.0|4979.609387,4979.609386884,hoja3,True,,10.11
2015-01,2015-01-30,CA-0001-en2015.XLS,15,73.313007804,0.0,0.0,0.0,0.0731326763773159,,,,BANCO FALABELLA,OTRO BONOS SIST,pareja_exacta_heuristica,73.313008|0.0|0.0|0.0,73.313007804,hoja3,True,,145.15
2015-01,2015-01-30,CA-0001-en2015.XLS,20,0.0,26781.9013034,0.0,0.0,,0.3188105582162994,,,BID,ORG INT LOC,pareja_exacta_heuristica,0.0|26781.901303|0.0|0.0,26781.9013034,hoja3,True,,145.03
2015-01,2015-01-30,CA-0001-en2015.XLS,24,0.0,9048.2108670371,0.0,0.0,,0.1077094984668871,,,COFIDE,,pendiente_sin_categoria,0.0|9048.210867|0.0|0.0,9048.2108670371,hoja3,False,hoja3_000001,10.06
2015-01,2015-01-30,CA-0001-en2015.XLS,27,0.0,9048.2108670371,0.0,0.0,,0.1077094984668871,,,OTRO BONOS SIST,,pendiente_sin_categoria,0.0|9048.210867|0.0|0.0,9048.2108670371,hoja3,True,hoja3_000001,10.15
2015-01,2015-01-30,CA-0001-en2015.XLS,28,0.0,260.912992077,0.0,0.0,,0.0031058966168093,,,Confianza,CD SERIADOS,pareja_exacta_heuristica,0.0|260.912992|0.0|0.0,260.912992077,hoja3,True,,145.09
2015-01,2015-01-30,CA-0001-en2015.XLS,30,1096.0454544708998,238093.58635241512,196260.2397923864,103796.22384289208,1.0933494603160323,2.8342554291728974,2.4438587412813995,1.9231744742585035,CONTINENTAL,,pendiente_sin_categoria,1096.045454|238093.586352|196260.239792|103796.223843,539246.0954421645,hoja3,True,,10.11
2015-01,2015-01-30,CA-0001-en2015.XLS,31,986.0933280384,94695.4747414656,75909.3394184064,67778.906658624,0.98366778826019,1.127250706395945,0.9452332417346094,1.2558324219609045,ACC.CAP.SOCIAL,,pendiente_sin_categoria,986.093328|94695.474741|75909.339418|67778.906659,239369.81414653442,hoja3,True,,10.14
2015-01,2015-01-30,CA-0001-en2015.XLS,33,0.0,860.7644869572999,0.0,1896.1612776773,,0.0102465020489335,,0.0351327710517292,BON.SUB.FIN.,,pendiente_sin_categoria,0.0|860.764487|0.0|1896.161278,2756.9257646346,hoja3,True,,10.12
2015-01,2015-01-30,CA-0001-en2015.XLS,34,10.00649314,126938.55804856,120350.90037398,2479.0591606800003,0.0099818797018381,1.511070931528521,1.4986254995467905,0.0459329166464948,CTAS.CTES.,,pendiente_sin_categoria,10.006493|126938.558049|120350.900374|2479.059161,249778.52407636,hoja3,True,,10.1
2015-01,2015-01-30,CA-0001-en2015.XLS,35,0.0,15598.7890754322,0.0,30608.03189092,,0.1856872891994981,,0.5671168320054312,DEP.A PLAZO,,pendiente_sin_categoria,0.0|15598.789075|0.0|30608.031891,46206.8209663522,hoja3,True,,10.11
2015-01,2015-01-30,CA-0001-en2015.XLS,36,99.9456332925,0.0,0.0,1034.0648549908,0.0996997923540042,,,0.0191595325939433,OTRO BONOS SIST,,pendiente_sin_categoria,99.945633|0.0|0.0|1034.064855,1134.0104882833,hoja3,True,,10.15
2015-01,2015-01-30,CA-0001-en2015.XLS,37,538.11785016,66670.20139295999,62380.683755280006,18216.23677368,0.5367942165709518,0.7936391028289058,0.7767726129536997,0.3375171107690493,CREDICORP,ACC.CAP.SOCIAL,pareja_exacta_heuristica,538.11785|66670.201393|62380.683755|18216.236774,147805.23977207998,hoja3,True,,145.09
2015-01,2015-01-30,CA-0001-en2015.XLS,39,0.0,0.0,33284.299384332,0.0,,,0.4144605452631389,,CREDISCOTIA,BON.SUB.FIN.,pareja_exacta_heuristica,0.0|0.0|33284.299384|0.0,33284.299384332,hoja3,True,,145.11
2015-01,2015-01-30,CA-0001-en2015.XLS,43,2858.501167843,104918.9434415622,178014.82018518422,55734.8088997587,2.8514699791192557,1.2489504216723537,2.2166643373482504,1.0326749648034692,CREDITO,,pendiente_sin_categoria,2858.501168|104918.943442|178014.820185|55734.8089,341527.0736943481,hoja3,True,,10.07
2015-01,2015-01-30,CA-0001-en2015.XLS,45,1687.2756749485,35154.235075835306,110442.8160135212,33794.5703507888,1.6831254042286532,0.4184744459039303,1.3752487086120828,0.6261581843819739,BON.SUB.FIN.,,pendiente_sin_categoria,1687.275675|35154.235076|110442.816014|33794.570351,181078.8971150938,hoja3,True,,10.12
