escenario,objetivo,observaciones,ratio_mediano,ratio_p10,ratio_p90,error_mediano_pct,error_p90_pct,dentro_1pct,dentro_2pct,diferencia_interna_mediana_pp,ranking_escenario
antes,total_exterior,532,2.0126507590569993,1.0518601153170977,2.138021355314437,101.26507590569994,113.80213553144371,0.5639097744360901,4.135338345864661,1.8900436771218665e-12,1
antes,rv_y_fondos_exterior,532,2.0503033389519425,1.085852258990711,2.2341850994797605,105.03033389519423,123.41850994797605,0.0,2.443609022556391,1.8900436771218665e-12,2
antes,fondos_exterior_amplio,532,2.0617121303530994,1.094189461485025,2.252282875956033,106.17121303530993,125.22828759560333,0.0,0.37593984962406013,1.8900436771218665e-12,3
antes,administradoras_fondos_exterior,532,2.062002197471452,1.104308355045581,2.252299002540393,106.20021974714524,125.22990025403932,0.0,0.37593984962406013,1.8900436771218665e-12,4
antes,fondos_mutuos_mas_etf,532,2.127916930306035,1.5881173601833807,4.664055216227426,112.79169303060345,366.4055216227426,0.0,0.0,1.8900436771218665e-12,5
antes,fondos_mutuos_exterior,532,2.127916930306035,1.6051968574120534,4.664454484459712,112.79169303060345,366.4454484459712,0.0,0.0,1.8900436771218665e-12,6
despues_auditoria,total_exterior,532,2.0016815318006884,1.0210722397286258,2.08054219343488,100.16815318006886,108.05421934348801,6.390977443609022,9.774436090225564,1.8332002582610585e-12,1
despues_auditoria,rv_y_fondos_exterior,532,2.036001500752074,1.0576937856201933,2.190870091826673,103.60015007520741,119.0870091826673,1.8796992481203008,3.571428571428571,1.8332002582610585e-12,2
despues_auditoria,fondos_exterior_amplio,532,2.048617528486224,1.0582552068718,2.199444862267806,104.86175284862236,119.94448622678055,0.18796992481203006,3.195488721804511,1.8332002582610585e-12,3
despues_auditoria,administradoras_fondos_exterior,532,2.0489010093410243,1.071300997190101,2.1995129649181506,104.89010093410243,119.95129649181504,0.18796992481203006,3.007518796992481,1.8332002582610585e-12,4
despues_auditoria,fondos_mutuos_mas_etf,532,2.115121892050957,1.5630946485997212,4.607178492750904,111.5121892050957,360.7178492750905,0.0,0.0,1.8332002582610585e-12,5
despues_auditoria,fondos_mutuos_exterior,532,2.115121892050957,1.5817609870571434,4.607507721196332,111.5121892050957,360.7507721196332,0.0,0.0,1.8332002582610585e-12,6
