periodo,afp,identificador_agregacion,fecha_cartera,archivo,estado_cobertura,factor_reescala,error_cobertura_pct,total_exterior_miles_soles,total_fondo_miles_soles,usar_modelo_principal,usar_analisis_ampliado,identificador_canonico,canonical_security_id,ticker,name,securityType,securityType2,marketSector,exchCode,estado_identidad_final,usar_en_enriquecimiento_automatico,tipo_identificador,entidad_administradora,moneda,valor,valor_reconciliado_miles_soles,peso_exterior_reconciliado,peso_total_fondo_reconciliado,peso_exterior_reconciliado_pct,peso_total_fondo_reconciliado_pct,identificador_final,isin_original,fue_corregido_checksum,vehiculo,tipo_activo,region_exposicion_preliminar,confianza_region,sector_tema_preliminar,confianza_sector,indice_referencia_preliminar,confianza_indice,factor_proxy_mercado,confianza_factor_proxy,razon_factor_proxy,regla_refinamiento
2015-01,Habitat,BBG001S56QV7,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US4642882579,BBG001S56QV7,ACWI,ISHARES MSCI ACWI ETF,ETP,Mutual Fund,Equity,US,openfigi_validado,True,isin,BlackRock USA,USD,4576.22684948,4625.876933853472,0.0730499528280378,0.0461449844847777,7.304995282803784,4.614498448477776,US4642882579,US4642882579,False,etf_etp,renta_variable,Global,alta,Mercado amplio,alta,MSCI ACWI,alta,ACWI,alta,regla exacta de ticker ACWI,ticker::ACWI
2015-01,Habitat,BBG001S72SM3,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US78462F1030,BBG001S72SM3,SPY,SS SPDR S&P 500 ETF TRUST-US,ETP,Mutual Fund,Equity,US,openfigi_validado,True,isin,STATE ST BANK,USD,1646.77887,1664.6457093262109,0.0262874028601486,0.016605511025889,2.6287402860148616,1.6605511025889093,US78462F1030,US78462F1030,False,etf_etp,renta_variable,Estados Unidos,alta,Mercado amplio,alta,S&P 500,alta,SPY,alta,regla exacta de ticker SPY,ticker::SPY
2015-01,Habitat,BBG001S7R733,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US81369Y1001,BBG001S7R733,XLB,SS MATERIALS SELECT SECTOR,ETP,Mutual Fund,Equity,XH,openfigi_validado,True,isin,STATE ST BANK,USD,70.7304697,71.49786474047518,0.0011290649797391,0.0007132199810589,0.1129064979739165,0.0713219981058941,US81369Y1001,US81369Y1001,False,etf_etp,renta_variable,Estados Unidos,alta,Materiales,alta,Materials Select Sector,alta,XLB,alta,regla exacta de ticker XLB,ticker::XLB
2015-01,Habitat,BBG001S7T107,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US81369Y3080,BBG001S7T107,XLPUSD,SS CONSUMER STAPLES SEL SECT,ETP,Mutual Fund,Equity,XH,openfigi_validado,True,isin,STATE ST BANK,USD,220.12089484,222.5091114561435,0.0035137727025823,0.0022196179541058,0.3513772702582398,0.221961795410588,US81369Y3080,US81369Y3080,False,etf_etp,renta_variable,Estados Unidos,alta,Consumo básico,alta,Consumer Staples Select Sector,alta,XLP,alta,regla exacta de ticker XLP,ticker::XLP
2015-01,Habitat,BBG001S7T1Q9,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US81369Y4070,BBG001S7T1Q9,XLY,SS CONSUMER DISC SELECT SECT,ETP,Mutual Fund,Equity,XH,openfigi_validado,True,isin,STATE ST BANK,USD,715.71438048,723.479572317502,0.0114248929198851,0.0072169999584996,1.1424892919885137,0.7216999958499601,US81369Y4070,US81369Y4070,False,etf_etp,renta_variable,Estados Unidos,alta,Consumo discrecional,alta,Consumer Discretionary Select Sector,alta,XLY,alta,regla exacta de ticker XLY,ticker::XLY
2015-01,Habitat,BBG001S7T1S7,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US81369Y5069,BBG001S7T1S7,XLE,SS ENERGY SELECT SECTOR,ETP,Mutual Fund,Equity,XH,openfigi_validado,True,isin,STATE ST BANK,USD,41.1236782,41.56985234292071,0.0006564540726312,0.0004146760103712,0.0656454072631203,0.0414676010371213,US81369Y5069,US81369Y5069,False,etf_etp,renta_variable,Estados Unidos,alta,Energía,alta,Energy Select Sector,alta,XLE,alta,regla exacta de ticker XLE,ticker::XLE
2015-01,Habitat,BBG001S7T223,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US81369Y6059,BBG001S7T223,XLF,SS FINANCIAL SELECT SECTOR,ETP,Mutual Fund,Equity,XH,openfigi_validado,True,isin,STATE ST BANK,USD,322.76232846,326.2641602895209,0.0051522299143342,0.0032546163310828,0.5152229914334296,0.3254616331082852,US81369Y6059,US81369Y6059,False,etf_etp,renta_variable,Estados Unidos,alta,Finanzas,alta,Financial Select Sector,alta,XLF,alta,regla exacta de ticker XLF,ticker::XLF
2015-01,Habitat,BBG001S7T232,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US81369Y7040,BBG001S7T232,XLI,SS INDUSTRIAL SELECT SECTOR,ETP,Mutual Fund,Equity,XH,openfigi_validado,True,isin,STATE ST BANK,USD,227.61758184,230.0871342715028,0.0036334417333645,0.0022952117820957,0.3633441733364557,0.2295211782095754,US81369Y7040,US81369Y7040,False,etf_etp,renta_variable,Estados Unidos,alta,Industriales,alta,Industrial Select Sector,alta,XLI,alta,regla exacta de ticker XLI,ticker::XLI
2015-01,Habitat,BBG001S7TCZ5,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US81369Y8030,BBG001S7TCZ5,XLKUSD,SS TECHNOLOGY SELECT SECTOR,ETP,Mutual Fund,Equity,XH,openfigi_validado,True,isin,STATE ST BANK,USD,437.5429212,442.29007287519806,0.0069844635777909,0.0044120215134205,0.6984463577790903,0.4412021513420513,US81369Y8030,US81369Y8030,False,etf_etp,renta_variable,Estados Unidos,alta,Tecnología,alta,Technology Select Sector,alta,XLK,alta,regla exacta de ticker XLK,ticker::XLK
2015-01,Habitat,BBG001S7TD56,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US81369Y8865,BBG001S7TD56,XLU,ST SR UTL SL SE SPDR ETF-USD,ETP,Mutual Fund,Equity,XH,openfigi_validado,True,isin,STATE ST BANK,USD,70.63050367999999,71.39681413234378,0.0011274692299466,0.0007122119605665,0.1127469229946683,0.0712211960566593,US81369Y8865,US81369Y8865,False,etf_etp,renta_variable,Estados Unidos,alta,Servicios públicos,alta,Utilities Select Sector,alta,SPY,alta,regla exacta de ticker XLU,ticker::XLU
