archivo,hoja,fila_python,fila_excel_aprox,puntaje,celdas_no_vacias,palabras_detectadas,texto_fila
CA-0001-no2025.XLS,11,3,4,4.0,13,integra | prima | profuturo, | hábitat f1 |  | hábitat f2 |  | hábitat f3 |  | integra f1 |  | integra f2 |  | integra f3 |  | profuturo f1 |  | profuturo f2 |  | profuturo f3 |  | prima f1 |  | prima f2 |  | prima f3 |  | sistema | 
CA-0001-no2025.XLS,11,7,8,2.0,27,moneda,monedas | 989787.7655540535 | 0.5982138470044585 | 2568724.340341041 | 0.19681162484653106 | 971957.6392407351 | 0.2244585062308495 | 1528125.6011528801 | 0.19686952192669793 | 3402179.26758092 | 0.11953037715250248 | 929633.4484573401 | 0.2916486304886739 | 1583838.2 | 0.32410034283804373 | 1956684 | 0.14326107598940163 | 456559.6 | 0.1363701801843688 | 1711930.4 | 0.25553235844576244 | 3569435.4 | 0.15915307095187742 | 465300.8 | 0.16656748876718724 | 20134156.46232697 | 0.16879792700326393
CA-0001-no2025.XLS,11,10,11,2.0,27,moneda,monedas | 177546.48667664896 | 0.10730660704571392 | 223420.71990027197 | 0.01711814468270901 | 65424.520000000004 | 0.01510877577086785 | 7256695.246087173 | 0.9348852756521542 | 17284332.288380906 | 0.6072586406442814 | 3282519.9724271595 | 1.0298063780931521 | 3575885.8915918744 | 0.7317324733136567 | 6886777.070726417 | 0.5042240306822183 | 2631051.4711353877 | 0.785871030185504 | 2903300.6749244616 | 0.43336298528294226 | 7304895.257464307 | 0.3257087978696153 | 1191492.7999999998 | 0.42652830938649683 | 52783342.399314605 | 0.4425176090182251
CA-0001-no2025.XLS,11,16,17,2.0,27,prima,materia prima | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
CA-0001-no2025.XLS,11,4,5,2.0,26,monto, | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | %
CA-0001-no2025.XLS,11,0,1,1.1,1,instrumento,inversión en instrumentos derivados locales y extranjeros |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
CA-0001-no2025.XLS,11,1,2,1.1,1,valor,(valores nocionales en miles de soles) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
CA-0001-no2025.XLS,11,5,6,1.0,27,,i. nacional | 989787.7655540535 | 0.5982138470044585 | 2568724.340341041 | 0.19681162484653106 | 971957.6392407351 | 0.2244585062308495 | 1528125.6011528801 | 0.19686952192669793 | 3402179.26758092 | 0.11953037715250248 | 929633.4484573401 | 0.2916486304886739 | 1583838.2 | 0.32410034283804373 | 1956684 | 0.14326107598940163 | 456559.6 | 0.1363701801843688 | 1711930.4 | 0.25553235844576244 | 3569435.4 | 0.15915307095187742 | 465300.8 | 0.16656748876718724 | 20134156.46232697 | 0.16879792700326393
CA-0001-no2025.XLS,11,6,7,1.0,27,,1. forwards | 989787.7655540535 | 0.5982138470044585 | 2568724.340341041 | 0.19681162484653106 | 971957.6392407351 | 0.2244585062308495 | 1528125.6011528801 | 0.19686952192669793 | 3402179.26758092 | 0.11953037715250248 | 929633.4484573401 | 0.2916486304886739 | 1583838.2 | 0.32410034283804373 | 1956684 | 0.14326107598940163 | 456559.6 | 0.1363701801843688 | 1711930.4 | 0.25553235844576244 | 3569435.4 | 0.15915307095187742 | 465300.8 | 0.16656748876718724 | 20134156.46232697 | 0.16879792700326393
CA-0001-no2025.XLS,11,8,9,1.0,27,,ii. extranjero | 177546.48667664896 | 0.10730660704571392 | 223420.71990027197 | 0.01711814468270901 | 65424.520000000004 | 0.01510877577086785 | 7256695.246087173 | 0.9348852756521542 | 17859998.302880906 | 0.6274837876501266 | 3389593.8511241595 | 1.0633980589162884 | 3575885.8915918744 | 0.7317324733136567 | 6886777.070726417 | 0.5042240306822183 | 2631051.4711353877 | 0.785871030185504 | 2903300.6749244616 | 0.43336298528294226 | 7304895.257464307 | 0.3257087978696153 | 1191492.7999999998 | 0.42652830938649683 | 53466082.292511605 | 0.44824146831522216
CA-0001-no2025.XLS,11,9,10,1.0,27,,1. forwards | 177546.48667664896 | 0.10730660704571392 | 223420.71990027197 | 0.01711814468270901 | 65424.520000000004 | 0.01510877577086785 | 7256695.246087173 | 0.9348852756521542 | 17284332.288380906 | 0.6072586406442814 | 3282519.9724271595 | 1.0298063780931521 | 3575885.8915918744 | 0.7317324733136567 | 6886777.070726417 | 0.5042240306822183 | 2631051.4711353877 | 0.785871030185504 | 2903300.6749244616 | 0.43336298528294226 | 7304895.257464307 | 0.3257087978696153 | 1191492.7999999998 | 0.42652830938649683 | 52783342.399314605 | 0.4425176090182251
