anio,mes,archivo,hoja,fila_excel_aprox,columna_excel_aprox,valor,palabras_detectadas
2026,1,CA-0001-en2026.XLS,1,1,1,CARTERA POR TIPO DE INSTRUMENTO Y SECTOR DEL EMISOR,emisor | instrumento
2026,1,CA-0001-en2026.XLS,1,5,2,Monto,monto
2026,1,CA-0001-en2026.XLS,1,5,4,Monto,monto
2026,1,CA-0001-en2026.XLS,1,5,6,Monto,monto
2026,1,CA-0001-en2026.XLS,1,5,8,Monto,monto
2026,1,CA-0001-en2026.XLS,1,5,10,Monto,monto
2026,1,CA-0001-en2026.XLS,1,5,12,Monto,monto
2026,1,CA-0001-en2026.XLS,1,5,14,Monto,monto
2026,1,CA-0001-en2026.XLS,1,5,16,Monto,monto
2026,1,CA-0001-en2026.XLS,1,5,18,Monto,monto
2026,1,CA-0001-en2026.XLS,1,5,20,Monto,monto
2026,1,CA-0001-en2026.XLS,1,5,22,Monto,monto
2026,1,CA-0001-en2026.XLS,1,5,24,Monto,monto
2026,1,CA-0001-en2026.XLS,1,5,26,Monto,monto
2026,1,CA-0001-en2026.XLS,1,5,28,Monto,monto
2026,1,CA-0001-en2026.XLS,1,5,30,Monto,monto
2026,1,CA-0001-en2026.XLS,1,5,32,Monto,monto
2026,1,CA-0001-en2026.XLS,1,5,34,Monto,monto
2026,1,CA-0001-en2026.XLS,1,22,1,VALOR REP.DERECHO SOBRE ACC. EMP.NAC.,valor
2026,1,CA-0001-en2026.XLS,1,26,1,4. Administradoras de Fondos,administradora
2026,1,CA-0001-en2026.XLS,1,27,1,FONDOS MUTUOS DEL EXT - ETF DEL MERCADO LOCAL,etf
2026,1,CA-0001-en2026.XLS,1,28,1,FONDO MUTUO ALTERNATIVO DEL EXTRANJERO - LÍMITE LOCAL,fondo mutuo
2026,1,CA-0001-en2026.XLS,1,31,1,FONDO MUTUO,fondo mutuo
2026,1,CA-0001-en2026.XLS,1,34,1,TITULOS CON DERECHO DE PARTICIPACION,participacion
2026,1,CA-0001-en2026.XLS,1,47,1,4. Administradoras de Fondos,administradora
2026,1,CA-0001-en2026.XLS,1-A,1,1,CARTERA POR TIPO DE INSTRUMENTO Y SECTOR DEL EMISOR,emisor | instrumento
2026,1,CA-0001-en2026.XLS,1-A,5,2,Monto,monto
2026,1,CA-0001-en2026.XLS,1-A,5,4,Monto,monto
2026,1,CA-0001-en2026.XLS,1-A,5,6,Monto,monto
2026,1,CA-0001-en2026.XLS,1-A,5,8,Monto,monto
2026,1,CA-0001-en2026.XLS,1-A,5,10,Monto,monto
2026,1,CA-0001-en2026.XLS,1-A,5,12,Monto,monto
2026,1,CA-0001-en2026.XLS,1-A,5,14,Monto,monto
2026,1,CA-0001-en2026.XLS,1-A,5,16,Monto,monto
2026,1,CA-0001-en2026.XLS,1-A,5,18,Monto,monto
2026,1,CA-0001-en2026.XLS,1-A,5,20,Monto,monto
2026,1,CA-0001-en2026.XLS,1-A,5,22,Monto,monto
2026,1,CA-0001-en2026.XLS,1-A,5,24,Monto,monto
2026,1,CA-0001-en2026.XLS,1-A,5,26,Monto,monto
2026,1,CA-0001-en2026.XLS,1-A,5,28,Monto,monto
2026,1,CA-0001-en2026.XLS,1-A,5,30,Monto,monto
2026,1,CA-0001-en2026.XLS,1-A,5,32,Monto,monto
2026,1,CA-0001-en2026.XLS,1-A,5,34,Monto,monto
2026,1,CA-0001-en2026.XLS,2,5,4,Monto,monto
2026,1,CA-0001-en2026.XLS,2,5,6,Monto,monto
2026,1,CA-0001-en2026.XLS,2,5,8,Monto,monto
2026,1,CA-0001-en2026.XLS,2,5,10,Monto,monto
2026,1,CA-0001-en2026.XLS,2,5,12,Monto,monto
2026,1,CA-0001-en2026.XLS,2,5,14,Monto,monto
2026,1,CA-0001-en2026.XLS,2,5,16,Monto,monto
2026,1,CA-0001-en2026.XLS,2,5,18,Monto,monto
2026,1,CA-0001-en2026.XLS,2,5,20,Monto,monto
2026,1,CA-0001-en2026.XLS,2,5,22,Monto,monto
2026,1,CA-0001-en2026.XLS,2,5,24,Monto,monto
2026,1,CA-0001-en2026.XLS,2,5,26,Monto,monto
2026,1,CA-0001-en2026.XLS,2,5,28,Monto,monto
2026,1,CA-0001-en2026.XLS,2,5,30,Monto,monto
2026,1,CA-0001-en2026.XLS,2,5,32,Monto,monto
2026,1,CA-0001-en2026.XLS,2,5,34,Monto,monto
2026,1,CA-0001-en2026.XLS,2,5,36,Monto,monto
2026,1,CA-0001-en2026.XLS,2,7,2,Instrumentos de Corto Plazo,instrumento
2026,1,CA-0001-en2026.XLS,2,14,2,Instrumentos de CP del Exterior (1),instrumento
2026,1,CA-0001-en2026.XLS,2,20,2,Instrumentos de Largo Plazo,instrumento
2026,1,CA-0001-en2026.XLS,2,40,2,Instrumentos de LP del Exterior (1),instrumento
2026,1,CA-0001-en2026.XLS,2,65,2,Cuotas de Participación de Fondos de Inversión,participación
2026,1,CA-0001-en2026.XLS,2,75,2,Instrumentos sin Categoría de Riesgo Equivalente,instrumento
2026,1,CA-0001-en2026.XLS,2,79,3,Acciones y Valores representativos sobre Acciones,valor
2026,1,CA-0001-en2026.XLS,2,82,2,Instrumentos de Inversión de Corto Plazo con Equivalencia de Clasificación,instrumento
2026,1,CA-0001-en2026.XLS,2,88,2,Instrumentos de Inversión de Largo Plazo con Equivalencia de Clasificación,instrumento
2026,1,CA-0001-en2026.XLS,2,103,2,Instrumentos sin Categoría de Riesgo Equivalente,instrumento
2026,1,CA-0001-en2026.XLS,2,105,3,Acciones y Valores representativos sobre Acciones,valor
2026,1,CA-0001-en2026.XLS,2,109,1,(1) Financian actividad desarrollada en el país.,país
2026,1,CA-0001-en2026.XLS,2,110,1,(2) Incluye inversiones en Bonos Estructurados cuyo capital protegido corresponde a Instrumentos de Deuda del Gobierno Central.,instrumento
2026,1,CA-0001-en2026.XLS,2,112,1,(4) Incluye la participación de las AFP en Fondos Mutuos Alternativos.,participación
2026,1,CA-0001-en2026.XLS,2,113,1,"(5) Categoría de riesgo equivalente para acciones y valores representativos de derechos sobre acciones, según lo indicado en el Anexo IV de la Circular Nº AFP-044-2004",valor
2026,1,CA-0001-en2026.XLS,2,115,1,"Nota: Las Categorías E y E(e) corresponden a los Títulos que no tienen información suficiente y las categorías V y V(e) se asignan cuando la categoría de riesgo ha sido observada, por considerar que el instrumento tiene una categoría de riesgo correpondiente al grado especulativo.",instrumento
2026,1,CA-0001-en2026.XLS,3,1,1,CARTERA POR EMISOR Y TIPO DE INSTRUMENTO,emisor | instrumento
2026,1,CA-0001-en2026.XLS,3,5,2,Monto,monto
2026,1,CA-0001-en2026.XLS,3,5,4,Monto,monto
2026,1,CA-0001-en2026.XLS,3,5,6,Monto,monto
2026,1,CA-0001-en2026.XLS,3,5,8,Monto,monto
2026,1,CA-0001-en2026.XLS,3,5,10,Monto,monto
2026,1,CA-0001-en2026.XLS,3,5,12,Monto,monto
2026,1,CA-0001-en2026.XLS,3,5,14,Monto,monto
2026,1,CA-0001-en2026.XLS,3,5,16,Monto,monto
2026,1,CA-0001-en2026.XLS,3,5,18,Monto,monto
2026,1,CA-0001-en2026.XLS,3,5,20,Monto,monto
2026,1,CA-0001-en2026.XLS,3,5,22,Monto,monto
2026,1,CA-0001-en2026.XLS,3,5,24,Monto,monto
2026,1,CA-0001-en2026.XLS,3,5,26,Monto,monto
2026,1,CA-0001-en2026.XLS,3,5,28,Monto,monto
2026,1,CA-0001-en2026.XLS,3,5,30,Monto,monto
2026,1,CA-0001-en2026.XLS,3,5,32,Monto,monto
2026,1,CA-0001-en2026.XLS,3,5,34,Monto,monto
2026,1,CA-0001-en2026.XLS,3,69,1,Papeles Comerciales / Instrumentos de CP,instrumento
2026,1,CA-0001-en2026.XLS,3,88,1,Administradora Jockey Plaza Shopping Center S,administradora
2026,1,CA-0001-en2026.XLS,3,100,1,VALOR REP.DERECHO SOBRE ACC. EMP.NAC.,valor
2026,1,CA-0001-en2026.XLS,3,104,1,VALOR REP.DERECHO SOBRE ACC. EMP.NAC.,valor
2026,1,CA-0001-en2026.XLS,3,105,1,CORPORACION PRIMAX S.A,prima
2026,1,CA-0001-en2026.XLS,3,118,1,VALOR REP.DERECHO SOBRE ACC. EMP.NAC.,valor
