archivo,hoja,fila_excel_aprox,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37
CA-0001-no2025.XLS,11,1,INVERSIÓN EN INSTRUMENTOS DERIVADOS LOCALES Y EXTRANJEROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-0001-no2025.XLS,11,2,(Valores Nocionales en miles de Soles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-0001-no2025.XLS,11,3,Al 28-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-0001-no2025.XLS,11,4,,HÁBITAT F1,,HÁBITAT F2,,HÁBITAT F3,,INTEGRA F1,,INTEGRA F2,,INTEGRA F3,,PROFUTURO F1,,PROFUTURO F2,,PROFUTURO F3,,PRIMA F1,,PRIMA F2,,PRIMA F3,,SISTEMA,,,,,,,,,,,
CA-0001-no2025.XLS,11,5,,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,,,,,,,,,,
CA-0001-no2025.XLS,11,6,I. Nacional,989787.7655540535,0.5982138470044585,2568724.340341041,0.19681162484653106,971957.6392407351,0.2244585062308495,1528125.6011528801,0.19686952192669793,3402179.26758092,0.11953037715250248,929633.4484573401,0.2916486304886739,1583838.2,0.32410034283804373,1956684,0.14326107598940163,456559.6,0.1363701801843688,1711930.4,0.25553235844576244,3569435.4,0.15915307095187742,465300.8,0.16656748876718724,20134156.46232697,0.16879792700326393,,,,,,,,,,
CA-0001-no2025.XLS,11,7,1. Forwards,989787.7655540535,0.5982138470044585,2568724.340341041,0.19681162484653106,971957.6392407351,0.2244585062308495,1528125.6011528801,0.19686952192669793,3402179.26758092,0.11953037715250248,929633.4484573401,0.2916486304886739,1583838.2,0.32410034283804373,1956684,0.14326107598940163,456559.6,0.1363701801843688,1711930.4,0.25553235844576244,3569435.4,0.15915307095187742,465300.8,0.16656748876718724,20134156.46232697,0.16879792700326393,,,,,,,,,,
CA-0001-no2025.XLS,11,8,Monedas,989787.7655540535,0.5982138470044585,2568724.340341041,0.19681162484653106,971957.6392407351,0.2244585062308495,1528125.6011528801,0.19686952192669793,3402179.26758092,0.11953037715250248,929633.4484573401,0.2916486304886739,1583838.2,0.32410034283804373,1956684,0.14326107598940163,456559.6,0.1363701801843688,1711930.4,0.25553235844576244,3569435.4,0.15915307095187742,465300.8,0.16656748876718724,20134156.46232697,0.16879792700326393,,,,,,,,,,
CA-0001-no2025.XLS,11,9,II. Extranjero,177546.48667664896,0.10730660704571392,223420.71990027197,0.01711814468270901,65424.520000000004,0.01510877577086785,7256695.246087173,0.9348852756521542,17859998.302880906,0.6274837876501266,3389593.8511241595,1.0633980589162884,3575885.8915918744,0.7317324733136567,6886777.070726417,0.5042240306822183,2631051.4711353877,0.785871030185504,2903300.6749244616,0.43336298528294226,7304895.257464307,0.3257087978696153,1191492.7999999998,0.42652830938649683,53466082.292511605,0.44824146831522216,,,,,,,,,,
CA-0001-no2025.XLS,11,10,1. Forwards,177546.48667664896,0.10730660704571392,223420.71990027197,0.01711814468270901,65424.520000000004,0.01510877577086785,7256695.246087173,0.9348852756521542,17284332.288380906,0.6072586406442814,3282519.9724271595,1.0298063780931521,3575885.8915918744,0.7317324733136567,6886777.070726417,0.5042240306822183,2631051.4711353877,0.785871030185504,2903300.6749244616,0.43336298528294226,7304895.257464307,0.3257087978696153,1191492.7999999998,0.42652830938649683,52783342.399314605,0.4425176090182251,,,,,,,,,,
CA-0001-no2025.XLS,11,11,Monedas,177546.48667664896,0.10730660704571392,223420.71990027197,0.01711814468270901,65424.520000000004,0.01510877577086785,7256695.246087173,0.9348852756521542,17284332.288380906,0.6072586406442814,3282519.9724271595,1.0298063780931521,3575885.8915918744,0.7317324733136567,6886777.070726417,0.5042240306822183,2631051.4711353877,0.785871030185504,2903300.6749244616,0.43336298528294226,7304895.257464307,0.3257087978696153,1191492.7999999998,0.42652830938649683,52783342.399314605,0.4425176090182251,,,,,,,,,,
CA-0001-no2025.XLS,11,12,2. Swaps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
CA-0001-no2025.XLS,11,13,Interest Rate Swap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
CA-0001-no2025.XLS,11,14,3. Futuros,0,0,0,0,0,0,0,0,575666.0145,0.02022514700584523,107073.878697,0.033591680823136245,0,0,0,0,0,0,0,0,0,0,0,0,682739.893197,0.00572385929699705,,,,,,,,,,
CA-0001-no2025.XLS,11,15,Índice,0,0,0,0,0,0,0,0,575666.0145,0.02022514700584523,107073.878697,0.033591680823136245,0,0,0,0,0,0,0,0,0,0,0,0,682739.893197,0.00572385929699705,,,,,,,,,,
