escenario,periodo,fecha_cartera,afp,factor_proxy_mercado,peso_exterior,peso_total_fondo,identificadores,peso_exterior_pct,peso_total_fondo_pct
ampliado_15pct,2015-01,2015-01-30,Habitat,ACWI,0.1926164328889045,0.121674032125593,3,19.26164328889045,12.1674032125593
ampliado_15pct,2015-01,2015-01-30,Habitat,EEM,0.0863006581064035,0.0545153333462195,4,8.63006581064035,5.451533334621949
ampliado_15pct,2015-01,2015-01-30,Habitat,EWJ,0.0517483918470396,0.0326889839958571,1,5.17483918470396,3.2688983995857104
ampliado_15pct,2015-01,2015-01-30,Habitat,LQD,0.007846900960283,0.0049568152893709,1,0.7846900960283,0.49568152893709005
ampliado_15pct,2015-01,2015-01-30,Habitat,MCHI,0.0124309836312022,0.0078525382232989,1,1.24309836312022,0.7852538223298899
ampliado_15pct,2015-01,2015-01-30,Habitat,RESIDUAL_NO_MAPEADO,0.169424947711383,0.1070241838742889,6,16.9424947711383,10.70241838742889
ampliado_15pct,2015-01,2015-01-30,Habitat,SPY,0.3659072872529071,0.23114027373706708,11,36.59072872529071,23.11402737370671
ampliado_15pct,2015-01,2015-01-30,Habitat,VGK,0.06358711506619799,0.0401673967547762,4,6.358711506619799,4.01673967547762
ampliado_15pct,2015-01,2015-01-30,Habitat,XLB,0.0011290649797391,0.0007132199810589,1,0.11290649797390999,0.07132199810589
ampliado_15pct,2015-01,2015-01-30,Habitat,XLE,0.0006564540726312,0.0004146760103712,1,0.06564540726312,0.04146760103712
ampliado_15pct,2015-01,2015-01-30,Habitat,XLF,0.0176316845065012,0.0111377732153813,3,1.76316845065012,1.11377732153813
ampliado_15pct,2015-01,2015-01-30,Habitat,XLI,0.0036334417333645,0.0022952117820957,1,0.36334417333645,0.22952117820957
ampliado_15pct,2015-01,2015-01-30,Habitat,XLK,0.0069844635777909,0.0044120215134205,1,0.69844635777909,0.44120215134205
ampliado_15pct,2015-01,2015-01-30,Habitat,XLP,0.0035137727025823,0.0022196179541058,1,0.35137727025823,0.22196179541058
ampliado_15pct,2015-01,2015-01-30,Habitat,XLV,0.0051635080431827,0.0032617406215249,1,0.5163508043182701,0.32617406215249
ampliado_15pct,2015-01,2015-01-30,Habitat,XLY,0.0114248929198851,0.0072169999584996,1,1.14248929198851,0.72169999584996
ampliado_15pct,2015-01,2015-01-30,Integra,ACWI,9.806330877932347e-05,5.857455722241422e-05,2,0.009806330877932347,0.005857455722241422
