escenario,periodo,fecha_cartera,afp,tipo_activo,peso_exterior,peso_total_fondo,identificadores,peso_exterior_pct,peso_total_fondo_pct
ampliado_15pct,2015-01,2015-01-30,Habitat,no_determinado,0.0419465309370309,0.0264972384559379,4,4.19465309370309,2.64972384559379
ampliado_15pct,2015-01,2015-01-30,Habitat,renta_fija,0.007846900960283,0.0049568152893709,1,0.7846900960283,0.49568152893709005
ampliado_15pct,2015-01,2015-01-30,Habitat,renta_variable,0.950206568102684,0.6002367646376207,36,95.0206568102684,60.023676463762065
ampliado_15pct,2015-01,2015-01-30,Integra,mercados_privados_y_alternativos,0.0403554508856264,0.024104863445468798,9,4.03554508856264,2.4104863445468796
ampliado_15pct,2015-01,2015-01-30,Integra,no_determinado,0.21901367199133492,0.13081986547503063,20,21.901367199133492,13.081986547503064
ampliado_15pct,2015-01,2015-01-30,Integra,renta_fija,1.953548362281125e-07,1.1668811888725133e-07,1,1.953548362281125e-05,1.1668811888725133e-05
ampliado_15pct,2015-01,2015-01-30,Integra,renta_variable,0.7406306817681992,0.44238884848900834,50,74.06306817681993,44.23888484890083
ampliado_15pct,2015-01,2015-01-30,Prima,mercados_privados_y_alternativos,0.0603114763650396,0.034121698891151,6,6.03114763650396,3.4121698891150998
ampliado_15pct,2015-01,2015-01-30,Prima,no_determinado,0.1389655323437814,0.0786208585275426,11,13.896553234378139,7.86208585275426
ampliado_15pct,2015-01,2015-01-30,Prima,renta_fija,0.0051969120323113,0.0029401944408893998,2,0.51969120323113,0.29401944408894
ampliado_15pct,2015-01,2015-01-30,Prima,renta_variable,0.7955260792588654,0.4500752256872924,36,79.55260792588655,45.00752256872924
ampliado_15pct,2015-01,2015-01-30,Profuturo,materias_primas,0.0005497936847659,0.0003469323488509,1,0.054979368476590004,0.03469323488509
ampliado_15pct,2015-01,2015-01-30,Profuturo,mercados_privados_y_alternativos,0.021573114868125798,0.013613127288679399,12,2.1573114868125796,1.3613127288679399
ampliado_15pct,2015-01,2015-01-30,Profuturo,no_determinado,0.2437920475276538,0.15383833976915937,13,24.37920475276538,15.383833976915936
ampliado_15pct,2015-01,2015-01-30,Profuturo,renta_fija,0.050926147869614496,0.0321355602799616,4,5.09261478696145,3.21355602799616
ampliado_15pct,2015-01,2015-01-30,Profuturo,renta_variable,0.683158896049837,0.4310888375262419,28,68.31588960498371,43.10888375262419
ampliado_15pct,2015-02,2015-02-27,Habitat,no_determinado,0.0461494624795723,0.0291756641396149,4,4.61494624795723,2.91756641396149
ampliado_15pct,2015-02,2015-02-27,Habitat,renta_fija,0.0075192579323569,0.0047536706220725,1,0.75192579323569,0.47536706220725
ampliado_15pct,2015-02,2015-02-27,Habitat,renta_variable,0.9463312795880687,0.5982701009853537,36,94.63312795880687,59.82701009853537
ampliado_15pct,2015-02,2015-02-27,Integra,mercados_privados_y_alternativos,0.0378373668806613,0.0234298368649176,9,3.7837366880661296,2.3429836864917597
ampliado_15pct,2015-02,2015-02-27,Integra,no_determinado,0.25016491566683513,0.15490832599124457,20,25.016491566683513,15.490832599124458
ampliado_15pct,2015-02,2015-02-27,Integra,renta_fija,1.8583066542292505e-07,1.1507096117683453e-07,1,1.8583066542292504e-05,1.1507096117683454e-05
ampliado_15pct,2015-02,2015-02-27,Integra,renta_variable,0.7119975316218349,0.4408865465384636,51,71.19975316218348,44.08865465384636
ampliado_15pct,2015-02,2015-02-27,Prima,mercados_privados_y_alternativos,0.059358953937744,0.0353524811483317,7,5.9358953937744,3.53524811483317
ampliado_15pct,2015-02,2015-02-27,Prima,no_determinado,0.1500276379076262,0.08935213458142827,10,15.002763790762618,8.935213458142826
ampliado_15pct,2015-02,2015-02-27,Prima,renta_fija,0.0024581997038655,0.001464032853087,2,0.24581997038655,0.1464032853087
ampliado_15pct,2015-02,2015-02-27,Prima,renta_variable,0.7881552084507617,0.46940251302167785,34,78.81552084507616,46.94025130216779
ampliado_15pct,2015-02,2015-02-27,Profuturo,materias_primas,0.000536516529891,0.0003424809026727,1,0.053651652989100004,0.03424809026727
ampliado_15pct,2015-02,2015-02-27,Profuturo,mercados_privados_y_alternativos,0.0212396776472232,0.013558173081036,12,2.12396776472232,1.3558173081036
ampliado_15pct,2015-02,2015-02-27,Profuturo,no_determinado,0.2467753337229152,0.15752699934140252,12,24.67753337229152,15.752699934140251
ampliado_15pct,2015-02,2015-02-27,Profuturo,renta_fija,0.0524948284718426,0.033509640876004096,4,5.24948284718426,3.3509640876004094
ampliado_15pct,2015-02,2015-02-27,Profuturo,renta_variable,0.6789536436281255,0.43340445967237656,26,67.89536436281254,43.340445967237656
ampliado_15pct,2015-03,2015-03-31,Habitat,no_determinado,0.054706364172436794,0.0355348166289,6,5.470636417243679,3.55348166289
ampliado_15pct,2015-03,2015-03-31,Habitat,renta_fija,0.0071837929888046,0.0046662718390956,1,0.71837929888046,0.46662718390956
ampliado_15pct,2015-03,2015-03-31,Habitat,renta_variable,0.938109842838756,0.6093543547870635,38,93.8109842838756,60.935435478706346
ampliado_15pct,2015-03,2015-03-31,Integra,mercados_privados_y_alternativos,0.0389236588773118,0.0239200828898709,9,3.89236588773118,2.39200828898709
ampliado_15pct,2015-03,2015-03-31,Integra,no_determinado,0.21890573361561666,0.13452597839422836,18,21.890573361561668,13.452597839422836
ampliado_15pct,2015-03,2015-03-31,Integra,renta_fija,1.921224718508722e-07,1.1806663567176863e-07,1,1.921224718508722e-05,1.1806663567176863e-05
ampliado_15pct,2015-03,2015-03-31,Integra,renta_variable,0.7421704153845969,0.4560922165710749,53,74.2170415384597,45.60922165710749
ampliado_15pct,2015-03,2015-03-31,Prima,mercados_privados_y_alternativos,0.060151873931783895,0.0357389615821972,7,6.0151873931783895,3.57389615821972
ampliado_15pct,2015-03,2015-03-31,Prima,no_determinado,0.14374107978902861,0.08540310704516911,10,14.374107978902861,8.54031070451691
ampliado_15pct,2015-03,2015-03-31,Prima,renta_fija,0.000365064928202,0.0002169016622626,1,0.0365064928202,0.021690166226259997
ampliado_15pct,2015-03,2015-03-31,Prima,renta_variable,0.7957419813509832,0.4727864693475063,32,79.57419813509831,47.278646934750626
ampliado_15pct,2015-03,2015-03-31,Profuturo,materias_primas,0.0005395331785852,0.0003445065946676,1,0.053953317858520006,0.03445065946676
