afp,identificador_final,isin,entidad_administradora,moneda,estado_refinado,primera_fecha,ultima_fecha,meses_presentes,valor_mediano_miles_soles,valor_maximo_miles_soles,observaciones
Habitat,FONDO MUTUO EXT,,FONDO MUTUO EXT,,entidad_sin_isin_pendiente,2015-01-30,2024-03-29,111,611093.8878895546,1296556.803647984,111
Habitat,FMAE,,FMAE,,entidad_sin_isin_pendiente,2018-06-29,2024-03-29,70,139817.2886598821,502277.38079711644,70
Habitat,US4642875235,US4642875235,BlackRock Fund Advisors,USD,isin,2024-06-28,2026-01-30,20,193931.05955407798,470111.420381625,20
Habitat,US92189F1066,US92189F1066,VAN ECK ASSOCIATES CORPORATION,USD,isin,2025-02-28,2026-01-30,10,77541.4712265,425691.55971882,10
Habitat,US92189F6768,US92189F6768,Van Eck Associates Corporation,USD,isin,2024-04-30,2024-09-30,6,193266.523534905,296457.7514745,6
Habitat,US5007673065,US5007673065,"Krane Funds Advisors, LLC",USD,isin,2023-10-31,2026-01-30,21,59761.55307015,262121.7437748,21
Habitat,US92189F6768,US92189F6768,VAN ECK ASSOCIATES CORPORATION,USD,isin,2024-10-31,2026-01-30,16,204702.50979928498,252748.06893327998,16
Habitat,US33733E3027,US33733E3027,First Trust Advisors L.P.,USD,isin,2023-10-31,2025-11-28,19,164550.61086464,251834.79583568,19
Habitat,US9229083632,US9229083632,THE VANGUARD GROUP INC.,USD,isin,2024-10-31,2025-10-31,13,20.62150244,234643.08433812,13
Habitat,US81369Y5069,US81369Y5069,State Street GA,USD,isin,2022-01-31,2024-03-29,25,94960.58427648,159452.295565389,25
Habitat,US81369Y5069,US81369Y5069,State Street Global Advisors Inc,USD,isin,2023-10-31,2025-05-30,12,8173.315455232,152588.007802125,12
Habitat,US97717Y5437,US97717Y5437,WisdomTree Asset Management Inc.,USD,isin,2023-10-31,2026-01-30,11,60042.9607232,149740.0292432,11
Habitat,US46434G8226,US46434G8226,BlackRock USA,USD,isin,2016-11-30,2024-03-29,54,17113.407821,148041.7297695,54
Habitat,US37954Y8306,US37954Y8306,Global X Management Company LLC,USD,isin,2025-11-28,2026-01-30,3,77748.3733752,148003.147424,3
Habitat,US92189F6768,US92189F6768,VAN ECK,USD,isin,2024-03-29,2024-03-29,1,135612.4345128,135612.4345128,1
Habitat,BROWN BROTHERS,,BROWN BROTHERS,,entidad_sin_isin_pendiente,2015-01-30,2024-03-29,92,2511.8488608000002,121000.40216346418,93
Habitat,CTA CTE EXT,,CTA CTE EXT,,entidad_sin_isin_pendiente,2015-01-30,2024-08-30,113,1963.5299730959,121000.40216346418,114
Habitat,US4642874329,US4642874329,BlackRock USA,USD,isin,2020-06-30,2024-03-29,15,20548.69731504,119384.02039284,15
Habitat,US4642876555,US4642876555,BlackRock Fund Advisors,USD,isin,2024-07-31,2025-10-31,14,22454.02699512,118839.45196512001,14
Habitat,US4642864007,US4642864007,BlackRock Fund Advisors,USD,isin,2024-05-31,2026-01-30,13,48623.0465322,118115.12375,13
Habitat,US92189H6071,US92189H6071,VAN ECK,USD,isin,2022-01-31,2024-03-29,23,39639.565443852,114749.54422400001,23
Habitat,US92189F7188,US92189F7188,VAN ECK,USD,isin,2022-07-29,2022-08-31,2,99504.31711490001,114297.6657886,2
Habitat,US4642875235,US4642875235,BlackRock USA,USD,isin,2015-03-31,2024-03-29,35,13602.1655,111628.553568,35
Habitat,US46434G8226,US46434G8226,BlackRock Fund Advisors,USD,isin,2024-04-30,2025-05-30,11,58152.055302,110924.4498528,11
