anio,mes,archivo,hoja,fecha_cartera,fila_codigos,fila_inicio_datos,frontera_metadatos_columna,afp_fondo3_detectadas,numero_afp_detectadas,unidad,filas_base,filas_canonicas,registros_largos,registros_refinados,parejas_exactas_originales,parejas_exactas_heuristicas,pendientes,fusiones_nuevas,incidencias_iniciales,estado_proceso,error,grupos_reconciliados,grupos_sin_isin,grupos_revisar,registros_isin,fondos_sin_isin_pareja
2015,1,CA-0001-en2015.XLS,3,2015-01-30,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,534,521,700,468.0,0.0,232.0,236.0,232.0,0.0,correcto,,,,,,
2015,1,CA-0001-en2015.XLS,9,2015-01-30,3,4,2,Integra | Prima | Profuturo,3,unidades,35,23,50,,,,,,,correcto,,,,,,
2015,1,CA-0001-en2015.XLS,10,2015-01-30,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,391,287,324,297.0,,,63.0,27.0,,correcto,,90.0,63.0,2.0,207.0,27.0
2015,2,CA-0001-fe2015.XLS,3,2015-02-27,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,535,522,703,475.0,0.0,228.0,247.0,228.0,0.0,correcto,,,,,,
2015,2,CA-0001-fe2015.XLS,9,2015-02-27,3,4,2,Integra | Prima | Profuturo,3,unidades,37,24,52,,,,,,,correcto,,,,,,
2015,2,CA-0001-fe2015.XLS,10,2015-02-27,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,381,280,319,291.0,,,61.0,28.0,,correcto,,89.0,62.0,1.0,202.0,28.0
2015,3,CA-0001-ma2015.XLS,3,2015-03-31,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,529,516,714,476.0,0.0,238.0,238.0,238.0,0.0,correcto,,,,,,
2015,3,CA-0001-ma2015.XLS,9,2015-03-31,3,4,2,Integra | Prima | Profuturo,3,unidades,37,24,52,,,,,,,correcto,,,,,,
2015,3,CA-0001-ma2015.XLS,10,2015-03-31,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,381,278,322,294.0,,,62.0,28.0,,correcto,,87.0,65.0,1.0,204.0,28.0
2015,4,CA-0001-ab2015.XLS,3,2015-04-30,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,532,519,709,475.0,0.0,234.0,241.0,234.0,0.0,correcto,,,,,,
2015,4,CA-0001-ab2015.XLS,9,2015-04-30,3,4,2,Integra | Prima | Profuturo,3,unidades,37,24,52,,,,,,,correcto,,,,,,
2015,4,CA-0001-ab2015.XLS,10,2015-04-30,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,379,277,318,290.0,,,62.0,28.0,,correcto,,88.0,65.0,1.0,200.0,28.0
2015,5,CA-0001-my2015.XLS,3,2015-05-29,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,530,517,710,475.0,0.0,235.0,240.0,235.0,0.0,correcto,,,,,,
2015,5,CA-0001-my2015.XLS,9,2015-05-29,3,4,2,Integra | Prima | Profuturo,3,unidades,39,25,53,,,,,,,correcto,,,,,,
2015,5,CA-0001-my2015.XLS,10,2015-05-29,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,382,278,325,297.0,,,64.0,28.0,,correcto,,88.0,65.0,1.0,205.0,28.0
2015,6,CA-0001-jn2015.XLS,3,2015-06-30,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,536,523,727,487.0,0.0,240.0,247.0,240.0,0.0,correcto,,,,,,
2015,6,CA-0001-jn2015.XLS,9,2015-06-30,3,4,2,Integra | Prima | Profuturo,3,unidades,39,25,53,,,,,,,correcto,,,,,,
2015,6,CA-0001-jn2015.XLS,10,2015-06-30,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,389,285,328,300.0,,,64.0,28.0,,correcto,,88.0,67.0,1.0,208.0,28.0
2015,7,CA-0001-jl2015.XLS,3,2015-07-31,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,547,534,756,502.0,0.0,254.0,248.0,254.0,0.0,correcto,,,,,,
2015,7,CA-0001-jl2015.XLS,9,2015-07-31,3,4,2,Integra | Prima | Profuturo,3,unidades,41,27,56,,,,,,,correcto,,,,,,
