fuente,fecha_cartera,archivo,afp,fila_principal,fila_secundaria,identificador,categoria_asignada,valor,accion,hoja,fila_administradora,fila_instrumento,administradora,instrumento_sin_isin
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,10.0,11.0,GOB.CENTRAL,BONOS GOB.CEN.,3392.1729039091992,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,15.0,16.0,BANCO FALABELLA,OTRO BONOS SIST,73.313007804,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,37.0,38.0,CREDICORP,ACC.CAP.SOCIAL,538.11785016,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,78.0,79.0,INTERGROUP,ACC.CAP.SOCIAL,812.7840993893,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,80.0,81.0,INTERSEGURO,BON.SUB.FIN.,1815.8301569383998,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,116.0,117.0,Andino Investme,BON.EMP.PRIV.,357.319655,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,129.0,130.0,Cía Minera Ares,BON.EMP.PRIV.,874.8572742694,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,141.0,142.0,EDEGEL S.A.,ACC.CAP.SOCIAL,1370.97695728,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,156.0,157.0,Ferreycorp,ACC.CAP.SOCIAL,486.03288565549997,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,172.0,173.0,InRetail,ACC.CAP.SOCIAL,2.4554672222,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,180.0,181.0,LUZ DEL SUR,ACC.CAP.SOCIAL,471.1365319752,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,185.0,186.0,MILPO,ACC.CAP.SOCIAL,932.678413513,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,188.0,189.0,MINSUR,ACC.TRABAJO,1710.2012997978,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,204.0,205.0,RELAPASA,ACC.CAP.SOCIAL,0.0010799988,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,206.0,207.0,REP,BON.EMP.PRIV.,230.3990422441,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,212.0,213.0,SAGA,BON.EMP.PRIV.,170.9202907781,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,229.0,230.0,Cineplex,BON.EMP.PRIV.,662.0622919856,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,231.0,232.0,Rutas de Lima,BON.EMP.PRIV.,537.0313499499999,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,297.0,298.0,SCOTIA ST,TIT.C/D CREDITI,896.2311109284,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,341.0,342.0,BROWN BROTHERS,CTA CTE EXT,679.6730518136,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,439.0,440.0,AXA FUNDS,FONDO MUTUO EXT,654.1675902062,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,441.0,442.0,BANK NEW YORK,FONDO MUTUO EXT,711.147074,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,443.0,444.0,BlackRock USA,FONDO MUTUO EXT,21206.50516226,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,451.0,452.0,DIMENSIONAL,FONDO MUTUO EXT,5726.609535995001,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,461.0,462.0,GARTMORE,FONDO MUTUO EXT,1885.1005342176,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,484.0,485.0,MORGAN STAN INV,FONDO MUTUO EXT,491.5704592471,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,486.0,487.0,Muzinich,FONDO MUTUO EXT,934.9445216311,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,500.0,501.0,PIONEER,FONDO MUTUO EXT,1826.1013185175,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,506.0,507.0,STATE ST BANK,FONDO MUTUO EXT,3753.0216284,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,516.0,517.0,VANGUARD GROUP,FONDO MUTUO EXT,20227.256806460002,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Habitat,524.0,525.0,WisdomTreeAsset,FONDO MUTUO EXT,5228.74723184,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Integra,10.0,11.0,GOB.CENTRAL,BONOS GOB.CEN.,417276.3431077615,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Integra,20.0,21.0,BID,ORG INT LOC,26781.901303399998,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Integra,28.0,29.0,Confianza,CD SERIADOS,260.912992077,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Integra,37.0,38.0,CREDICORP,ACC.CAP.SOCIAL,66670.20139295999,fusion_adyacente_exacta,3,,,,
hoja_3,2015-01-30,CA-0001-en2015.XLS,Integra,78.0,79.0,INTERGROUP,ACC.CAP.SOCIAL,66665.5324240956,fusion_adyacente_exacta,3,,,,
