periodo,afp,fecha_ca,monto_hojas_miles_soles,registros_hojas,identificadores_unicos,registros_isin,registros_fondo_sin_isin,total_fondo_miles_soles,total_exterior_miles_soles,total_exterior_pct_fp1356,ratio_cobertura_exterior,error_cobertura_pct,factor_reescala,estado_cobertura,elegible_modelo_principal,elegible_analisis_ampliado,cobertura_exterior_pct,exterior_sobre_fondo_pct
2015-01,Habitat,2015-01-30,62645.1718627745,41,41,41,0,100246.5811940938,63324.8449145881,63.169081838293145,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,98.92668816997445,63.16908183829315
2015-01,Integra,2015-01-30,4857721.3276250465,80,80,71,9,8400569.1195552,5017774.973323989,59.731369409762976,0.9681026657134216,3.189733428657837,1.0329482971344495,operativo,True,True,96.81026657134217,59.73136940976297
2015-01,Prima,2015-01-30,4492502.5593756875,55,55,49,6,8030752.206630416,4543462.126603353,56.57579775468781,0.9887839788672868,1.121602113271325,1.0113432472333965,estricto,True,True,98.87839788672868,56.575797754687805
2015-01,Profuturo,2015-01-30,3420982.1229378358,58,58,46,12,5397129.861704912,3405711.9822542835,63.10227972128958,1.0044836852802346,0.4483685280234573,0.9955363284183318,estricto,True,True,100.44836852802345,63.10227972128959
2015-02,Habitat,2015-02-27,67641.7037954395,41,41,41,0,109141.202694716,68999.0067603531,63.21994357470428,0.9803286593729128,1.9671340627087197,1.0200660670674164,estricto,True,True,98.03286593729128,63.219943574704295
2015-02,Integra,2015-02-27,5251775.556950693,81,81,72,9,8638383.194662321,5349101.317381278,61.92248244655898,0.9818052127533393,1.8194787246660682,1.0185319725443664,estricto,True,True,98.18052127533393,61.92248244655899
2015-02,Prima,2015-02-27,4829019.461987256,53,53,46,7,8241739.8962728875,4908542.60366562,59.557116160452715,0.983799031993941,1.620096800605897,1.0164677616862696,estricto,True,True,98.3799031993941,59.55711616045273
2015-02,Profuturo,2015-02-27,3545819.691273859,55,55,43,12,5595425.418597999,3571793.6753761773,63.834175387349426,0.9927280278585568,0.727197214144315,1.0073252410905833,estricto,True,True,99.27280278585569,63.834175387349426
2015-03,Habitat,2015-03-31,71752.7792292731,45,45,45,0,110835.6072428368,71993.8719910647,64.9555443255061,0.996651204399431,0.3348795600568999,1.0033600477135698,estricto,True,True,99.6651204399431,64.9555443255061
2015-03,Integra,2015-03-31,5107235.73430614,81,81,72,9,8496595.532139499,5221484.1891174475,61.45383959218127,0.9781195440466098,2.1880455953390165,1.02236992000269,operativo,True,True,97.81195440466098,61.45383959218126
