grupo,entidad,fila_entidad,numero_isin,max_diferencia_abs,max_diferencia_rel,estado
1,BROWN BROTHERS HARRIMAN & CO.,7,0,,,sin_isin
2,AUD,8,0,,,sin_isin
4,CAD,10,0,,,sin_isin
7,EUR,13,0,,,sin_isin
8,GBP,14,0,,,sin_isin
9,JPY,15,0,,,sin_isin
13,USD,19,0,,,sin_isin
15,CHF,21,0,,,sin_isin
18,NOK,24,0,,,sin_isin
19,ZAR,25,0,,,sin_isin
22,JP MORGAN CHASE & CO,28,0,,,sin_isin
24,CAD,30,0,,,sin_isin
26,EUR,32,0,,,sin_isin
27,GBP,33,0,,,sin_isin
31,USD,37,0,,,sin_isin
34,SOCIETE GENERALE ASSET MANAGEMENT,40,0,,,sin_isin
35,USD,41,0,,,sin_isin
36,INTL FCStone Financial Inc.,42,0,,,sin_isin
37,USD,43,0,,,sin_isin
38,STATE STREET BANK AND TRUST COMPANY,44,0,,,sin_isin
44,EUR,50,0,,,sin_isin
45,GBP,51,0,,,sin_isin
49,USD,55,0,,,sin_isin
53,Auna S.A.A.,60,1,0.0,0.0,reconciliado
54,Hecla Mining Company,62,1,0.0,0.0,reconciliado
55,REPUBLICA DE CHILE,65,2,0.0,0.0,reconciliado
56,REPUBLICA DE COLOMBIA,68,7,0.0,0.0,reconciliado
57,GOBIERNO DE MEXICO,76,7,0.0,0.0,reconciliado
58,GOBIERNO DE LOS ESTADOS UNIDOS,84,1,0.0,0.0,reconciliado
59,REPUBLICA FEDERAL DE BRASIL,86,4,0.0,0.0,reconciliado
60,Gobierno de Japón,91,1,0.0,0.0,reconciliado
61,Gobierno de Sudáfrica,93,1,0.0,0.0,reconciliado
62,EMPRESAS PÚBLICAS DE MEDELLIN,96,1,0.0,0.0,reconciliado
63,ECOPETROL S.A.,98,6,0.0,0.0,reconciliado
64,Empresa de Energia de Bogota S.A. E.S.P.,105,1,0.0,0.0,reconciliado
65,BBVA Bancomer S.A.,108,5,0.0,0.0,reconciliado
66,GRUPO FINANCIERO BANORTE,114,4,0.0,0.0,reconciliado
67,BANCOLOMBIA S.A.,119,1,0.0,0.0,reconciliado
68,Grupo Aval Acciones y Valores S.A.,121,1,0.0,0.0,reconciliado
69,Banco de Crédito e Inversiones,123,2,0.0,0.0,reconciliado
70,Banco Davivienda S.A.,126,2,0.0,0.0,reconciliado
71,Inversiones CMPC S.A.,130,1,0.0,0.0,reconciliado
72,Grupo Nutresa S.A.,132,1,0.0,0.0,reconciliado
73,ALLIANZ GLOBAL INVESTORS,135,3,3.552713678800501e-15,1.8645633444403734e-19,reconciliado
74,AXA FUNDS MANAGEMENT,139,4,0.0,0.0,reconciliado
75,BlackRock Fund Advisors,144,16,1.1641532182693481e-10,1.8396607718379198e-16,reconciliado
76,BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG,161,2,0.0,0.0,reconciliado
77,DIMENSIONAL FUND ADVISOR,164,1,0.0,0.0,reconciliado
78,DWS INVESTMENT SA,166,4,0.0,0.0,reconciliado
79,FIDELITY INTERNATIONAL LTD.,171,1,0.0,0.0,reconciliado
80,FRANKLIN TEMPLETON INTERNATIONAL SERVICES S.A,173,3,0.0,0.0,reconciliado
81,Investec Global Strategy Fund,177,1,0.0,0.0,reconciliado
82,JP MORGAN FLEMING FUNDS SICAV,179,2,0.0,0.0,reconciliado
83,"Matthews International Capital Management,LLC",182,1,0.0,0.0,reconciliado
84,SCHRODER INVESTMENT MANAGEMENT,184,2,0.0,0.0,reconciliado
85,VAN ECK ASSOCIATES CORPORATION,187,5,1.1641532182693481e-10,2.1835822085081946e-16,reconciliado
86,THE VANGUARD GROUP INC.,193,4,0.0,0.0,reconciliado
87,Vontobel Asset Management S.A.,198,4,0.0,0.0,reconciliado
88,WisdomTree Asset Management Inc.,203,2,0.0,0.0,reconciliado
89,UBS GLOBAL ASSET MANAGEMENT (US) INC.,206,1,0.0,0.0,reconciliado
90,BlackRock Asset Management Ireland Limited,208,2,0.0,0.0,reconciliado
91,BNP PARIBAS ASSET MANAGEMENT S.A.S,211,1,0.0,0.0,reconciliado
92,Nomura Asset Management UK Ltd.,213,3,0.0,0.0,reconciliado
93,FIL Investment Management (Luxembourg) S.A.,217,1,0.0,0.0,reconciliado
94,Pictet Asset Management (Europe) S.A.,219,3,0.0,0.0,reconciliado
95,GAM International Management Limited,223,1,0.0,0.0,reconciliado
96,Robeco Luxembourg S.A.,225,6,0.0,0.0,reconciliado
97,"SSGA Funds Management, Inc.",232,3,0.0,0.0,reconciliado
98,PineBridge investments Ireland Limited,236,1,0.0,0.0,reconciliado
99,Amundi Asset Management,238,2,0.0,0.0,reconciliado
100,GOLDMAN SACHS ASSET MANAGEMENT,241,2,0.0,0.0,reconciliado
101,JP MORGAN ASSET MANAGMENT (EUROPE),244,5,0.0,0.0,reconciliado
102,Santander Asset Management Luxembourg S.A.,250,1,0.0,0.0,reconciliado
103,First Trust Advisors L.P.,252,2,0.0,0.0,reconciliado
104,Deutsche Asset Management S.A.,255,1,0.0,0.0,reconciliado
105,Aberdeen Global Services S.A.,257,2,0.0,0.0,reconciliado
106,Invesco Management S.A.,260,2,0.0,0.0,reconciliado
107,Groupama Asset Management,263,2,0.0,0.0,reconciliado
108,Invesco Fund Managers Limited,266,1,0.0,0.0,reconciliado
109,Eastspring Investments (Luxembourg) S.A.,268,1,0.0,0.0,reconciliado
110,PIMCO Global Advisors (Ireland) Limited,270,6,0.0,0.0,reconciliado
111,Candriam Luxembourg,277,2,0.0,0.0,reconciliado
112,Man Fund Management UK Limited,280,1,0.0,0.0,reconciliado
113,Henderson Management SA,282,1,0.0,0.0,reconciliado
114,ALLIANCE BERNSTEIN L.P,284,1,0.0,0.0,reconciliado
115,Global Evolution Manco S.A.,286,1,0.0,0.0,reconciliado
116,Veritas Asset Management LLP,288,1,0.0,0.0,reconciliado
117,Degroof Petercam Asset Services S.A.,290,1,0.0,0.0,reconciliado
