afp,estado_cobertura,observaciones,periodos_unicos,ratio_mediano,error_mediano_pct,error_p90_pct,observaciones_totales,participacion_estado_pct
Habitat,ampliado,9,9,0.9437144056657847,5.628559433421532,10.08257849860826,133,6.7669172932330826
Habitat,estricto,85,85,0.9931509295737128,0.684907042628724,1.5933849913706277,133,63.90977443609023
Habitat,operativo,39,39,0.9729767663471253,2.7023233652874734,4.498763850482113,133,29.32330827067669
Integra,ampliado,61,61,0.9066509534938669,9.334904650613307,13.312727229163224,133,45.86466165413533
Integra,estricto,27,27,0.9845533873699408,1.5446612630059198,1.7991454700536647,133,20.30075187969925
Integra,excluir,23,23,0.7973186031862695,20.268139681373054,22.859023105679597,133,17.293233082706767
Integra,operativo,22,22,0.9667450560646024,3.325494393539763,4.567591233167456,133,16.541353383458645
Prima,ampliado,32,32,0.8770444395684333,12.295556043156674,13.99547300838802,133,24.06015037593985
Prima,estricto,61,61,0.9885976464348966,1.140235356510344,1.6852110637152418,133,45.86466165413533
Prima,excluir,5,5,0.7545052608503918,24.549473914960817,26.884052175927764,133,3.7593984962406015
Prima,operativo,35,35,0.9714632766606661,2.853672333933388,4.456375232501954,133,26.31578947368421
Profuturo,ampliado,69,69,0.904774181432167,9.522581856783297,13.81885199383368,133,51.8796992481203
Profuturo,estricto,25,25,0.9883542299971204,1.1645770002879585,1.7642273554293864,133,18.796992481203006
Profuturo,excluir,15,15,0.8184858001235273,18.151419987647266,23.805645502850766,133,11.278195488721805
Profuturo,operativo,24,24,0.9610901239488325,3.8909876051167522,4.603608914734245,133,18.045112781954884
