fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,identificador_especifico,categoria_instrumento,estado_pareja,moneda,total_canonico,participacion_calculada_pct,estado_refinado,fila_categoria_origen,total_refinado,participacion_hoja3_refinada_pct
2026-01-30,CA-0001-en2026.XLS,3,8,Habitat,3,495580.3823458773,miles_soles,0.0993897153814527,GOBIERNO CENTRAL,BONOS GOBIERNO CENTRAL DE LA REPUBLICA,sin_categoria_adyacente,,5792285.413077266,8.555869523055675,pareja_exacta_heuristica,9.0,5140331.281444551,9.64102030028321
2026-01-30,CA-0001-en2026.XLS,3,17,Habitat,3,21559.0564365518,miles_soles,0.004323715303214,BANCO CONTINENTAL,,sin_categoria_adyacente,,5792285.413077266,0.3722029371666981,pendiente_sin_categoria,,5140331.281444551,0.41940986399797187
2026-01-30,CA-0001-en2026.XLS,3,22,Habitat,3,38626.22128952001,miles_soles,0.0077465720536674,BANCO DE CREDITO DEL PERU,,sin_categoria_adyacente,,5792285.413077266,0.6668563189637277,pendiente_sin_categoria,,5140331.281444551,0.7514344732790286
2026-01-30,CA-0001-en2026.XLS,3,39,Habitat,3,13950.96819544,miles_soles,0.0027978967845275,BANCO INTERNACIONAL DEL PERU,,sin_categoria_adyacente,,5792285.413077266,0.2408542949893809,pendiente_sin_categoria,,5140331.281444551,0.27140212238459965
2026-01-30,CA-0001-en2026.XLS,3,55,Habitat,3,192.1201488,miles_soles,3.853011052997587e-05,BANCO SCOTIABANK DEL PERU S.A.A,,sin_categoria_adyacente,,5792285.413077266,0.0033168280756029,pendiente_sin_categoria,,5140331.281444551,0.0037375051972527696
2026-01-30,CA-0001-en2026.XLS,3,63,Habitat,3,200782.89711392,miles_soles,0.0402674434027302,CONSORCIO CREDICORP,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,5792285.413077266,3.466384730638647,pareja_exacta_original,,5140331.281444551,3.9060302949481374
2026-01-30,CA-0001-en2026.XLS,3,77,Habitat,3,19960.06158144,miles_soles,0.0040030334336177,Intercorp Financial Services Inc.,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,5792285.413077266,0.3445973421195041,pareja_exacta_original,,5140331.281444551,0.3883030195639602
2026-01-30,CA-0001-en2026.XLS,3,79,Habitat,3,2919.551002516,miles_soles,0.0005855222553567,Intercorp Perú Ltd.,OTROS BONOS SISTEMA FINANCIERO,sin_categoria_adyacente,,5792285.413077266,0.0504041288422099,pareja_exacta_heuristica,80.0,5140331.281444551,0.05679694250553321
2026-01-30,CA-0001-en2026.XLS,3,88,Habitat,3,542.8660194,miles_soles,0.0001088729519579,Administradora Jockey Plaza Shopping Center S,BONOS DE EMPRESAS PRIVADAS,pareja_exacta,,5792285.413077266,0.0093722249627818,pareja_exacta_original,,5140331.281444551,0.01056091503984627
2026-01-30,CA-0001-en2026.XLS,3,90,Habitat,3,51987.20714481981,miles_soles,0.0104261466064128,AENZA S.A.A. (antes GRANA & MONTERO S.A.A.),ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,5792285.413077266,0.8975249566854575,pareja_exacta_original,,5140331.281444551,1.0113590797636336
2026-01-30,CA-0001-en2026.XLS,3,98,Habitat,3,96260.4482103186,miles_soles,0.0193052406651508,CEMENTOS PACASMAYO S.A.A.,,sin_categoria_adyacente,,5792285.413077266,1.6618733599175033,pendiente_sin_categoria,,5140331.281444551,1.8726506705471948
2026-01-30,CA-0001-en2026.XLS,3,101,Habitat,3,288750.51516384,miles_soles,0.0579095390792776,CIA MINERA BUENAVENTURA,,sin_categoria_adyacente,,5792285.413077266,4.985087829269027,pendiente_sin_categoria,,5140331.281444551,5.617352255216797
2026-01-30,CA-0001-en2026.XLS,3,111,Habitat,3,67855.46912073021,miles_soles,0.0136085607970604,Engie Energía Perú S.A.,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,5792285.413077266,1.1714800684291669,pareja_exacta_original,,5140331.281444551,1.3200602335820903
2026-01-30,CA-0001-en2026.XLS,3,114,Habitat,3,163394.2488,miles_soles,0.0327690692805999,Ferreycorp S.A.A.,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,5792285.413077266,2.820894295559127,pareja_exacta_original,,5140331.281444551,3.1786715651930213
2026-01-30,CA-0001-en2026.XLS,3,116,Habitat,3,0.4950011099999999,miles_soles,9.927354106213739e-08,Fossal S.A.A.,,sin_categoria_adyacente,,5792285.413077266,8.545868766798576e-06,pendiente_sin_categoria,,5140331.281444551,9.62975113660171e-06
2026-01-30,CA-0001-en2026.XLS,3,123,Habitat,3,18096.3131962412,miles_soles,0.0036292546720962,HOCHSCHILD MINING PLC,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,sin_categoria_adyacente,,5792285.413077266,0.3124209514155687,pareja_exacta_heuristica,124.0,5140331.281444551,0.3520456602002453
2026-01-30,CA-0001-en2026.XLS,3,125,Habitat,3,34208.10886656,miles_soles,0.0068605100708208,HudBay Minerals Inc.,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,sin_categoria_adyacente,,5792285.413077266,0.5905805123022462,pareja_exacta_heuristica,126.0,5140331.281444551,0.665484518284719
2026-01-30,CA-0001-en2026.XLS,3,131,Habitat,3,157089.28392484097,miles_soles,0.0315045949657253,InRetail Peru Corp.,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,5792285.413077266,2.7120432216648007,pareja_exacta_original,,5140331.281444551,3.0560147843369205
2026-01-30,CA-0001-en2026.XLS,3,137,Habitat,3,23023.2448059396,miles_soles,0.0046173614411209,Inversiones Portuarias Chancay S.A.A,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,5792285.413077266,0.3974811868551907,pareja_exacta_original,,5140331.281444551,0.4478941831832586
2026-01-30,CA-0001-en2026.XLS,3,148,Habitat,3,319422.58357,miles_soles,0.0640608886032809,MINSUR,ACCIONES DEL TRABAJO,pareja_exacta,,5792285.413077266,5.514620927498468,pareja_exacta_original,,5140331.281444551,6.214046645651891
2026-01-30,CA-0001-en2026.XLS,3,153,Habitat,3,7710.154520260499,miles_soles,0.0015462881312781,Nexa Resources Perú S.A.A.,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,5792285.413077266,0.1331107493918247,pareja_exacta_original,,5140331.281444551,0.14999333891363065
2026-01-30,CA-0001-en2026.XLS,3,155,Habitat,3,101149.77622152,miles_soles,0.0202858059513302,Nexa Resources S.A. Peru,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,sin_categoria_adyacente,,5792285.413077266,1.746284393948436,pareja_exacta_heuristica,156.0,5140331.281444551,1.9677676531597899
2026-01-30,CA-0001-en2026.XLS,3,158,Habitat,3,99.4706328,miles_soles,1.994905011374134e-05,Norvial S.A.,BONOS DE EMPRESAS PRIVADAS,pareja_exacta,,5792285.413077266,0.0017172950865892,pareja_exacta_original,,5140331.281444551,0.0019351015985889233
2026-01-30,CA-0001-en2026.XLS,3,162,Habitat,3,78904.594181952,miles_soles,0.0158244866774405,Orygen Perú S.A.A.,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,5792285.413077266,1.3622359492819325,pareja_exacta_original,,5140331.281444551,1.5350099023146613
2026-01-30,CA-0001-en2026.XLS,3,166,Habitat,3,5240.532811752,miles_soles,0.0010510001669995,Pluz Energía Perú S.A.A,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,5792285.413077266,0.0904743540420233,pareja_exacta_original,,5140331.281444551,0.10194932047802355
2026-01-30,CA-0001-en2026.XLS,3,172,Habitat,3,146.077,miles_soles,2.929605765476737e-05,Rutas de Lima S.A.C.,BONOS DE EMPRESAS PRIVADAS,pareja_exacta,,5792285.413077266,0.0025219233788135,pareja_exacta_original,,5140331.281444551,0.002841781823037464
2026-01-30,CA-0001-en2026.XLS,3,176,Habitat,3,79534.7263595573,miles_soles,0.0159508610457891,SOCIEDAD MINERA CERRO VERDE,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,5792285.413077266,1.373114767100244,pareja_exacta_original,,5140331.281444551,1.5472684931156075
2026-01-30,CA-0001-en2026.XLS,3,180,Habitat,3,33954.612261956,miles_soles,0.0068096707795993,UNACEM CORP S.A.A.,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,5792285.413077266,0.5862040600640386,pareja_exacta_original,,5140331.281444551,0.6605529955729618
2026-01-30,CA-0001-en2026.XLS,3,182,Habitat,3,62387.29279,miles_soles,0.0125119062309651,VOLCAN CIA MINERA,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,5792285.413077266,1.0770755986773022,pareja_exacta_original,,5140331.281444551,1.2136823362961877
2026-01-30,CA-0001-en2026.XLS,3,194,Habitat,3,47977.843154449,miles_soles,0.0096220600039987,COMPASS GROUP SAFI S.A.,FONDO DE INVERSION TRADICIONAL,pareja_exacta,,5792285.413077266,0.8283059230149334,pareja_exacta_original,,5140331.281444551,0.9333609163992661
2026-01-30,CA-0001-en2026.XLS,3,205,Habitat,3,27365.1254325148,miles_soles,0.0054881349726575,HMC Asset Management S.A. Sociedad Administra,FONDO DE INVERSION TRADICIONAL,pareja_exacta,,5792285.413077266,0.472440901664349,pareja_exacta_original,,5140331.281444551,0.5323611248811297
2026-01-30,CA-0001-en2026.XLS,3,236,Habitat,3,375.2753148686,miles_soles,7.526227442240381e-05,Red Dorsal Finance Limited,TITULOS CON DERECHO CREDITICIO,pareja_exacta,,5792285.413077266,0.0064788816176312,pareja_exacta_original,,5140331.281444551,0.007300605628731754
2026-01-30,CA-0001-en2026.XLS,3,267,Habitat,3,508.4856558622,miles_soles,0.0001019778958409,BROWN BROTHERS HARRIMAN & CO.,CUENTAS CORRIENTES DEL EXTERIOR,pareja_exacta,,5792285.413077266,0.0087786705868151,pareja_exacta_original,,5140331.281444551,0.009892079479346394
2026-01-30,CA-0001-en2026.XLS,3,290,Habitat,3,17577.4960962,miles_soles,0.0035252047828249,Auna S.A.A.,ACCIONES EN EL EXTRANJERO,pareja_exacta,,5792285.413077266,0.3034639152365527,pareja_exacta_original,,5140331.281444551,0.341952592815386
2026-01-30,CA-0001-en2026.XLS,3,311,Habitat,3,11238.2253582278,miles_soles,0.0022538503531145,ALLIANCE BERNSTEIN L.P,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,0.1940205731722959,pareja_exacta_original,,5140331.281444551,0.21862842573581368
2026-01-30,CA-0001-en2026.XLS,3,313,Habitat,3,19053.8642164866,miles_soles,0.0038212935960644,ALLIANZ GLOBAL INVESTORS,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,0.3289524403177477,pareja_exacta_original,,5140331.281444551,0.3706738568634048
2026-01-30,CA-0001-en2026.XLS,3,319,Habitat,3,60123.3382703284,miles_soles,0.0120578652653369,Antin Infrastructure Partners IV Luxembourg G,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,1.0379899121439649,pareja_exacta_original,,5140331.281444551,1.169639367162195
2026-01-30,CA-0001-en2026.XLS,3,321,Habitat,3,12474.7907001515,miles_soles,0.0025018462015429,Antin Infrastructure Partners V Luxembourg GP,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.2153690609234675,pareja_exacta_original,,5140331.281444551,0.2426845667551177
2026-01-30,CA-0001-en2026.XLS,3,327,Habitat,3,11678.9096173086,miles_soles,0.0023422305324827,APAX X USD Feeder L.P.,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.2016286972140751,pareja_exacta_original,,5140331.281444551,0.22720149690481733
2026-01-30,CA-0001-en2026.XLS,3,345,Habitat,3,13089.9464810258,miles_soles,0.0026252170212008,ASF VIII GP Limited,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.2259893210972058,pareja_exacta_original,,5140331.281444551,0.2546518067478955
2026-01-30,CA-0001-en2026.XLS,3,347,Habitat,3,2.2668545951000003,miles_soles,4.546225820151286e-07,Ashmore Investment Management (Ireland) Limit,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,3.9135754429194975e-05,pareja_exacta_original,,5140331.281444551,4.4099387198697474e-05
