fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,administrador,fondo_local
2026-01-30,CA-0001-en2026.XLS,9,6,Integra,3,541346.0,unidades,,Fondo de Infraestructura II,"Fondo de Inversión en Infraestructura, Servicios Públicos y Recursos Naturales"
2026-01-30,CA-0001-en2026.XLS,9,6,Profuturo,3,70021.0,unidades,,Fondo de Infraestructura II,"Fondo de Inversión en Infraestructura, Servicios Públicos y Recursos Naturales"
2026-01-30,CA-0001-en2026.XLS,9,7,Integra,3,4199577.0,unidades,,Fondo de Infraestructura II,Fondo Inmobiliario II
2026-01-30,CA-0001-en2026.XLS,9,7,Prima,3,5525763.0,unidades,,Fondo de Infraestructura II,Fondo Inmobiliario II
2026-01-30,CA-0001-en2026.XLS,9,7,Profuturo,3,920959.0,unidades,,Fondo de Infraestructura II,Fondo Inmobiliario II
2026-01-30,CA-0001-en2026.XLS,9,12,Integra,3,114290.0,unidades,,BlackRock Institutional Trust Company PE,ETF - EPU
2026-01-30,CA-0001-en2026.XLS,9,12,Profuturo,3,950790.0,unidades,,BlackRock Institutional Trust Company PE,ETF - EPU
2026-01-30,CA-0001-en2026.XLS,9,14,Integra,3,53.7161963,unidades,,"Carlyle Peru GP, L.P.",Carlyle Peru Fund
2026-01-30,CA-0001-en2026.XLS,9,14,Prima,3,64.3454543,unidades,,"Carlyle Peru GP, L.P.",Carlyle Peru Fund
2026-01-30,CA-0001-en2026.XLS,9,14,Profuturo,3,28.9554522,unidades,,"Carlyle Peru GP, L.P.",Carlyle Peru Fund
2026-01-30,CA-0001-en2026.XLS,9,16,Habitat,3,46456891.0,unidades,,COMPASS GROUP SAFI S.A.,Compass - Fondo de Inversión Acreencias High Yield
2026-01-30,CA-0001-en2026.XLS,9,19,Integra,3,14635.0,unidades,,Credicorp Capital S.A. Sociedad Admin. Fondos,Credicorp Capital Fondo de Inversión Inmobiliario Perú
2026-01-30,CA-0001-en2026.XLS,9,19,Prima,3,42749.0,unidades,,Credicorp Capital S.A. Sociedad Admin. Fondos,Credicorp Capital Fondo de Inversión Inmobiliario Perú
2026-01-30,CA-0001-en2026.XLS,9,19,Profuturo,3,30000.0,unidades,,Credicorp Capital S.A. Sociedad Admin. Fondos,Credicorp Capital Fondo de Inversión Inmobiliario Perú
2026-01-30,CA-0001-en2026.XLS,9,26,Integra,3,31150000.0,unidades,,Enfoca SAFI S.A.,Enfoca Descubridor 1 Clase B
2026-01-30,CA-0001-en2026.XLS,9,26,Profuturo,3,4250000.0,unidades,,Enfoca SAFI S.A.,Enfoca Descubridor 1 Clase B
2026-01-30,CA-0001-en2026.XLS,9,27,Integra,3,31150000.0,unidades,,Enfoca SAFI S.A.,Enfoca Descubridor 2 Clase B
2026-01-30,CA-0001-en2026.XLS,9,27,Profuturo,3,4250000.0,unidades,,Enfoca SAFI S.A.,Enfoca Descubridor 2 Clase B
2026-01-30,CA-0001-en2026.XLS,9,29,Prima,3,270.0,unidades,,Faro Capital SAFI S.A.,Faro Capital Fondo de Inversión Inmobiliario I
2026-01-30,CA-0001-en2026.XLS,9,29,Profuturo,3,100.0,unidades,,Faro Capital SAFI S.A.,Faro Capital Fondo de Inversión Inmobiliario I
2026-01-30,CA-0001-en2026.XLS,9,30,Integra,3,6000.0,unidades,,Faro Capital SAFI S.A.,Fondo de Inversión en Retail
2026-01-30,CA-0001-en2026.XLS,9,30,Prima,3,19200.0,unidades,,Faro Capital SAFI S.A.,Fondo de Inversión en Retail
2026-01-30,CA-0001-en2026.XLS,9,32,Habitat,3,17249418.0,unidades,,HMC Asset Management S.A. Sociedad Administra,Fondo HMC Crédito Perú II (PEN) FI
2026-01-30,CA-0001-en2026.XLS,9,33,Habitat,3,2858608.0,unidades,,HMC Asset Management S.A. Sociedad Administra,Fondo HMC Crédito Perú II (USD) FI
2026-01-30,CA-0001-en2026.XLS,9,37,Integra,3,7732.0,unidades,,Larráin Vial S.A. SAF - Perú,Bienes Raíces LV Colliers II
2026-01-30,CA-0001-en2026.XLS,9,37,Profuturo,3,4984.0,unidades,,Larráin Vial S.A. SAF - Perú,Bienes Raíces LV Colliers II
2026-01-30,CA-0001-en2026.XLS,9,41,Integra,3,22.0,unidades,,Macrocapitales SAFI S.A.,Fortaleza Fondo de Inversión de Capital Privado I
2026-01-30,CA-0001-en2026.XLS,9,41,Profuturo,3,70.0,unidades,,Macrocapitales SAFI S.A.,Fortaleza Fondo de Inversión de Capital Privado I
2026-01-30,CA-0001-en2026.XLS,9,42,Integra,3,146.0,unidades,,Macrocapitales SAFI S.A.,Kandeo Fund II (Perú) Servicios Financieros
2026-01-30,CA-0001-en2026.XLS,9,42,Prima,3,583.0,unidades,,Macrocapitales SAFI S.A.,Kandeo Fund II (Perú) Servicios Financieros
2026-01-30,CA-0001-en2026.XLS,9,42,Profuturo,3,291.0,unidades,,Macrocapitales SAFI S.A.,Kandeo Fund II (Perú) Servicios Financieros
2026-01-30,CA-0001-en2026.XLS,9,43,Integra,3,300.0,unidades,,Macrocapitales SAFI S.A.,Macro-Infraestructura: Fondo de Inversión en Instrumentos de Deuda
2026-01-30,CA-0001-en2026.XLS,9,45,Integra,3,70.0,unidades,,SIGMA SAFI SA,Fondo de Inversión en Infraestructura -Sigma FI
2026-01-30,CA-0001-en2026.XLS,9,45,Prima,3,123.0,unidades,,SIGMA SAFI SA,Fondo de Inversión en Infraestructura -Sigma FI
2026-01-30,CA-0001-en2026.XLS,9,45,Profuturo,3,57.0,unidades,,SIGMA SAFI SA,Fondo de Inversión en Infraestructura -Sigma FI
2026-01-30,CA-0001-en2026.XLS,9,46,Prima,3,5.0,unidades,,SIGMA SAFI SA,Leasing Operativo
2026-01-30,CA-0001-en2026.XLS,9,50,Integra,3,1562911.0,unidades,,W Capital SAFI S.A.,Fondo de Desarrollo de Vivienda (FODEVI)
2026-01-30,CA-0001-en2026.XLS,9,50,Profuturo,3,2344368.0,unidades,,W Capital SAFI S.A.,Fondo de Desarrollo de Vivienda (FODEVI)
