fuente,fecha_cartera,archivo,afp,fila_principal,fila_secundaria,identificador,categoria_asignada,valor,accion,fila_administradora,fila_instrumento,administradora,instrumento_sin_isin
hoja_3,2026-01-30,CA-0001-en2026.XLS,Habitat,8.0,9.0,GOBIERNO CENTRAL,BONOS GOBIERNO CENTRAL DE LA REPUBLICA,495580.3823458773,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Habitat,79.0,80.0,Intercorp Perú Ltd.,OTROS BONOS SISTEMA FINANCIERO,2919.551002516,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Habitat,123.0,124.0,HOCHSCHILD MINING PLC,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,18096.3131962412,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Habitat,125.0,126.0,HudBay Minerals Inc.,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,34208.10886656,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Habitat,155.0,156.0,Nexa Resources S.A. Peru,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,101149.77622152,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Integra,123.0,124.0,HOCHSCHILD MINING PLC,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,66508.0310999104,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Integra,125.0,126.0,HudBay Minerals Inc.,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,50354.275000320005,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Integra,155.0,156.0,Nexa Resources S.A. Peru,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,40739.3832352,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Integra,190.0,191.0,BlackRock Institutional Trust Company PE,FONDOS MUTUOS DEL EXT - ETF DEL MERCADO LOCAL,33334.827152,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Integra,192.0,193.0,"Carlyle Peru GP, L.P.",Fondo Mutuo Alternativo Extranj-Límite Local,27631.7220161843,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Prima,8.0,9.0,GOBIERNO CENTRAL,BONOS GOBIERNO CENTRAL DE LA REPUBLICA,149988.1455045,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Prima,123.0,124.0,HOCHSCHILD MINING PLC,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,44896.9932948176,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Prima,141.0,142.0,Línea Amarilla S.A.C.,BONO PARA NUEVOS PROYECTOS,40979.333906880296,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Prima,155.0,156.0,Nexa Resources S.A. Peru,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,41825.22599736,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Prima,192.0,193.0,"Carlyle Peru GP, L.P.",Fondo Mutuo Alternativo Extranj-Límite Local,33099.4342245096,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Profuturo,8.0,9.0,GOBIERNO CENTRAL,BONOS GOBIERNO CENTRAL DE LA REPUBLICA,137012.61863793002,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Profuturo,123.0,124.0,HOCHSCHILD MINING PLC,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,192279.29573941103,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Profuturo,125.0,126.0,HudBay Minerals Inc.,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,171089.35392768,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Profuturo,141.0,142.0,Línea Amarilla S.A.C.,BONO PARA NUEVOS PROYECTOS,7658.4062061438,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Profuturo,151.0,152.0,MMG Limited,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,2098.0814606472,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Profuturo,190.0,191.0,BlackRock Institutional Trust Company PE,FONDOS MUTUOS DEL EXT - ETF DEL MERCADO LOCAL,277315.778352,fusion_adyacente_exacta,,,,
hoja_3,2026-01-30,CA-0001-en2026.XLS,Profuturo,192.0,193.0,"Carlyle Peru GP, L.P.",Fondo Mutuo Alternativo Extranj-Límite Local,14894.7442513407,fusion_adyacente_exacta,,,,
hoja_10,2026-01-30,CA-0001-en2026.XLS,Habitat,,,,,5259.3041962568,fusion_administradora_fondo_sin_isin,510.0,511.0,"MREP-SCIF II GP, L.P.",Metropolitan Real Estate Partners Secondaries Fund EUI-II L.P.
