escenario,afp,periodo_anterior,periodo_actual,salto_meses,turnover_mensual,solapamiento_pesos,identificadores_nuevos,identificadores_salientes,comparacion_consecutiva
principal_5pct,Habitat,2015-01,2015-02,1,0.05129340763198201,0.9487065923680158,0,0,True
principal_5pct,Habitat,2015-02,2015-03,1,0.05451585451067606,0.9454841454893216,4,0,True
principal_5pct,Habitat,2015-03,2015-04,1,0.081370485172256,0.9186295148277416,1,2,True
principal_5pct,Habitat,2015-04,2015-05,1,0.10071283934606123,0.8992871606539368,1,2,True
principal_5pct,Habitat,2015-05,2015-06,1,0.11647968182801896,0.883520318171979,4,6,True
principal_5pct,Habitat,2015-06,2015-07,1,0.09883916321232214,0.9011608367876761,0,3,True
principal_5pct,Habitat,2015-07,2015-08,1,0.219342546719728,0.7806574532802704,6,4,True
principal_5pct,Habitat,2015-08,2015-09,1,0.0714374393729366,0.9285625606270618,6,2,True
principal_5pct,Habitat,2015-09,2015-10,1,0.045099994533572135,0.9549000054664261,1,2,True
principal_5pct,Habitat,2015-10,2015-11,1,0.15270078931759248,0.8472992106824057,2,6,True
principal_5pct,Habitat,2015-11,2015-12,1,0.14385046875901045,0.856149531240988,1,6,True
principal_5pct,Habitat,2015-12,2016-01,1,0.2520612034091109,0.747938796590888,5,12,True
principal_5pct,Habitat,2016-01,2016-02,1,0.0818691857401041,0.9181308142598946,3,4,True
principal_5pct,Habitat,2016-02,2016-03,1,0.06317100547722171,0.936828994522777,4,1,True
principal_5pct,Habitat,2016-03,2016-04,1,0.046267420205764104,0.9537325797942346,4,2,True
principal_5pct,Habitat,2016-04,2016-05,1,0.04760583864314094,0.9523941613568575,1,3,True
principal_5pct,Habitat,2016-05,2016-07,2,0.17139434300803802,0.8286056569919606,4,3,False
principal_5pct,Habitat,2016-07,2016-08,1,0.0502959907251059,0.9497040092748926,1,3,True
principal_5pct,Habitat,2016-08,2016-09,1,0.057443928108992556,0.942556071891006,2,0,True
principal_5pct,Habitat,2016-09,2016-10,1,0.09529773961256034,0.9047022603874382,2,3,True
principal_5pct,Habitat,2016-10,2016-11,1,0.0803527080403591,0.9196472919596393,6,2,True
principal_5pct,Habitat,2016-11,2016-12,1,0.13160005538067016,0.8683999446193285,5,5,True
principal_5pct,Habitat,2016-12,2017-01,1,0.1895116266154493,0.8104883733845492,7,2,True
principal_5pct,Habitat,2017-01,2017-02,1,0.0898945073827678,0.9101054926172303,2,2,True
principal_5pct,Habitat,2017-02,2017-03,1,0.0776542369864377,0.9223457630135605,3,4,True
principal_5pct,Habitat,2017-03,2017-04,1,0.061747457326898604,0.9382525426730997,4,0,True
principal_5pct,Habitat,2017-04,2017-05,1,0.08906161588875233,0.9109383841112457,2,4,True
principal_5pct,Habitat,2017-05,2017-06,1,0.05248074656607098,0.9475192534339271,4,0,True
principal_5pct,Habitat,2017-06,2017-07,1,0.09882935951343622,0.9011706404865617,2,3,True
principal_5pct,Habitat,2017-07,2017-08,1,0.16508243089963875,0.8349175691003593,2,3,True
principal_5pct,Habitat,2017-08,2017-09,1,0.05494064673890683,0.9450593532610909,3,1,True
principal_5pct,Habitat,2017-09,2017-10,1,0.10672553895297515,0.8932744610470228,4,2,True
