afp,objetivo_hoja10,observaciones,error_mediano_pct,error_p90_pct,ranking_afp
Habitat,total_exterior,133,100.1957406061117,103.81329236373108,1
Habitat,fondos_exterior_amplio,133,101.28474172499331,116.38677349666365,2
Habitat,rv_y_fondos_exterior,133,101.28474172499331,116.38677349666365,3
Habitat,administradoras_fondos_exterior,133,101.77635715306505,116.38677349666365,4
Habitat,fondos_mutuos_mas_etf,133,106.01982012022486,222.36648085476597,5
Habitat,fondos_mutuos_exterior,133,106.01982012022486,224.78009076710856,6
Integra,total_exterior,133,101.41644827358975,112.9541295878144,1
Integra,rv_y_fondos_exterior,133,106.30700228526004,122.45110272951726,2
Integra,fondos_exterior_amplio,133,107.8850852034974,122.87143366314693,3
Integra,administradoras_fondos_exterior,133,108.58799683898546,122.87143366314693,4
Integra,fondos_mutuos_mas_etf,133,117.70988878033413,478.0774741136148,5
Integra,fondos_mutuos_exterior,133,117.70988878033413,492.0941479399677,6
Prima,total_exterior,133,101.53018375431355,116.49379131599397,1
Prima,rv_y_fondos_exterior,133,104.9152245661934,125.96621016268612,2
Prima,fondos_exterior_amplio,133,105.68301133598177,126.04133470523384,3
Prima,administradoras_fondos_exterior,133,105.68301133598177,126.05186651102991,4
Prima,fondos_mutuos_mas_etf,133,115.6117597830417,430.9094750700529,5
Prima,fondos_mutuos_exterior,133,115.6117597830417,430.9521738500288,6
Profuturo,total_exterior,133,104.04822208179647,114.81552056527065,1
Profuturo,rv_y_fondos_exterior,133,108.84794962344652,126.06210942952785,2
Profuturo,fondos_exterior_amplio,133,110.92112201745614,128.7788891340549,3
Profuturo,administradoras_fondos_exterior,133,111.22249369774624,129.05064471715707,4
Profuturo,fondos_mutuos_mas_etf,133,127.36474440377148,342.0069625411599,5
Profuturo,fondos_mutuos_exterior,133,127.36474440377148,342.05042956265004,6
