periodo,afp,fecha_ca,monto_ca_miles_soles,participacion_reportada_suma_pct,registros,registros_pendientes,registros_identificados,fuente,pendientes_pct_registros,fecha_fp,total_fp_miles_soles,suma_fp_pct,diferencia_miles_soles,error_relativo_pct,participacion_calculada_sobre_fp_pct,diferencia_porcentaje_interno_pp,estado_monto,estado_porcentaje_interno,elegible_emisores
2015-01,Habitat,2015-01-30,122321.3083696405,122.02042893892428,70,39,31,hoja3,55.714285714285715,2015-01-30,100246.5811940938,99.99999999999999,22074.727175546694,22.020428938924518,122.02042893892451,2.2737367544323206e-13,revisar,correcto,False
2015-01,Integra,2015-01-30,9959368.348888809,118.55587647871344,144,67,77,hoja3,46.52777777777778,2015-01-30,8400569.1195552,100.0,1558799.2293336093,18.555876478713458,118.55587647871346,1.4210854715202004e-14,revisar,correcto,False
2015-01,Prima,2015-01-30,9492473.909833947,118.20155404616628,103,53,50,hoja3,51.45631067961165,2015-01-30,8030752.206630416,99.99999999999999,1461721.703203531,18.201554046166336,118.20155404616635,7.105427357601002e-14,revisar,correcto,False
2015-01,Profuturo,2015-01-30,6580394.748211822,121.92396545620873,151,77,74,hoja3,50.993377483443716,2015-01-30,5397129.861704912,99.99999999999999,1183264.8865069095,21.923965456208705,121.92396545620869,4.263256414560601e-14,revisar,correcto,False
2015-02,Habitat,2015-02-27,132086.1653109346,121.02319018821794,77,44,33,hoja3,57.14285714285714,2015-02-27,109141.202694716,99.99999999999997,22944.96261621859,21.02319018821794,121.02319018821794,0.0,revisar,correcto,False
2015-02,Integra,2015-02-27,10359235.930556372,119.92100485837872,142,67,75,hoja3,47.183098591549296,2015-02-27,8638383.194662321,100.0,1720852.7358940504,19.9210048583787,119.92100485837871,1.4210854715202004e-14,revisar,correcto,False
2015-02,Prima,2015-02-27,9779699.407512194,118.66061694005663,105,55,50,hoja3,52.38095238095239,2015-02-27,8241739.8962728875,99.99999999999997,1537959.511239306,18.660616940056656,118.66061694005666,2.842170943040401e-14,revisar,correcto,False
2015-02,Profuturo,2015-02-27,6786306.002711418,121.28311066670973,151,81,70,hoja3,53.64238410596026,2015-02-27,5595425.418597999,100.00000000000001,1190880.584113419,21.283110666709742,121.28311066670973,0.0,revisar,correcto,False
2015-03,Habitat,2015-03-31,132580.5086788488,119.6190574283312,81,46,35,hoja3,56.79012345679012,2015-03-31,110835.6072428368,100.00000000000001,21744.90143601199,19.619057428331402,119.61905742833142,2.1316282072803006e-13,revisar,correcto,False
2015-03,Integra,2015-03-31,10318079.497072851,121.43780950903627,140,62,78,hoja3,44.285714285714285,2015-03-31,8496595.532139499,100.0,1821483.9649333525,21.437809509036274,121.43780950903627,0.0,revisar,correcto,False
