periodo,fecha_cartera,archivo,fila_excel_aprox,Habitat,Integra,Prima,Profuturo,pct_Habitat,pct_Integra,pct_Prima,pct_Profuturo,entidad_administradora,isin,instrumento_sin_isin,moneda,estado_refinado,nombre_final,monto_vector_total,es_isin,es_moneda_suelta,activo_jerarquia,es_subtotal_jerarquico,id_relacion_padre,iteracion_eliminacion
2015-01,2015-01-30,CA-0001-en2015.XLS,6,679.6730518136,99731.9971963851,10085.3916762345,6074.199646985101,0.6780012282889132,1.1872052449901846,0.1255846453325718,0.1125449971119707,CTA CTE EXT,,,,entidad_sin_isin_pendiente,CTA CTE EXT,116571.2615714183,False,False,False,True,H10J_0000007,1.0
2015-01,2015-01-30,CA-0001-en2015.XLS,7,679.6730518136,99731.9971963851,10085.3916762345,6074.199646985101,0.6780012282889132,1.1872052449901846,0.1255846453325718,0.1125449971119707,BROWN BROTHERS,,,,entidad_sin_isin_pendiente,BROWN BROTHERS,116571.2615714183,False,False,False,True,H10J_0000006,1.0
2015-01,2015-01-30,CA-0001-en2015.XLS,10,0.0,324.0902470962,0.0,0.0,,0.0038579558418461,,,BRL,,,,entidad_sin_isin_pendiente,BRL,324.0902470962,False,True,True,False,,
2015-01,2015-01-30,CA-0001-en2015.XLS,11,0.0,0.0008928819,0.0022684027,2.4131944000000005,,1.0628826300845641e-08,2.824645365258738e-08,4.471255022271581e-05,CAD,,,,entidad_sin_isin_pendiente,CAD,2.4163556846000005,False,True,True,False,,
2015-01,2015-01-30,CA-0001-en2015.XLS,12,0.0,32.3383245618,0.0,183.8365961866,,0.0003849539727793,,0.0034061918259741,CLP,,,,entidad_sin_isin_pendiente,CLP,216.17492074839998,False,True,True,False,,
2015-01,2015-01-30,CA-0001-en2015.XLS,13,0.0,10609.2216384,0.0,0.0,,0.1262917010432472,,,COP,,,,entidad_sin_isin_pendiente,COP,10609.2216384,False,True,True,False,,
2015-01,2015-01-30,CA-0001-en2015.XLS,14,0.6459560336,629.7957305748,1754.0687145227,230.0947911563,0.0006443671453985,0.0074970602778415,0.0218418981110448,0.0042632806149232,EUR,,,,entidad_sin_isin_pendiente,EUR,2614.6051922874,False,True,True,False,,
2015-01,2015-01-30,CA-0001-en2015.XLS,15,0.0,0.0,3277.6638833299,2.9055053256,,,0.0408139088219378,5.38342674727151e-05,GBP,,,,entidad_sin_isin_pendiente,GBP,3280.5693886555,False,True,True,False,,
2015-01,2015-01-30,CA-0001-en2015.XLS,16,0.0,0.0,332.98728031,0.1637629566,,,0.0041464021270022,3.0342600751924205e-06,JPY,,,,entidad_sin_isin_pendiente,JPY,333.1510432666,False,True,True,False,,
2015-01,2015-01-30,CA-0001-en2015.XLS,17,0.0,33270.0716052304,4720.6695296692,0.1335051,,0.3960454480135509,0.0587824080261333,2.47363141930824e-06,MXN,,,,entidad_sin_isin_pendiente,MXN,37990.874639999594,False,True,True,False,,
