id_relacion_padre,periodo,archivo,iteracion,fila_padre,nombre_padre,estado_padre,numero_hijos_activos,filas_hijas,nombres_hijos,error_relativo_vector,monto_vector_padre,monto_vector_hijos
H10J_0000001,2015-01,CA-0001-en2015.XLS,1,100,BON SIS FIN EXT,entidad_sin_isin_pendiente,6,105 | 110 | 114 | 122 | 126 | 128,US05966UAR59 | USP16259AB20 | XS0835507087 | XS0246220379 | US59022CAP86 | US61747YBA29,1.204589608923062e-16,120803.9245945072,120803.9245945072
H10J_0000002,2015-01,CA-0001-en2015.XLS,1,97,TIT.EMP.PUB.EXT,entidad_sin_isin_pendiente,1,99,USP9379RAB35,0.0,19597.8403265356,19597.8403265356
H10J_0000003,2015-01,CA-0001-en2015.XLS,1,58,TIT ESTAD EXTRA,entidad_sin_isin_pendiente,10,60 | 66 | 77 | 87 | 88 | 90 | 93 | 94 | 95 | 96,CL0001737767 | XS0213272122 | MX0MGO0000R8 | MXBIGO000HH4 | MXBIGO000HR3 | MX0MGO0000J5 | US912810RH32 | US912828G385 | US912810RJ97 | US912828H292,7.96947005141521e-17,182595.7702894277,182595.77028942772
H10J_0000004,2015-01,CA-0001-en2015.XLS,1,51,ADS,entidad_sin_isin_pendiente,3,53 | 55 | 57,US05367G1004 | US1512908898 | US51817R1068,1.6212320841305931e-16,112197.9648287872,112197.96482878721
H10J_0000005,2015-01,CA-0001-en2015.XLS,1,21,AC PRF.CIAL EXT,entidad_sin_isin_pendiente,1,23,PAI69PA00017,0.0,11063.80551072,11063.80551072
H10J_0000006,2015-01,CA-0001-en2015.XLS,1,7,BROWN BROTHERS,entidad_sin_isin_pendiente,9,10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 20,BRL | CAD | CLP | COP | EUR | GBP | JPY | MXN | USD,7.802049060056874e-18,116571.2615714183,116571.2615714183
H10J_0000007,2015-01,CA-0001-en2015.XLS,1,6,CTA CTE EXT,entidad_sin_isin_pendiente,9,10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 20,BRL | CAD | CLP | COP | EUR | GBP | JPY | MXN | USD,7.802049060056874e-18,116571.2615714183,116571.2615714183
H10J_0000008,2015-02,CA-0001-fe2015.XLS,1,97,BON SIS FIN EXT,entidad_sin_isin_pendiente,6,102 | 107 | 111 | 119 | 123 | 125,US05966UAR59 | USP16259AB20 | XS0835507087 | XS0246220379 | US59022CAP86 | US61747YBA29,9.208840965652451e-17,118515.85299368759,118515.85299368761
H10J_0000009,2015-02,CA-0001-fe2015.XLS,1,94,TIT.EMP.PUB.EXT,entidad_sin_isin_pendiente,1,96,USP9379RAB35,0.0,19476.018475262397,19476.018475262397
H10J_0000010,2015-02,CA-0001-fe2015.XLS,1,54,TIT ESTAD EXTRA,entidad_sin_isin_pendiente,9,56 | 62 | 72 | 82 | 83 | 85 | 88 | 89 | 90,CL0001737767 | XS0213272122 | MX0MGO0000R8 | MXBIGO000HH4 | MXBIGO000HR3 | MX0MGO0000J5 | US912810RH32 | US912828G385 | US912810RJ97,1.6352025444227945e-16,266974.5459606686,266974.5459606686
H10J_0000011,2015-02,CA-0001-fe2015.XLS,1,47,ADS,entidad_sin_isin_pendiente,3,49 | 51 | 53,US05367G1004 | US1512908898 | US51817R1068,0.0,109111.6122540512,109111.6122540512
H10J_0000012,2015-02,CA-0001-fe2015.XLS,1,26,ACC EXTRANJERO,entidad_sin_isin_pendiente,8,28 | 30 | 32 | 34 | 38 | 42 | 44 | 46,US0378331005 | MXP225611567 | US2547091080 | US4062161017 | US59156R1086 | US92826C8394 | PAP310761054 | US0846701086,1.0716907173753763e-16,271569.30618948,271569.30618948
H10J_0000013,2015-02,CA-0001-fe2015.XLS,1,21,AC PRF.CIAL EXT,entidad_sin_isin_pendiente,1,23,PAI69PA00017,0.0,11280.7365408,11280.7365408
H10J_0000014,2015-02,CA-0001-fe2015.XLS,1,7,BROWN BROTHERS,entidad_sin_isin_pendiente,9,10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 20,BRL | CAD | CLP | COP | EUR | GBP | JPY | MXN | USD,0.0,80142.9272171503,80142.9272171503
H10J_0000015,2015-02,CA-0001-fe2015.XLS,1,6,CTA CTE EXT,entidad_sin_isin_pendiente,9,10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 20,BRL | CAD | CLP | COP | EUR | GBP | JPY | MXN | USD,0.0,80142.9272171503,80142.9272171503
H10J_0000016,2015-03,CA-0001-ma2015.XLS,1,89,BON SIS FIN EXT,entidad_sin_isin_pendiente,6,94 | 99 | 103 | 111 | 115 | 117,US05966UAR59 | USP16259AB20 | XS0835507087 | XS0246220379 | US59022CAP86 | US61747YBA29,0.0,109157.6963481817,109157.6963481817
H10J_0000017,2015-03,CA-0001-ma2015.XLS,1,86,TIT.EMP.PUB.EXT,entidad_sin_isin_pendiente,1,88,USP9379RAB35,0.0,18707.305597514598,18707.305597514598
H10J_0000018,2015-03,CA-0001-ma2015.XLS,1,48,TIT ESTAD EXTRA,entidad_sin_isin_pendiente,9,50 | 55 | 67 | 75 | 76 | 78 | 81 | 82 | 83,CL0001737767 | XS0213272122 | US91086QBB32 | MXBIGO000HH4 | MXBIGO000HR3 | MX0MGO0000J5 | US912810RH32 | US912828G385 | US912810RJ97,6.68577635942706e-17,217654.8308836026,217654.83088360258
H10J_0000019,2015-03,CA-0001-ma2015.XLS,1,43,ADS,entidad_sin_isin_pendiente,2,45 | 47,US05367G1004 | US51817R1068,0.0,4180.477722192,4180.477722192
H10J_0000020,2015-03,CA-0001-ma2015.XLS,1,26,ACC EXTRANJERO,entidad_sin_isin_pendiente,7,28 | 30 | 32 | 34 | 38 | 40 | 42,US0378331005 | US2547091080 | US4062161017 | US59156R1086 | US92826C8394 | PAP310761054 | US0846701086,0.0,309140.53477632,309140.53477632
H10J_0000021,2015-03,CA-0001-ma2015.XLS,1,21,AC PRF.CIAL EXT,entidad_sin_isin_pendiente,1,23,PAI69PA00017,0.0,10415.100422688,10415.100422688
H10J_0000022,2015-03,CA-0001-ma2015.XLS,1,7,BROWN BROTHERS,entidad_sin_isin_pendiente,9,10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 20,BRL | CAD | CLP | COP | EUR | GBP | JPY | MXN | USD,1.277245895458647e-16,64086.738074950204,64086.7380749502
H10J_0000023,2015-03,CA-0001-ma2015.XLS,1,6,CTA CTE EXT,entidad_sin_isin_pendiente,9,10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 20,BRL | CAD | CLP | COP | EUR | GBP | JPY | MXN | USD,1.277245895458647e-16,64086.738074950204,64086.7380749502
H10J_0000024,2015-04,CA-0001-ab2015.XLS,1,87,BON SIS FIN EXT,entidad_sin_isin_pendiente,6,92 | 97 | 101 | 109 | 113 | 115,US05966UAR59 | USP16259AB20 | XS0835507087 | XS0246220379 | US59022CAP86 | US61747YBA29,1.5106078185189088e-16,120414.4041389448,120414.40413894481
H10J_0000025,2015-04,CA-0001-ab2015.XLS,1,84,TIT.EMP.PUB.EXT,entidad_sin_isin_pendiente,1,86,USP9379RAB35,0.0,20770.1024755168,20770.1024755168
H10J_0000026,2015-04,CA-0001-ab2015.XLS,1,48,TIT ESTAD EXTRA,entidad_sin_isin_pendiente,5,50 | 55 | 67 | 76 | 79,CL0001737767 | XS0213272122 | US91086QBB32 | MX0MGO0000J5 | US912810RH32,0.0,65101.968822010305,65101.968822010305
H10J_0000027,2015-04,CA-0001-ab2015.XLS,1,43,ADS,entidad_sin_isin_pendiente,2,45 | 47,US05367G1004 | US1512908898,0.0,24363.2116184,24363.2116184
