periodo,archivo,filas_iniciales,subtotales_jerarquicos,hojas_finales,iteracion_maxima
2015-01,CA-0001-en2015.XLS,177,7,170,1.0
2015-02,CA-0001-fe2015.XLS,172,8,164,1.0
2015-03,CA-0001-ma2015.XLS,172,8,164,1.0
2015-04,CA-0001-ab2015.XLS,167,8,159,1.0
2015-05,CA-0001-my2015.XLS,169,8,161,1.0
2015-06,CA-0001-jn2015.XLS,177,8,169,1.0
2015-07,CA-0001-jl2015.XLS,176,8,168,1.0
2015-08,CA-0001-ag2015.XLS,173,7,166,1.0
2015-09,CA-0001-se2015.XLS,176,7,169,1.0
2015-10,CA-0001-oc2015.XLS,184,5,179,1.0
2015-11,CA-0001-no2015.XLS,178,6,172,1.0
2015-12,CA-0001-di2015.XLS,184,6,178,1.0
2016-01,CA-0001-en2016.XLS,177,7,170,1.0
2016-02,CA-0001-fe2016.XLS,179,7,172,1.0
2016-03,CA-0001-ma2016.XLS,185,6,179,1.0
2016-04,CA-0001-ab2016.XLS,192,8,184,1.0
2016-05,CA-0001-my2016.XLS,194,7,187,1.0
2016-06,CA-0001-jn2016.XLS,196,7,189,1.0
2016-07,CA-0001-jl2016.XLS,198,6,192,1.0
2016-08,CA-0001-ag2016.XLS,209,7,202,1.0
2016-09,CA-0001-se2016.XLS,212,8,204,1.0
2016-10,CA-0001-oc2016.XLS,217,8,209,1.0
2016-11,CA-0001-no2016.XLS,214,8,206,1.0
2016-12,CA-0001-di2016.XLS,220,8,212,1.0
2017-01,CA-0001-en2017.XLS,224,9,215,1.0
2017-02,CA-0001-fe2017.XLS,224,8,216,1.0
2017-03,CA-0001-ma2017.XLS,222,7,215,1.0
2017-04,CA-0001-ab2017.XLS,222,7,215,1.0
2017-05,CA-0001-my2017.XLS,217,8,209,1.0
2017-06,CA-0001-jn2017.XLS,219,9,210,1.0
2017-07,CA-0001-jl2017.XLS,221,8,213,1.0
2017-08,CA-0001-ag2017.XLS,220,8,212,1.0
2017-09,CA-0001-se2017.XLS,227,9,218,1.0
2017-10,CA-0001-oc2017.XLS,226,9,217,1.0
2017-11,CA-0001-no2017.XLS,228,9,219,1.0
2017-12,CA-0001-di2017.XLS,231,8,223,1.0
2018-01,CA-0001-en2018.XLS,237,8,229,1.0
2018-02,CA-0001-fe2018.XLS,242,9,233,1.0
2018-03,CA-0001-ma2018.XLS,245,8,237,1.0
2018-04,CA-0001-ab2018.XLS,242,8,234,1.0
2018-05,CA-0001-my2018.XLS,237,6,231,1.0
2018-06,CA-0001-jn2018.XLS,236,7,229,1.0
2018-07,CA-0001-jl2018.XLS,232,8,224,1.0
2018-08,CA-0001-ag2018.XLS,235,7,228,1.0
2018-09,CA-0001-se2018.XLS,237,8,229,1.0
2018-10,CA-0001-oc2018.XLS,236,9,227,1.0
2018-11,CA-0001-no2018.XLS,236,9,227,1.0
2018-12,CA-0001-di2018.XLS,238,9,229,1.0
2019-01,CA-0001-en2019.XLS,244,9,235,1.0
2019-02,CA-0001-fe2019.XLS,247,7,240,1.0
2019-03,CA-0001-ma2019.XLS,251,8,243,1.0
2019-04,CA-0001-ab2019.XLS,256,8,248,1.0
2019-05,CA-0001-my2019.XLS,253,8,245,1.0
2019-06,CA-0001-jn2019.XLS,257,8,249,1.0
