periodo,afp,identificador_final,valor_redondeado,ocurrencias,monto_una_ocurrencia,filas_excel,estados,monto_duplicado_excedente
2015-10,Prima,PEN,42719.3,2,42719.3,400 | 404,entidad_sin_isin_pendiente,42719.3
2016-12,Habitat,BROWN BROTHERS,3873.326497,2,3873.3264965861,7 | 29,entidad_sin_isin_pendiente,3873.3264965861
2016-12,Habitat,CTA CTE EXT,3873.326497,2,3873.3264965861,6 | 28,entidad_sin_isin_pendiente,3873.3264965861
2016-12,Integra,BNP Paribas,527.162695,2,527.1626954,22 | 31,entidad_sin_isin_pendiente,527.1626954
2016-12,Integra,BROWN BROTHERS,17459.21226,2,17459.2122603911,7 | 29,entidad_sin_isin_pendiente,17459.2122603911
2016-12,Integra,CTA CTE EXT,17986.374956,2,17986.3749557911,6 | 28,entidad_sin_isin_pendiente,17986.3749557911
2016-12,Integra,USD,527.162695,2,527.1626954,24 | 32,entidad_sin_isin_pendiente,527.1626954
2016-12,Prima,BROWN BROTHERS,1419.427169,2,1419.4271694554,7 | 29,entidad_sin_isin_pendiente,1419.4271694554
2016-12,Prima,CTA CTE EXT,18247.380476,2,18247.3804764554,6 | 28,entidad_sin_isin_pendiente,18247.3804764554
2016-12,Prima,Societe General,16827.953307,2,16827.953307,25 | 33,entidad_sin_isin_pendiente,16827.953307
2016-12,Prima,USD,16827.953307,2,16827.953307,27 | 34,entidad_sin_isin_pendiente,16827.953307
2016-12,Profuturo,BROWN BROTHERS,8248.994899,2,8248.994898860701,7 | 29,entidad_sin_isin_pendiente,8248.994898860701
2016-12,Profuturo,CTA CTE EXT,8248.994899,2,8248.994898860701,6 | 28,entidad_sin_isin_pendiente,8248.994898860701
2019-02,Integra,CITIBANK N.A.,161282.85254,2,161282.85254,579 | 580,entidad_sin_isin_pendiente,161282.85254
2019-02,Prima,CITIBANK N.A.,20692.805805,2,20692.8058053,579 | 580,entidad_sin_isin_pendiente,20692.8058053
2019-03,Integra,Sumitomo Mitsui,13160.840036,2,13160.84003607,590 | 591,entidad_sin_isin_pendiente,13160.84003607
2019-03,Prima,JP Morgan Bank,56292.346269,2,56292.34626870001,588 | 589,entidad_sin_isin_pendiente,56292.34626870001
2019-04,Integra,JP Morgan Bank,71332.359699,2,71332.359698626,601 | 602,entidad_sin_isin_pendiente,71332.359698626
2019-04,Prima,CITIBANK N.A.,92071.514872,2,92071.514871544,599 | 600,entidad_sin_isin_pendiente,92071.514871544
2019-05,Integra,DBS Bank,51826.089722,2,51826.0897215,602 | 603,entidad_sin_isin_pendiente,51826.0897215
2019-05,Integra,Sumitomo Mitsui,138784.291615,2,138784.29161495,608 | 609,entidad_sin_isin_pendiente,138784.29161495
2019-05,Prima,NovaScotia,20740.489088,2,20740.489088100003,606 | 607,entidad_sin_isin_pendiente,20740.489088100003
2019-06,Integra,Sumitomo Mitsui,87932.76456,2,87932.76455984,605 | 606,entidad_sin_isin_pendiente,87932.76455984
2019-06,Prima,CITIBANK N.A.,48218.411627,2,48218.41162688,601 | 602,entidad_sin_isin_pendiente,48218.41162688
2019-07,Integra,JP Morgan Bank,11897.317163,2,11897.3171629,608 | 609,entidad_sin_isin_pendiente,11897.3171629
2019-07,Prima,NovaScotia,23412.900771,2,23412.90077126,610 | 611,entidad_sin_isin_pendiente,23412.90077126
2019-08,Integra,Sumitomo Mitsui,78721.932665,2,78721.93266459,616 | 617,entidad_sin_isin_pendiente,78721.93266459
2019-08,Prima,NovaScotia,45935.364017,2,45935.364017325,614 | 615,entidad_sin_isin_pendiente,45935.364017325
2019-09,Integra,Sumitomo Mitsui,38362.696404,2,38362.69640356999,610 | 611,entidad_sin_isin_pendiente,38362.69640356999
2019-09,Prima,JP Morgan Bank,33532.384472,2,33532.384471501995,606 | 607,entidad_sin_isin_pendiente,33532.384471501995
2019-10,Integra,CITIBANK N.A.,10386.566387,2,10386.566386702,608 | 609,entidad_sin_isin_pendiente,10386.566386702
2019-10,Prima,JP Morgan Bank,10644.944701,2,10644.944701488,610 | 611,entidad_sin_isin_pendiente,10644.944701488
2019-11,Integra,Sumitomo Mitsui,3147.769215,2,3147.7692149,624 | 625,entidad_sin_isin_pendiente,3147.7692149
2019-11,Prima,A NZ Bank Group,27629.747585,2,27629.74758496,614 | 615,entidad_sin_isin_pendiente,27629.74758496
2019-12,Integra,JP Morgan Bank,6302.367059,2,6302.36705908,607 | 608,entidad_sin_isin_pendiente,6302.36705908
2019-12,Prima,A NZ Bank Group,33390.9011,2,33390.901099575,603 | 604,entidad_sin_isin_pendiente,33390.901099575
2020-01,Integra,A NZ Bank Group,2778.284432,2,2778.2844317,602 | 603,entidad_sin_isin_pendiente,2778.2844317
2020-01,Prima,NovaScotia,17924.407117,2,17924.407116555,606 | 607,entidad_sin_isin_pendiente,17924.407116555
2020-02,Integra,Sumitomo Mitsui,12514.371901,2,12514.3719009,605 | 606,entidad_sin_isin_pendiente,12514.3719009
2020-02,Prima,JP Morgan Bank,10947.623292,2,10947.623292425,603 | 604,entidad_sin_isin_pendiente,10947.623292425
2020-03,Integra,CITIBANK N.A.,10464.33536,2,10464.3353599,591 | 592,entidad_sin_isin_pendiente,10464.3353599
2020-03,Prima,JP Morgan Bank,60770.546218,2,60770.54621772,593 | 594,entidad_sin_isin_pendiente,60770.54621772
2020-04,Integra,JP Morgan Bank,2517.913844,2,2517.913843941,598 | 599,entidad_sin_isin_pendiente,2517.913843941
2020-04,Prima,A NZ Bank Group,53853.349641,2,53853.349640859,592 | 593,entidad_sin_isin_pendiente,53853.349640859
2020-05,Integra,Sumitomo Mitsui,68455.511813,2,68455.511813437,591 | 592,entidad_sin_isin_pendiente,68455.511813437
2020-05,Prima,A NZ Bank Group,85607.375636,2,85607.375635805,587 | 588,entidad_sin_isin_pendiente,85607.375635805
2020-06,Integra,NovaScotia,14912.114099,2,14912.1140994,601 | 602,entidad_sin_isin_pendiente,14912.1140994
