isin_normalizado,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,lista_afp,moneda_reportada,gestora_reportada,peso_max_total_fondo_pct,peso_mediano_total_fondo_pct,peso_max_exterior_pct,valor_max_reconciliado_miles_soles,aparece_modelo_principal,aparece_analisis_ampliado,formato_isin_valido,checksum_isin_valido,prefijo_isin,prioridad,clasificacion_identificador,identificador_original,identificador_canonico,fue_corregido_checksum,isin_corregido_propuesto,confianza_correccion,correccion_aprobada,razon_decision,ticker_corregido,nombre_corregido,figi_corregido,canonical_security_id,ticker,name,securityType,securityType2,marketSector,exchCode,figi,compositeFIGI,shareClassFIGI,clase_ambiguedad,razon_ambiguedad,mapeo_aceptable_automatico,estado_identidad_final,usar_en_enriquecimiento_automatico
US4642868487,2015-01-30,2016-10-31,22,4,Habitat | Integra | Prima | Profuturo,USD,BlackRock USA,8.266939507400703,3.865193530057798,14.174490090093911,672900.43745337,True,True,True,True,US,1108288.9395074006,isin_estandar_valido,US4642868487,US4642868487,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
US73935A1043,2015-01-30,2018-05-31,41,4,Habitat | Integra | Prima | Profuturo,USD,BANK NEW YORK,4.573169301749887,1.174432753565814,7.569395520746546,379815.23407192726,True,True,True,True,US,1104614.16930175,isin_estandar_valido,US73935A1043,US73935A1043,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
PRIVFAEA10FE,2021-02-26,2026-01-30,60,2,Habitat | Prima,USD,APAX X USD Feeder L.P. | Apax X USD GP,3.173376176501568,0.3611340723971293,7.394151676752414,95074.02300600108,True,True,False,False,PR,1103233.3761765016,identificador_no_estandar,PRIVFAEA10FE,PRIVFAEA10FE,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
PRIVFAEDSFFX,2021-05-31,2024-07-31,39,1,Prima,USD,Dover X | Dover X Associates L.P.,2.485172229068624,1.9625031002742823,6.7437740073930135,88753.34817928626,True,True,False,False,PR,1102524.1722290686,identificador_no_estandar,PRIVFAEDSFFX,PRIVFAEDSFFX,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
US57060U1007,2015-01-30,2016-11-30,12,3,Habitat | Integra | Prima,USD,VAN ECK,2.4344848056203165,0.8892316988035984,4.087647224324252,200643.9054935111,True,True,True,True,US,1102446.4848056205,isin_estandar_valido,US57060U1007,US57060U1007,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
PRIVFAEEQTI4,2019-08-30,2026-01-30,78,1,Habitat,USD,EQT Infrastruct | EQT Infrastructure IV (GP) SCS | EQT Infrastructure VI (General Partner) S.à r,2.3352112352119816,1.6458184058822178,5.081988260570364,64106.241414506345,True,True,True,False,PR,1102413.211235212,formato_isin_checksum_invalido,PRIVFAEEQTI4,PRIVFAEEQTI4,False,,,,,,,,,,,,,,,,,,,,False,checksum_invalido_pendiente,False
PRIVFAEBSGLP,2021-05-31,2026-01-30,57,1,Prima,USD,Blackstone GA | Blackstone Growth Associates L.P.,2.336971038378083,1.6836914174575643,5.818712570694228,79027.9357954672,True,True,False,False,PR,1102393.971038378,identificador_no_estandar,PRIVFAEBSGLP,PRIVFAEBSGLP,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
US4642867315,2015-01-30,2016-10-31,11,3,Habitat | Integra | Profuturo,USD,BlackRock USA,2.2854390813264622,0.6449743826517802,3.580275091607728,127880.03928311348,True,True,True,True,US,1102296.4390813264,isin_estandar_valido,US4642867315,US4642867315,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
LU0132199406,2015-01-30,2019-05-31,53,4,Habitat | Integra | Prima | Profuturo,EUR | USD,PIONEER,2.238216841358699,0.0753533519597753,3.837645407822193,170270.17133685967,True,True,True,True,LU,1102291.2168413587,isin_estandar_valido,LU0132199406,LU0132199406,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
US46434V5488,2015-01-30,2015-12-31,12,2,Habitat | Prima,USD,BlackRock USA,2.253553467764017,0.0467856748498429,3.799321020391798,185732.01523654812,True,True,True,True,US,1102265.553467764,isin_estandar_valido,US46434V5488,US46434V5488,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
PRIVFAECDRXI,2022-03-31,2026-01-30,47,1,Prima,USD,"CD&R A XI, L.P. | CD&R Associates XI, L.P.",1.9919503692681224,1.3084719191243337,3.621727157692737,54960.52539674463,True,True,False,False,PR,1102038.9503692682,identificador_no_estandar,PRIVFAECDRXI,PRIVFAECDRXI,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
LU0823432371,2018-04-30,2026-01-30,94,1,Habitat,EUR,BNP PARIBAS INV | BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG,1.943443095258336,0.0058738814907749,3.922075779871793,24981.400896917385,True,True,True,True,LU,1102037.4430952584,isin_estandar_valido,LU0823432371,LU0823432371,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
PRIVFAECOL8F,2020-02-28,2026-01-30,72,2,Habitat | Prima,USD,"Coller International General Partner VIII, L.P. | Coller International Partners VII Feeder Fund, LP",1.9587365542273127,0.3673122250644525,5.104664777883271,67028.54656669979,True,True,False,False,PR,1102030.7365542273,identificador_no_estandar,PRIVFAECOL8F,PRIVFAECOL8F,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
