seccion,categoria,cantidad,detalle
identidades,checksum_corregido_validado,16,peso máximo: 3.296506%
identidades,checksum_invalido_pendiente,8,peso máximo: 2.335211%
identidades,identificador_privado_o_no_estandar,30,peso máximo: 3.173376%
identidades,isin_no_resuelto,42,peso máximo: 8.266940%
identidades,openfigi_validado,555,peso máximo: 13.535415%
correcciones,pendientes,2,decisiones de checksum
correcciones,aprobadas,18,decisiones de checksum
base_final,registros,33721,AFP-mes-identificador canónico
base_final,colisiones_agregadas,0,grupos con más de una fila de origen
control,periodos_pesos_correctos,532,de 532 combinaciones AFP-mes
