identificador,motivo_revision,accion_sugerida,ticker_provisional,nombre_provisional,peso_max_total_fondo_pct,meses_presentes,peso_universo_pct,meses_universo,gestora_reportada,lista_afp,peso_prioridad_pct,meses_prioridad
US4642868487,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,8.266939507400703,22,8.266939507400703,22,BlackRock USA,Habitat | Integra | Prima | Profuturo,8.266939507400703,22
US73935A1043,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,4.573169301749887,41,4.573169301749887,41,BANK NEW YORK,Habitat | Integra | Prima | Profuturo,4.573169301749887,41
US46090E103X,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,3.2965062849613624,1,3.2965062849613624,1,BANK OF NEW YORK,Integra,3.2965062849613624,1
US46090E103X,correccion_checksum_propuesta,revisar contra US46090E1038 (alta),NDQ,INVESCO QQQ TRUST SERIES 1,3.2965062849613624,1,3.2965062849613624,1,BANK OF NEW YORK,Integra,3.2965062849613624,1
PRIVFAEA10FE,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,3.173376176501568,60,3.173376176501568,60,APAX X USD Feeder L.P. | Apax X USD GP,Habitat | Prima,3.173376176501568,60
PRIVFAEDSFFX,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,2.485172229068624,39,2.485172229068624,39,Dover X | Dover X Associates L.P.,Prima,2.485172229068624,39
US57060U1007,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,2.4344848056203165,12,2.4344848056203165,12,VAN ECK,Habitat | Integra | Prima,2.4344848056203165,12
PRIVFAEBSGLP,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,2.336971038378083,57,2.336971038378083,57,Blackstone GA | Blackstone Growth Associates L.P.,Prima,2.336971038378083,57
PRIVFAEEQTI4,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,2.3352112352119816,78,2.3352112352119816,78,EQT Infrastruct | EQT Infrastructure IV (GP) SCS | EQT Infrastructure VI (General Partner) S.à r,Habitat,2.3352112352119816,78
US4642867315,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,2.2854390813264622,11,2.2854390813264622,11,BlackRock USA,Habitat | Integra | Profuturo,2.2854390813264622,11
US46434V5488,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,2.253553467764017,12,2.253553467764017,12,BlackRock USA,Habitat | Prima,2.253553467764017,12
LU0132199406,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,2.238216841358699,53,2.238216841358699,53,PIONEER,Habitat | Integra | Prima | Profuturo,2.238216841358699,53
PRIVFAECDRXI,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,1.9919503692681224,47,1.9919503692681224,47,"CD&R A XI, L.P. | CD&R Associates XI, L.P.",Prima,1.9919503692681224,47
PRIVFAECOL8F,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,1.9587365542273127,72,1.9587365542273127,72,"Coller International General Partner VIII, L.P. | Coller International Partners VII Feeder Fund, LP",Habitat | Prima,1.9587365542273127,72
LU0823432371,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,1.943443095258336,94,1.943443095258336,94,BNP PARIBAS INV | BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG,Habitat,1.943443095258336,94
