ticker,estado,n_precios,fecha_inicio,fecha_fin
COPX,CORRECTO,62,2026-04-21,2026-07-20
EFA,CORRECTO,62,2026-04-21,2026-07-20
EPU,CORRECTO,62,2026-04-21,2026-07-20
FCX,CORRECTO,62,2026-04-21,2026-07-20
INRETC1.LM,CORRECTO,61,2026-04-21,2026-07-20
MCHI,CORRECTO,62,2026-04-21,2026-07-20
MINSURI1.LM,CORRECTO,61,2026-04-21,2026-07-20
NEM,CORRECTO,62,2026-04-21,2026-07-20
PEN=X,CORRECTO,66,2026-04-21,2026-07-21
REMX,CORRECTO,62,2026-04-21,2026-07-20
SPY,CORRECTO,62,2026-04-21,2026-07-20
VT,CORRECTO,62,2026-04-21,2026-07-20
VWO,CORRECTO,62,2026-04-21,2026-07-20
XLE,CORRECTO,62,2026-04-21,2026-07-20
^AXJO,CORRECTO,65,2026-04-21,2026-07-21
^N225,CORRECTO,61,2026-04-21,2026-07-21
