afp,alpha,direccion,mae,rmse,correlacion
Habitat,0.001,0.7046979865771812,0.003308873905275367,0.00448279326572523,0.6373629624222982
Habitat,0.01,0.7046979865771812,0.0033088551339247687,0.004482768121218694,0.6373678409996041
Habitat,0.1,0.7046979865771812,0.0033086678652549917,0.004482517694012259,0.6374164329033318
Habitat,1.0,0.7063758389261745,0.003306839584657912,0.004480110681513978,0.6378838024736837
Habitat,10.0,0.714765100671141,0.003293595439374206,0.004462628521805444,0.6412924704746429
Integra,0.001,0.6644295302013423,0.0033155432067432855,0.0054173259942914935,0.4668420085792862
Integra,0.01,0.6644295302013423,0.0033155389833971986,0.0054173222621823535,0.46684238994327026
Integra,0.1,0.6644295302013423,0.003315496800793725,0.005417285005054215,0.4668461944829192
Integra,1.0,0.6644295302013423,0.0033150797816485873,0.0054169183040165625,0.4668834140083609
Integra,10.0,0.662751677852349,0.0033119133008677488,0.005413542589598771,0.46721961554629937
Prima,0.001,0.6895973154362416,0.0029039176257792507,0.004095208128416729,0.5701509497494878
Prima,0.01,0.6895973154362416,0.0029039159676436787,0.0040952075770528465,0.5701504657440354
Prima,0.1,0.6895973154362416,0.002903899369230184,0.00409520203063786,0.5701456445279469
Prima,1.0,0.6895973154362416,0.002903731731812103,0.004095143309893508,0.5700992719206361
Prima,10.0,0.6946308724832215,0.002902294979102616,0.0040942642916301725,0.569782846169799
Profuturo,0.001,0.6996644295302014,0.0034320723901048564,0.004653015045795892,0.5334979469149014
Profuturo,0.01,0.6996644295302014,0.003432066854468305,0.004653006661133242,0.533499061781669
Profuturo,0.1,0.6996644295302014,0.003432011492010248,0.004652922894357462,0.53351019389127
Profuturo,1.0,0.6996644295302014,0.003431475222237042,0.004652093047535549,0.5336198930611126
Profuturo,10.0,0.697986577181208,0.0034261010678229434,0.004644442847819716,0.5345826124769972
