bootstrap_n,mejora_mse_pct,ic95_inferior_pct,ic95_superior_pct,prob_mejora,escenario,variante_confianza,afp,modelo,comparado_con
2050,-52.101709190390935,-63.971922400561766,-38.3730199702358,0.0,ampliado_15pct,alta,Habitat,M1_proxy_directo,M0_base_mercado
2050,2.6282081785601044,-0.5007444775921005,5.278685850701027,0.9625,ampliado_15pct,alta,Habitat,M2_hibrido,M0_base_mercado
2050,1.0060333432473612,-2.5235092501151697,4.096604522799782,0.6575,ampliado_15pct,alta,Habitat,P1_proxy_afp_ajena,M0_base_mercado
2050,-0.1273233637549313,-2.0700485897175134,1.5257139704192002,0.395,ampliado_15pct,alta,Habitat,P2_proxy_pesos_permutados,M0_base_mercado
2050,1.6386603043571344,-0.4619118680390687,3.9857927456452154,0.9425,ampliado_15pct,alta,Habitat,M2_hibrido,P1_proxy_afp_ajena
2050,2.7520275682436846,1.1900708317265123,4.28452654109859,1.0,ampliado_15pct,alta,Habitat,M2_hibrido,P2_proxy_pesos_permutados
1601,-47.89224653866166,-59.97653674875608,-30.556190173478143,0.0,ampliado_15pct,alta,Integra,M1_proxy_directo,M0_base_mercado
1601,6.460632978480284,2.4176545410440937,10.068763124915256,1.0,ampliado_15pct,alta,Integra,M2_hibrido,M0_base_mercado
1601,7.183832811188974,2.5698549106565145,11.480226456550845,1.0,ampliado_15pct,alta,Integra,P1_proxy_afp_ajena,M0_base_mercado
1601,2.8589586622532233,0.3585296387460457,4.318257440039273,0.9925,ampliado_15pct,alta,Integra,P2_proxy_pesos_permutados,M0_base_mercado
1601,-0.7791744203760568,-1.9490703535223266,0.43004389326963594,0.155,ampliado_15pct,alta,Integra,M2_hibrido,P1_proxy_afp_ajena
1601,3.707675218041474,1.095510353264659,6.961062857785914,1.0,ampliado_15pct,alta,Integra,M2_hibrido,P2_proxy_pesos_permutados
1955,-43.92789914616729,-53.313400399920305,-33.59272465569401,0.0,ampliado_15pct,alta,Prima,M1_proxy_directo,M0_base_mercado
1955,4.176442365537028,0.33023325897994327,7.475073774935979,0.995,ampliado_15pct,alta,Prima,M2_hibrido,M0_base_mercado
