escenario,variante_confianza,afp,fechas_exposicion,primera_fecha_exposicion,ultima_fecha_exposicion,observaciones_cuota,factores_base
ampliado_15pct,alta,Habitat,2556,2015-03-16,2026-04-15,2965,26
ampliado_15pct,alta,Integra,2105,2015-03-16,2026-04-15,2965,26
ampliado_15pct,alta,Prima,2459,2015-03-16,2026-04-15,2965,26
ampliado_15pct,alta,Profuturo,2269,2015-03-16,2026-03-13,2965,26
ampliado_15pct,alta_media,Habitat,2556,2015-03-16,2026-04-15,2965,26
ampliado_15pct,alta_media,Integra,2105,2015-03-16,2026-04-15,2965,26
ampliado_15pct,alta_media,Prima,2459,2015-03-16,2026-04-15,2965,26
ampliado_15pct,alta_media,Profuturo,2269,2015-03-16,2026-03-13,2965,26
ampliado_15pct,todos_mapeados,Habitat,2556,2015-03-16,2026-04-15,2965,26
ampliado_15pct,todos_mapeados,Integra,2105,2015-03-16,2026-04-15,2965,26
ampliado_15pct,todos_mapeados,Prima,2459,2015-03-16,2026-04-15,2965,26
ampliado_15pct,todos_mapeados,Profuturo,2269,2015-03-16,2026-03-13,2965,26
principal_5pct,alta,Habitat,2389,2015-03-16,2026-04-15,2965,26
principal_5pct,alta,Integra,972,2015-03-16,2024-08-14,2965,26
principal_5pct,alta,Prima,1854,2015-03-16,2026-04-15,2965,26
principal_5pct,alta,Profuturo,977,2015-03-16,2024-10-11,2965,26
principal_5pct,alta_media,Habitat,2389,2015-03-16,2026-04-15,2965,26
principal_5pct,alta_media,Integra,972,2015-03-16,2024-08-14,2965,26
principal_5pct,alta_media,Prima,1854,2015-03-16,2026-04-15,2965,26
principal_5pct,alta_media,Profuturo,977,2015-03-16,2024-10-11,2965,26
principal_5pct,todos_mapeados,Habitat,2389,2015-03-16,2026-04-15,2965,26
principal_5pct,todos_mapeados,Integra,972,2015-03-16,2024-08-14,2965,26
principal_5pct,todos_mapeados,Prima,1854,2015-03-16,2026-04-15,2965,26
principal_5pct,todos_mapeados,Profuturo,977,2015-03-16,2024-10-11,2965,26
