factor,columna_original,modo,observaciones
ACWI,ret_ACWI,retorno_existente,2692
SPY,ret_SPY,retorno_existente,2692
QQQ,ret_QQQ,retorno_existente,2692
EEM,ret_EEM,retorno_existente,2692
ILF,ret_ILF,retorno_existente,2692
EPU,ret_EPU,retorno_existente,2692
VGK,ret_VGK,retorno_existente,2692
EWJ,ret_EWJ,retorno_existente,2692
MCHI,ret_MCHI,retorno_existente,2692
XLK,ret_XLK,retorno_existente,2692
XLF,ret_XLF,retorno_existente,2692
XLE,ret_XLE,retorno_existente,2692
XLB,ret_XLB,retorno_existente,2692
XLI,ret_XLI,retorno_existente,2692
XLV,ret_XLV,retorno_existente,2692
XLY,ret_XLY,retorno_existente,2692
XLP,ret_XLP,retorno_existente,2692
GLD,ret_GLD,retorno_existente,2692
CPER,ret_CPER,retorno_existente,2692
COPX,ret_COPX,retorno_existente,2692
TLT,ret_TLT,retorno_existente,2692
LQD,ret_LQD,retorno_existente,2692
HYG,ret_HYG,retorno_existente,2692
VIX,ret_IDX_VIX,retorno_existente,2717
DXY,ret_DX_Y_NYB,retorno_existente,2899
USDPEN,fx_usdpen,retorno_existente,2901
