escenario,variante_confianza,afp,fecha,observaciones_ventana,mse_base_rolling,mse_hibrido_rolling,mejora_mse_rolling_pct
ampliado_15pct,alta,Habitat,2017-10-30,126,4.510058294913615e-06,4.24897306044577e-06,5.788954762786395
ampliado_15pct,alta,Habitat,2017-10-31,127,4.476009690818676e-06,4.217376258449825e-06,5.77821430769839
ampliado_15pct,alta,Habitat,2017-11-01,128,4.44286271346376e-06,4.184655177885691e-06,5.8117378868266725
ampliado_15pct,alta,Habitat,2017-11-02,129,4.4454922936377e-06,4.192400959029872e-06,5.693212762286127
ampliado_15pct,alta,Habitat,2017-11-03,130,4.418298299809907e-06,4.165148471806049e-06,5.729577561903184
ampliado_15pct,alta,Habitat,2017-11-06,131,4.3849107245759024e-06,4.133910975728481e-06,5.724170105463141
ampliado_15pct,alta,Habitat,2017-11-07,132,4.352975792740199e-06,4.10343121361297e-06,5.732735282916448
ampliado_15pct,alta,Habitat,2017-11-08,133,4.327700064525824e-06,4.081960597558629e-06,5.6782924718263645
ampliado_15pct,alta,Habitat,2017-11-09,134,4.325462924295071e-06,4.077966707516664e-06,5.721843444508121
ampliado_15pct,alta,Habitat,2017-11-10,135,4.400943174917988e-06,4.163301704625412e-06,5.399785019878259
ampliado_15pct,alta,Habitat,2017-11-13,136,4.438921752462315e-06,4.203317833898087e-06,5.307683525476343
ampliado_15pct,alta,Habitat,2017-11-14,137,4.48585347427844e-06,4.243727414987779e-06,5.397547215462894
ampliado_15pct,alta,Habitat,2017-11-15,138,4.477428256108841e-06,4.233572343224577e-06,5.446338811829218
ampliado_15pct,alta,Habitat,2017-11-20,139,4.452297852611623e-06,4.208662759101067e-06,5.472120275323551
ampliado_15pct,alta,Habitat,2017-11-21,140,4.476313066738232e-06,4.24771505990252e-06,5.1068368862387254
ampliado_15pct,alta,Habitat,2017-11-22,141,4.60773596740184e-06,4.389721037427519e-06,4.731497887828247
ampliado_15pct,alta,Habitat,2017-11-27,142,4.579037730448805e-06,4.362502586825231e-06,4.728835104015407
ampliado_15pct,alta,Habitat,2017-11-28,143,4.6797350609145635e-06,4.448657897377249e-06,4.9378257642678305
ampliado_15pct,alta,Habitat,2017-11-29,144,4.6481863478461795e-06,4.418125657583892e-06,4.949472182174666
ampliado_15pct,alta,Habitat,2017-11-30,145,4.622301256507547e-06,4.391851482731454e-06,4.985606973402107
ampliado_15pct,alta,Habitat,2017-12-01,146,4.625007424076851e-06,4.397677749427266e-06,4.915228318686636
ampliado_15pct,alta,Habitat,2017-12-04,147,4.6151388042459655e-06,4.385784358315152e-06,4.969611005411268
ampliado_15pct,alta,Habitat,2017-12-05,148,4.6886975404484595e-06,4.454474835172015e-06,4.995474825489419
ampliado_15pct,alta,Habitat,2017-12-06,149,4.926776798052946e-06,4.69167043411444e-06,4.772011673665025
ampliado_15pct,alta,Habitat,2017-12-07,150,5.012619277932034e-06,4.770814142134787e-06,4.823927818771119
ampliado_15pct,alta,Habitat,2017-12-08,151,5.007884979768681e-06,4.774760510937264e-06,4.6551482267107875
ampliado_15pct,alta,Habitat,2017-12-11,152,4.983983509835801e-06,4.751163376924631e-06,4.671366437142167
ampliado_15pct,alta,Habitat,2017-12-12,153,4.9565012165920964e-06,4.724976138933995e-06,4.6711393287478895
ampliado_15pct,alta,Habitat,2017-12-13,154,4.935940402813502e-06,4.70481106630589e-06,4.682579562262686
ampliado_15pct,alta,Habitat,2017-12-15,155,5.299227858839318e-06,5.140956438450297e-06,2.986688336585076
ampliado_15pct,alta,Habitat,2017-12-18,156,5.290680333808443e-06,5.118070702532656e-06,3.262522405157969
ampliado_15pct,alta,Habitat,2017-12-19,157,5.260911764307765e-06,5.091081054462566e-06,3.2281611525477762
ampliado_15pct,alta,Habitat,2017-12-20,158,5.2350190192076284e-06,5.061123873188876e-06,3.3217672253093995
ampliado_15pct,alta,Habitat,2017-12-21,159,5.202416537537571e-06,5.031352323955014e-06,3.288168341543938
ampliado_15pct,alta,Habitat,2017-12-22,160,5.1709950078751395e-06,5.0031546306715664e-06,3.2458042784408314
ampliado_15pct,alta,Habitat,2017-12-27,161,5.141859561095504e-06,4.980684857909201e-06,3.1345605859364163
