afp,fecha_inicio_aplicacion,fecha_fin_aplicacion,n_calibracion_lambda,lambda_bruto,lambda_operativo,lambda_en_limite_cero,lambda_en_limite_uno
Habitat,2018-05-18,2018-06-19,252,2.4189260755674877,1.0,False,True
Habitat,2018-06-20,2018-07-20,273,2.358118110973803,1.0,False,True
Habitat,2018-07-23,2018-08-20,294,2.1181458463971157,1.0,False,True
Habitat,2018-08-21,2018-09-21,315,1.70291160697646,1.0,False,True
Habitat,2018-09-24,2018-10-22,336,1.4698564093120898,1.0,False,True
Habitat,2018-10-23,2018-11-20,357,1.229562022348229,1.0,False,True
Habitat,2018-11-21,2018-12-31,378,1.0233483658367843,1.0,False,True
Habitat,2019-01-03,2019-02-04,399,1.0762836274875847,1.0,False,True
Habitat,2019-02-05,2019-03-07,420,1.1481273527684834,1.0,False,True
Habitat,2019-03-08,2019-04-05,441,1.107711353995299,1.0,False,True
Habitat,2019-04-08,2019-05-08,462,1.0912124860274581,1.0,False,True
Habitat,2019-05-09,2019-06-12,483,1.1200710198605732,1.0,False,True
Habitat,2019-06-14,2019-07-16,504,1.3629809703168287,1.0,False,True
Habitat,2019-07-17,2019-08-14,525,1.2959203377649757,1.0,False,True
Habitat,2019-08-15,2019-09-18,546,1.2847456550128393,1.0,False,True
Habitat,2019-09-19,2019-10-17,567,1.2181819320527558,1.0,False,True
Habitat,2019-10-18,2019-11-15,588,1.2622335626915129,1.0,False,True
Habitat,2019-11-18,2019-12-18,609,1.1903106534251773,1.0,False,True
Habitat,2019-12-19,2020-01-24,630,1.1862102232327258,1.0,False,True
Habitat,2020-01-27,2020-02-27,651,1.0455034271920676,1.0,False,True
Habitat,2020-02-28,2020-03-27,672,1.0627267878667752,1.0,False,True
Habitat,2020-03-30,2020-04-29,693,0.7093179007524882,0.7093179007524882,False,False
Habitat,2020-04-30,2020-06-02,714,0.6908443443446614,0.6908443443446614,False,False
Habitat,2020-06-03,2020-07-01,735,0.47843309812572765,0.47843309812572765,False,False
Habitat,2020-07-02,2020-08-03,756,0.4150243129328532,0.4150243129328532,False,False
Habitat,2020-08-04,2020-09-02,777,0.4137914529092863,0.4137914529092863,False,False
Habitat,2020-09-03,2020-10-05,798,0.41094089267909917,0.41094089267909917,False,False
Habitat,2020-10-06,2020-11-03,819,0.4601213319924172,0.4601213319924172,False,False
Habitat,2020-11-04,2020-12-04,840,0.4194492917586191,0.4194492917586191,False,False
Habitat,2020-12-07,2021-01-08,861,0.36646235839958985,0.36646235839958985,False,False
Habitat,2021-01-11,2021-02-10,882,0.3980341608296317,0.3980341608296317,False,False
Habitat,2021-02-11,2021-03-15,903,0.44003787246062165,0.44003787246062165,False,False
Habitat,2021-03-16,2021-04-15,924,0.34650500596295764,0.34650500596295764,False,False
Habitat,2021-04-16,2021-05-18,945,0.2851470204417068,0.2851470204417068,False,False
Habitat,2021-05-19,2021-06-18,966,0.356839046017506,0.356839046017506,False,False
Habitat,2021-06-21,2021-07-21,987,0.3737188519917132,0.3737188519917132,False,False
Habitat,2021-07-22,2021-08-19,1008,0.29220118718236915,0.29220118718236915,False,False
Habitat,2021-08-20,2021-09-21,1029,0.2922532344161691,0.2922532344161691,False,False
Habitat,2021-09-22,2021-10-21,1050,0.24491593760304822,0.24491593760304822,False,False
Habitat,2021-10-22,2021-11-19,1071,0.26197135340841415,0.26197135340841415,False,False
Habitat,2021-11-22,2021-12-22,1092,0.2808811375042669,0.2808811375042669,False,False
Habitat,2021-12-23,2022-01-27,1113,0.26941016858618855,0.26941016858618855,False,False
Habitat,2022-01-28,2022-03-01,1134,0.289278528106233,0.289278528106233,False,False
Habitat,2022-03-02,2022-03-30,1155,0.33045773877902257,0.33045773877902257,False,False
Habitat,2022-03-31,2022-05-02,1176,0.39608491451238514,0.39608491451238514,False,False
Habitat,2022-05-03,2022-06-02,1197,0.5063370841896154,0.5063370841896154,False,False
Habitat,2022-06-03,2022-07-07,1218,0.3407913741313613,0.3407913741313613,False,False
Habitat,2022-07-08,2022-08-08,1239,0.3481723318018876,0.3481723318018876,False,False
Habitat,2022-08-09,2022-09-08,1260,0.3690443176731952,0.3690443176731952,False,False
Habitat,2022-09-09,2022-10-07,1281,0.4048834499601186,0.4048834499601186,False,False
Habitat,2022-10-10,2022-11-09,1302,0.4608312308866971,0.4608312308866971,False,False
Habitat,2022-11-10,2022-12-12,1323,0.49446860955504,0.49446860955504,False,False
Habitat,2022-12-13,2023-01-18,1344,0.4579317431806496,0.4579317431806496,False,False
Habitat,2023-01-19,2023-02-16,1365,0.45547678866571323,0.45547678866571323,False,False
Habitat,2023-02-17,2023-03-22,1386,0.4513206204628024,0.4513206204628024,False,False
Habitat,2023-03-23,2023-04-24,1407,0.45008803595001207,0.45008803595001207,False,False
Habitat,2023-04-25,2023-05-23,1428,0.4435838481861162,0.4435838481861162,False,False
Habitat,2023-05-24,2023-06-27,1449,0.4349142255586377,0.4349142255586377,False,False
Habitat,2023-06-28,2023-08-01,1470,0.4360322222610382,0.4360322222610382,False,False
Habitat,2023-08-02,2023-08-30,1491,0.445227474789402,0.445227474789402,False,False
Habitat,2023-08-31,2023-10-02,1512,0.45336727530473697,0.45336727530473697,False,False
Habitat,2023-10-03,2023-10-31,1533,0.44818995616117574,0.44818995616117574,False,False
Habitat,2023-11-01,2023-12-01,1554,0.44944047458690517,0.44944047458690517,False,False
Habitat,2023-12-04,2024-01-08,1575,0.43774727611249725,0.43774727611249725,False,False
Habitat,2024-01-09,2024-02-08,1596,0.44092570117571517,0.44092570117571517,False,False
Habitat,2024-02-09,2024-03-12,1617,0.43721147564975577,0.43721147564975577,False,False
Habitat,2024-03-13,2024-04-16,1638,0.441284688955265,0.441284688955265,False,False
