archivo,fila_origen,fecha_objetivo,afp,modelo_raw,modelo_clasificado,prediccion_raw
nowcast_operativo_fondo3.csv,3,2026-07-03,Habitat,ElasticNet,no_identificado,0.0012646725119258
nowcast_operativo_fondo3.csv,6,2026-07-03,Integra,Huber_robusto,no_identificado,0.0010619242976673
nowcast_operativo_fondo3.csv,9,2026-07-03,Prima,Huber_robusto,no_identificado,0.0010210337217337
nowcast_operativo_fondo3.csv,12,2026-07-03,Profuturo,Huber_robusto,no_identificado,0.0011345590168488
nowcast_historico_estimaciones.csv,3,2026-07-03,Habitat,ElasticNet,no_identificado,0.0012646725119258
nowcast_historico_estimaciones.csv,6,2026-07-03,Integra,Huber_robusto,no_identificado,0.0010619242976673
nowcast_historico_estimaciones.csv,9,2026-07-03,Prima,Huber_robusto,no_identificado,0.0010210337217337
nowcast_historico_estimaciones.csv,12,2026-07-03,Profuturo,Huber_robusto,no_identificado,0.0011345590168488
nowcast_validacion_detalle.csv,3,2026-07-03,Habitat,ElasticNet,no_identificado,0.0012646725119258
nowcast_validacion_detalle.csv,6,2026-07-03,Integra,Huber_robusto,no_identificado,0.0010619242976673
nowcast_validacion_detalle.csv,9,2026-07-03,Prima,Huber_robusto,no_identificado,0.0010210337217337
nowcast_validacion_detalle.csv,12,2026-07-03,Profuturo,Huber_robusto,no_identificado,0.0011345590168488
modelo_base_nowcast_predicciones.csv,372,2026-06-30,Habitat,ACWI_lineal,no_identificado,0.003190238579405
modelo_base_nowcast_predicciones.csv,744,2026-06-30,Habitat,Ridge,no_identificado,0.0035722211243303
modelo_base_nowcast_predicciones.csv,1116,2026-06-30,Habitat,ElasticNet,no_identificado,0.0036131901410014
modelo_base_nowcast_predicciones.csv,1488,2026-06-30,Habitat,Huber_robusto,no_identificado,0.0032789342612915
modelo_base_nowcast_predicciones.csv,1860,2026-06-30,Integra,ACWI_lineal,no_identificado,0.0033381246950524
modelo_base_nowcast_predicciones.csv,2232,2026-06-30,Integra,Ridge,no_identificado,0.0037792406005659
modelo_base_nowcast_predicciones.csv,2604,2026-06-30,Integra,ElasticNet,no_identificado,0.0032842222451133
modelo_base_nowcast_predicciones.csv,2976,2026-06-30,Integra,Huber_robusto,no_identificado,0.0036199288509647
modelo_base_nowcast_predicciones.csv,3348,2026-06-30,Prima,ACWI_lineal,no_identificado,0.0032542488501829
modelo_base_nowcast_predicciones.csv,3720,2026-06-30,Prima,Ridge,no_identificado,0.0034676088084912
modelo_base_nowcast_predicciones.csv,4092,2026-06-30,Prima,ElasticNet,no_identificado,0.0031504450656055
modelo_base_nowcast_predicciones.csv,4464,2026-06-30,Prima,Huber_robusto,no_identificado,0.0031613458315417
modelo_base_nowcast_predicciones.csv,4836,2026-06-30,Profuturo,ACWI_lineal,no_identificado,0.0034762794875085
modelo_base_nowcast_predicciones.csv,5208,2026-06-30,Profuturo,Ridge,no_identificado,0.0040613225561834
modelo_base_nowcast_predicciones.csv,5580,2026-06-30,Profuturo,ElasticNet,no_identificado,0.0034916468022934
modelo_base_nowcast_predicciones.csv,5952,2026-06-30,Profuturo,Huber_robusto,no_identificado,0.0036303340661419
