afp,factor,familia,mejor_lag_train,lag,corr_s_train,corr_p_train,n_train,corr_s_valid,corr_p_valid,n_valid,corr_s_test,corr_p_test,n_test,estable_train_valid,confirmada_en_test,score_pretest,nivel_relacion,direccion_relacion,ranking_pretest
Habitat,ret_IDX_VIX,volatilidad,0,0,-0.4083525670436684,-0.46141154006208945,1668,-0.36193056729969253,-0.38663151622281844,547,-0.48542544514358477,-0.5114848444154928,480,True,True,0.36193056729969253,moderada_y_estable,negativa,1
Habitat,vix_retorno,volatilidad,0,0,-0.4083525670436684,-0.46141154006208945,1668,-0.36193056729969253,-0.38663151622281844,547,-0.48542544514358477,-0.5114848444154928,480,True,True,0.36193056729969253,moderada_y_estable,negativa,2
Habitat,ret_COPX,otros,0,0,0.33768024975977284,0.3881370170557045,1662,0.5049306036308797,0.5262254145714516,547,0.5030999759159437,0.6188090085261374,463,True,True,0.33768024975977284,moderada_y_estable,positiva,3
Habitat,ret_EEM,acciones_regionales,0,0,0.32439827445155417,0.3653549262287352,1662,0.31998985548539177,0.33134563062788264,547,0.40148448222664346,0.4945372190575462,463,True,True,0.31998985548539177,moderada_y_estable,positiva,4
Habitat,ret_MCHI,otros,0,0,0.3386717241307077,0.3711968963680008,1662,0.2997212091475425,0.29446707693771695,547,0.2821190874367309,0.3346476094609851,463,True,True,0.2997212091475425,moderada_y_estable,positiva,5
Habitat,ret_XLB,materias_primas,0,0,0.2942666874250109,0.3458445772003864,1662,0.3389773865894443,0.3658920847020366,547,0.28185551694153765,0.3706426248149338,463,True,True,0.2942666874250109,moderada_y_estable,positiva,6
Habitat,ret_VGK,acciones_regionales,0,0,0.29287309125568833,0.3471282657460413,1662,0.29700559385369696,0.3186793619123946,547,0.3034663630850418,0.38797492598430916,463,True,True,0.29287309125568833,moderada_y_estable,positiva,7
Habitat,ret_ACWI,acciones_globales_usa,0,0,0.31932949049721354,0.35576132124557724,1662,0.28393415655722326,0.3175448413094817,547,0.3344408634388329,0.4091761785597571,463,True,True,0.28393415655722326,moderada_y_estable,positiva,8
Habitat,ret_EPU,otros,0,0,0.28204076802226147,0.3565577315276734,1662,0.4538154768809033,0.5049723267456735,547,0.4770112121437808,0.5822999718977355,463,True,True,0.28204076802226147,moderada_y_estable,positiva,9
Habitat,ret_XLF,otros,0,0,0.32210107526137743,0.37693278280205755,1662,0.28198502547639837,0.2914608437429736,547,0.1634030674769484,0.24616934608371366,463,True,True,0.28198502547639837,debil_pero_estable,positiva,10
Habitat,ret_XLI,otros,0,0,0.30149866395071695,0.3572759033163547,1662,0.2812921542488256,0.3056407203109524,547,0.2939457857254088,0.39222223540277323,463,True,True,0.2812921542488256,moderada_y_estable,positiva,11
Habitat,ret_XLE,otros,0,0,0.2809686575660532,0.3598522880236558,1662,0.41287301950641453,0.4418740600288131,547,0.06149268918316358,0.1130365358436803,463,True,False,0.2809686575660532,no_confirmada_en_test,positiva,12
Habitat,ret_XLY,otros,0,0,0.3047138425910976,0.34783125651925106,1662,0.2679461346510546,0.30651519754404205,547,0.3126328129307201,0.36412093171900645,463,True,True,0.2679461346510546,moderada_y_estable,positiva,13
Habitat,ret_ILF,otros,0,0,0.25893818847797123,0.32478425273889894,1662,0.3733878646207339,0.400657947134629,547,0.3240554503960328,0.41020559118962274,463,True,True,0.25893818847797123,moderada_y_estable,positiva,14
Habitat,ret_SPY,acciones_globales_usa,0,0,0.30337278835020315,0.3450209947316385,1662,0.25361535807365077,0.2948851309611742,547,0.3076559249196472,0.37534110183785385,463,True,True,0.25361535807365077,moderada_y_estable,positiva,15
Habitat,ret_XLK,otros,0,0,0.29596988914901234,0.34923754185085515,1662,0.25042954350124175,0.288192704692017,547,0.4433007876163458,0.48777825990307055,463,True,True,0.25042954350124175,moderada_y_estable,positiva,16
Habitat,ret_QQQ,tecnologia_semiconductores,0,0,0.3012850197549979,0.346445018717414,1662,0.24297102302546725,0.28732388873878406,547,0.4001547811687827,0.44789839598329384,463,True,True,0.24297102302546725,debil_pero_estable,positiva,17
Habitat,ret_EWJ,acciones_regionales,0,0,0.276453360913877,0.32064463310092656,1662,0.21218613116690213,0.23694924983417312,547,0.318362811315444,0.4269749779114619,463,True,True,0.21218613116690213,debil_pero_estable,positiva,18
Habitat,ret_USO,otros,0,0,0.15940495859594228,0.2026408370584287,1662,0.3175281463355763,0.3174060881238023,547,-0.011120982242602856,-0.05678666397565665,463,True,False,0.15940495859594228,no_confirmada_en_test,positiva,19
Habitat,ret_CPER,otros,0,0,0.14988247746012104,0.14205012925704805,1662,0.29592830740430787,0.2982530341403855,547,0.32987878658914627,0.37232019294178825,463,False,False,0.14988247746012104,sin_relacion_estable,positiva,20
