afp,factor,familia,mejor_lag_train,lag,corr_s_train,corr_p_train,n_train,corr_s_valid,corr_p_valid,n_valid,corr_s_test,corr_p_test,n_test,estable_train_valid,confirmada_en_test,score_pretest,nivel_relacion,direccion_relacion,ranking_pretest,orden_modelo
Habitat,ret_IDX_VIX,volatilidad,0,0,-0.4083525670436684,-0.46141154006208945,1668,-0.36193056729969253,-0.38663151622281844,547,-0.48542544514358477,-0.5114848444154928,480,True,True,0.36193056729969253,moderada_y_estable,negativa,1,1
Habitat,vix_retorno,volatilidad,0,0,-0.4083525670436684,-0.46141154006208945,1668,-0.36193056729969253,-0.38663151622281844,547,-0.48542544514358477,-0.5114848444154928,480,True,True,0.36193056729969253,moderada_y_estable,negativa,2,2
Habitat,ret_COPX,otros,0,0,0.33768024975977284,0.3881370170557045,1662,0.5049306036308797,0.5262254145714516,547,0.5030999759159437,0.6188090085261374,463,True,True,0.33768024975977284,moderada_y_estable,positiva,3,3
Habitat,ret_EEM,acciones_regionales,0,0,0.32439827445155417,0.3653549262287352,1662,0.31998985548539177,0.33134563062788264,547,0.40148448222664346,0.4945372190575462,463,True,True,0.31998985548539177,moderada_y_estable,positiva,4,4
Habitat,ret_MCHI,otros,0,0,0.3386717241307077,0.3711968963680008,1662,0.2997212091475425,0.29446707693771695,547,0.2821190874367309,0.3346476094609851,463,True,True,0.2997212091475425,moderada_y_estable,positiva,5,5
Habitat,ret_XLB,materias_primas,0,0,0.2942666874250109,0.3458445772003864,1662,0.3389773865894443,0.3658920847020366,547,0.28185551694153765,0.3706426248149338,463,True,True,0.2942666874250109,moderada_y_estable,positiva,6,6
Habitat,ret_VGK,acciones_regionales,0,0,0.29287309125568833,0.3471282657460413,1662,0.29700559385369696,0.3186793619123946,547,0.3034663630850418,0.38797492598430916,463,True,True,0.29287309125568833,moderada_y_estable,positiva,7,7
Habitat,ret_ACWI,acciones_globales_usa,0,0,0.31932949049721354,0.35576132124557724,1662,0.28393415655722326,0.3175448413094817,547,0.3344408634388329,0.4091761785597571,463,True,True,0.28393415655722326,moderada_y_estable,positiva,8,8
Integra,ret_COPX,otros,0,0,0.39236231619442646,0.4536928486582902,1662,0.3982017462114607,0.3836074455427858,547,0.5284336948521056,0.6170516219291655,463,True,True,0.39236231619442646,moderada_y_estable,positiva,1,1
Integra,ret_EPU,otros,0,0,0.3236450567233848,0.40847904474249286,1662,0.396471841053434,0.3893965105567735,547,0.5013460230839392,0.5822588927329341,463,True,True,0.3236450567233848,moderada_y_estable,positiva,2,2
Integra,ret_EEM,acciones_regionales,0,0,0.39837868720174224,0.4494578962343926,1662,0.27288465681024954,0.25878819042085266,547,0.4020634909887907,0.48225387732122227,463,True,True,0.27288465681024954,moderada_y_estable,positiva,4,3
Integra,ret_XLB,materias_primas,0,0,0.3560000238962395,0.42343152896767655,1662,0.26228709973489056,0.2743259421484537,547,0.30315334289602547,0.36025023767885883,463,True,True,0.26228709973489056,moderada_y_estable,positiva,7,4
Integra,ret_IDX_VIX,volatilidad,0,0,-0.4757196970194539,-0.5226590733747085,1668,-0.2574220486402576,-0.2507462346276639,547,-0.5057192637250261,-0.5163006634694538,480,True,True,0.2574220486402576,moderada_y_estable,negativa,8,5
