factor,metodo_transformacion,observaciones_originales,observaciones_transformadas,p99_abs_transformado
ret_ACWI,ya_es_variacion,2692,2692,0.047771469095807116
ret_SPY,ya_es_variacion,2692,2692,0.0473660084208316
ret_QQQ,ya_es_variacion,2692,2692,0.05316944336987915
ret_EEM,ya_es_variacion,2692,2692,0.05287780849464763
ret_ILF,ya_es_variacion,2692,2692,0.06469148455324203
ret_EPU,ya_es_variacion,2692,2692,0.061750446837091466
ret_VGK,ya_es_variacion,2692,2692,0.05036068760490655
ret_EWJ,ya_es_variacion,2692,2692,0.04859773077790498
ret_MCHI,ya_es_variacion,2692,2692,0.06309111654981552
ret_XLK,ya_es_variacion,2692,2692,0.05716990356940016
ret_XLF,ya_es_variacion,2692,2692,0.052278872151794574
ret_XLE,ya_es_variacion,2692,2692,0.06410186582649166
ret_XLB,ya_es_variacion,2692,2692,0.05122825392681199
ret_XLI,ya_es_variacion,2692,2692,0.05135480527966758
ret_XLV,ya_es_variacion,2692,2692,0.045038697805850854
ret_XLY,ya_es_variacion,2692,2692,0.05225234715867379
ret_XLP,ya_es_variacion,2692,2692,0.04312243744156664
ret_GLD,ya_es_variacion,2692,2692,0.04740433478924135
ret_CPER,ya_es_variacion,2692,2692,0.06001526806784173
ret_COPX,ya_es_variacion,2692,2692,0.07976317548290493
ret_USO,ya_es_variacion,2692,2692,0.08946054626639216
ret_TLT,ya_es_variacion,2692,2692,0.04740912974949621
ret_LQD,ya_es_variacion,2692,2692,0.039170631080648936
ret_HYG,ya_es_variacion,2692,2692,0.03812838066769145
ret_IDX_VIX,ya_es_variacion,2717,2717,0.2845159844547524
ret_DX_Y_NYB,ya_es_variacion,2899,2899,0.01313424575125633
ret_PEN_X,ya_es_variacion,2901,2901,0.0321730633512661
fx_usdpen,ya_es_variacion,2901,2901,0.0321730633512661
vix_retorno,ya_es_variacion,2717,2717,0.2845159844547524
