afp,factor,estado,motivo,correlacion_max_con_canasta,factor_equivalente_conservado,mejora_valid_pct,alpha_valid,rmse_valid_acumulado
Habitat,vix_retorno,descartado,duplicado_exacto,1.0,ret_IDX_VIX,,,
Habitat,ret_IDX_VIX,seleccionado,aporta_informacion,0.0,,,0.01,0.005539908094155931
Habitat,ret_COPX,seleccionado,aporta_informacion,0.42125738670499163,,6.746443694168265,0.01,0.005166161313875031
Habitat,ret_EEM,descartado,sin_mejora_validacion,0.7989977536690758,,-0.10798252807591971,0.01,0.005171739865466233
Habitat,ret_MCHI,descartado,sin_mejora_validacion,0.6961212028565681,,-0.6234184910642223,0.01,0.005198368118783934
Habitat,ret_XLB,descartado,sin_mejora_validacion,0.7960141167873771,,0.1873154856670141,0.01,0.0051564842937196044
Habitat,ret_VGK,descartado,sin_mejora_validacion,0.769882110058605,,0.09388761020651958,0.01,0.00516131092847802
Habitat,ret_ACWI,descartado,sin_mejora_validacion,0.7714450796501323,,0.11585588990489487,0.01,0.0051601760117109185
Integra,vix_retorno,descartado,duplicado_exacto,1.0,ret_IDX_VIX,,,
Integra,ret_COPX,seleccionado,aporta_informacion,0.0,,,0.01,0.005741031560599129
Integra,ret_EPU,seleccionado,aporta_informacion,0.8013572819351412,,0.6456233119207382,100.0,0.005703966122499174
Integra,ret_EEM,descartado,sin_mejora_validacion,0.8017122312057052,,-1.8795988118109765,100.0,0.0058111778019637695
Integra,ret_XLB,descartado,sin_mejora_validacion,0.7960141167873771,,-0.9748861574615785,0.01,0.005759573298653717
Integra,ret_IDX_VIX,descartado,sin_mejora_validacion,0.4212573867049915,,-0.23781394501259756,100.0,0.005717530949357272
Integra,ret_VGK,descartado,sin_mejora_validacion,0.7832204966019258,,-1.7008309619846558,100.0,0.005800980944371756
Integra,ret_ACWI,descartado,sin_mejora_validacion,0.7908674801952489,,-1.6039276742326314,100.0,0.005795453613666793
Prima,vix_retorno,descartado,duplicado_exacto,1.0,ret_IDX_VIX,,,
Prima,ret_COPX,seleccionado,aporta_informacion,0.0,,,100.0,0.004509461279529701
Prima,ret_EPU,seleccionado,aporta_informacion,0.8013572819351412,,1.1335975010755581,100.0,0.004458342139152982
Prima,ret_EEM,descartado,sin_mejora_validacion,0.8017122312057052,,-2.175177917689092,100.0,0.004555319012858865
Prima,ret_IDX_VIX,seleccionado,aporta_informacion,0.4212573867049915,,0.6429755875682819,100.0,0.004429676087587959
Prima,ret_XLB,seleccionado,aporta_informacion,0.7960141167873771,,0.3684218338494907,0.01,0.004413356193712475
Prima,ret_VGK,descartado,sin_mejora_validacion,0.8989179845030406,,-0.31615453680589534,0.01,0.004427309219544301
Prima,ret_ACWI,descartado,redundante_con_canasta,0.9313545583381633,,,,
Profuturo,vix_retorno,descartado,duplicado_exacto,1.0,ret_IDX_VIX,,,
Profuturo,ret_COPX,seleccionado,aporta_informacion,0.0,,,100.0,0.0048320798203536795
Profuturo,ret_EPU,seleccionado,aporta_informacion,0.8013572819351412,,1.0874081868827747,100.0,0.004779535388790443
Profuturo,ret_IDX_VIX,descartado,sin_mejora_validacion,0.4212573867049915,,-0.3877285528000051,100.0,0.004798067012183964
Profuturo,ret_EEM,descartado,sin_mejora_validacion,0.8017122312057052,,-3.0989467226162146,100.0,0.004927650644077647
Profuturo,ret_XLB,descartado,sin_mejora_validacion,0.7960141167873771,,-1.8561291040014285,100.0,0.00486824973617783
Profuturo,ret_VGK,descartado,sin_mejora_validacion,0.7832204966019258,,-2.6248441039017516,100.0,0.004904990741637007
Profuturo,ret_ACWI,descartado,sin_mejora_validacion,0.7908674801952489,,-2.996455165451572,100.0,0.00492275202383244
