fecha,afp,retorno_estimado,fecha_anterior_prediccion,dias_calendario_desde_anterior,brecha_mayor_4_dias,brecha_mayor_10_dias
2024-02-26,Habitat,-0.0020998469418025,,,False,False
2024-02-27,Habitat,0.0026523415503166,2024-02-26,1.0,False,False
2024-02-28,Habitat,-0.0014718052748172,2024-02-27,1.0,False,False
2024-02-29,Habitat,0.0001754748681523,2024-02-28,1.0,False,False
2024-03-01,Habitat,0.0029310127916859,2024-02-29,1.0,False,False
2024-03-04,Habitat,-0.001696545994792,2024-03-01,3.0,False,False
2024-03-05,Habitat,-0.0009904207649642,2024-03-04,1.0,False,False
2024-03-06,Habitat,0.0013864032518357,2024-03-05,1.0,False,False
2024-03-07,Habitat,0.0025413871275334,2024-03-06,1.0,False,False
2024-03-08,Habitat,-0.0020685604449579,2024-03-07,1.0,False,False
2024-03-11,Habitat,-0.0002007447931693,2024-03-08,3.0,False,False
2024-03-12,Habitat,0.002628301117598,2024-03-11,1.0,False,False
2024-03-13,Habitat,0.0040660003503561,2024-03-12,1.0,False,False
2024-03-14,Habitat,-0.00089780155246,2024-03-13,1.0,False,False
2024-03-15,Habitat,0.0018542240692512,2024-03-14,1.0,False,False
2024-03-18,Habitat,-0.0011801934603394,2024-03-15,3.0,False,False
2024-03-19,Habitat,0.001449929598302,2024-03-18,1.0,False,False
2024-03-20,Habitat,0.003359225647396,2024-03-19,1.0,False,False
2024-03-21,Habitat,0.0005346979458152,2024-03-20,1.0,False,False
2024-03-22,Habitat,-0.001954801045564,2024-03-21,1.0,False,False
2024-03-25,Habitat,-0.0005923463713568,2024-03-22,3.0,False,False
2024-03-26,Habitat,0.0011222553352464,2024-03-25,1.0,False,False
2024-03-27,Habitat,0.0022184552639586,2024-03-26,1.0,False,False
2024-03-28,Habitat,0.0016300823601158,2024-03-27,1.0,False,False
2024-04-02,Habitat,0.0009094987828973,2024-03-28,5.0,True,False
2024-04-03,Habitat,0.0020276129545711,2024-04-02,1.0,False,False
2024-04-04,Habitat,-0.0023353615187957,2024-04-03,1.0,False,False
2024-04-05,Habitat,0.0004319871559503,2024-04-04,1.0,False,False
2024-04-08,Habitat,0.0012483931798297,2024-04-05,3.0,False,False
2024-04-09,Habitat,0.001910588909388,2024-04-08,1.0,False,False
2024-04-10,Habitat,-6.224364067116967e-05,2024-04-09,1.0,False,False
2024-04-11,Habitat,0.0013226681290952,2024-04-10,1.0,False,False
2024-04-12,Habitat,-0.0045205748948573,2024-04-11,1.0,False,False
2024-04-15,Habitat,-0.0021290097045816,2024-04-12,3.0,False,False
2024-04-16,Habitat,0.0018036570409341,2024-04-15,1.0,False,False
2024-04-17,Habitat,0.001681538162188,2024-04-16,1.0,False,False
2024-04-18,Habitat,0.0004137368478616,2024-04-17,1.0,False,False
2024-04-19,Habitat,0.0001209153288656,2024-04-18,1.0,False,False
2024-04-22,Habitat,-0.0003193767683671,2024-04-19,3.0,False,False
2024-04-23,Habitat,0.001368381979674,2024-04-22,1.0,False,False
2024-04-24,Habitat,0.0001751309895727,2024-04-23,1.0,False,False
2024-04-25,Habitat,0.0030123691414277,2024-04-24,1.0,False,False
2024-04-26,Habitat,0.0031683833682305,2024-04-25,1.0,False,False
2024-04-29,Habitat,0.0008201064280642,2024-04-26,3.0,False,False
2024-04-30,Habitat,-0.0029667551607071,2024-04-29,1.0,False,False
2024-05-01,Habitat,0.0003349881741548,2024-04-30,1.0,False,False
2024-05-02,Habitat,0.0013915586868082,2024-05-01,1.0,False,False
2024-05-03,Habitat,0.0031426976248521,2024-05-02,1.0,False,False
2024-05-06,Habitat,-0.0004732080395513,2024-05-03,3.0,False,False
2024-05-07,Habitat,0.0019292844631711,2024-05-06,1.0,False,False
2024-05-08,Habitat,-0.0001642259169406,2024-05-07,1.0,False,False
2024-05-09,Habitat,0.0021027987665975,2024-05-08,1.0,False,False
2024-05-10,Habitat,0.0005744619192216,2024-05-09,1.0,False,False
2024-05-13,Habitat,-0.0026790906615407,2024-05-10,3.0,False,False
2024-05-14,Habitat,0.0038195045801413,2024-05-13,1.0,False,False
2024-05-15,Habitat,0.0018249457848076,2024-05-14,1.0,False,False
2024-05-16,Habitat,5.224668068803284e-05,2024-05-15,1.0,False,False
2024-05-17,Habitat,0.0036448600688054,2024-05-16,1.0,False,False
2024-05-20,Habitat,-5.975811265728826e-06,2024-05-17,3.0,False,False
2024-05-21,Habitat,2.0293377444566708e-05,2024-05-20,1.0,False,False
2024-05-22,Habitat,-0.0035346231992605,2024-05-21,1.0,False,False
2024-05-23,Habitat,-0.0011473741697816,2024-05-22,1.0,False,False
2024-05-24,Habitat,0.0028783594339333,2024-05-23,1.0,False,False
2024-05-29,Habitat,-0.0032835059076487,2024-05-24,5.0,True,False
2024-05-30,Habitat,0.0006022077425387,2024-05-29,1.0,False,False
2024-05-31,Habitat,0.0022053589763008,2024-05-30,1.0,False,False
2024-06-03,Habitat,-0.0017398543857342,2024-05-31,3.0,False,False
2024-06-04,Habitat,-0.0017352399453693,2024-06-03,1.0,False,False
2024-06-05,Habitat,0.0023527113854498,2024-06-04,1.0,False,False
2024-06-06,Habitat,0.0014599577539236,2024-06-05,1.0,False,False
