afp,fecha_anterior,fecha_siguiente,dias_brecha
Habitat,2024-03-28,2024-04-02,5
Habitat,2024-05-24,2024-05-29,5
Habitat,2024-07-03,2024-07-09,6
Habitat,2024-08-30,2024-09-04,5
Habitat,2024-11-27,2024-12-03,6
Habitat,2025-01-08,2025-01-14,6
Habitat,2025-01-17,2025-01-22,5
Habitat,2025-02-14,2025-02-19,5
Habitat,2025-04-17,2025-04-22,5
Habitat,2025-05-23,2025-05-28,5
Habitat,2025-06-18,2025-06-24,6
Habitat,2025-07-03,2025-07-08,5
Habitat,2025-08-29,2025-09-03,5
Habitat,2025-11-26,2025-12-02,6
Habitat,2025-12-24,2025-12-30,6
Habitat,2025-12-31,2026-01-06,6
Habitat,2026-01-16,2026-01-21,5
Habitat,2026-02-13,2026-02-18,5
Habitat,2026-04-02,2026-04-07,5
Habitat,2026-05-22,2026-05-27,5
Habitat,2026-05-29,2026-06-23,25
Integra,2024-03-28,2024-04-02,5
Integra,2024-05-24,2024-05-29,5
Integra,2024-07-03,2024-07-09,6
Integra,2024-08-30,2024-09-04,5
Integra,2024-11-27,2024-12-03,6
Integra,2025-01-08,2025-01-14,6
Integra,2025-01-17,2025-01-22,5
Integra,2025-02-14,2025-02-19,5
Integra,2025-04-17,2025-04-22,5
Integra,2025-05-23,2025-05-28,5
Integra,2025-06-18,2025-06-24,6
Integra,2025-07-03,2025-07-08,5
Integra,2025-08-29,2025-09-03,5
Integra,2025-11-26,2025-12-02,6
Integra,2025-12-24,2025-12-30,6
Integra,2025-12-31,2026-01-06,6
Integra,2026-01-16,2026-01-21,5
Integra,2026-02-13,2026-02-18,5
Integra,2026-04-02,2026-04-07,5
Integra,2026-05-22,2026-05-27,5
Integra,2026-05-29,2026-06-23,25
Prima,2024-03-28,2024-04-02,5
Prima,2024-05-24,2024-05-29,5
Prima,2024-07-03,2024-07-09,6
Prima,2024-08-30,2024-09-04,5
Prima,2024-11-27,2024-12-03,6
Prima,2025-01-08,2025-01-14,6
Prima,2025-01-17,2025-01-22,5
Prima,2025-02-14,2025-02-19,5
Prima,2025-04-17,2025-04-22,5
Prima,2025-05-23,2025-05-28,5
Prima,2025-06-18,2025-06-24,6
Prima,2025-07-03,2025-07-08,5
Prima,2025-08-29,2025-09-03,5
Prima,2025-11-26,2025-12-02,6
Prima,2025-12-24,2025-12-30,6
Prima,2025-12-31,2026-01-06,6
Prima,2026-01-16,2026-01-21,5
Prima,2026-02-13,2026-02-18,5
Prima,2026-04-02,2026-04-07,5
Prima,2026-05-22,2026-05-27,5
Prima,2026-05-29,2026-06-23,25
Profuturo,2024-03-28,2024-04-02,5
Profuturo,2024-05-24,2024-05-29,5
Profuturo,2024-07-03,2024-07-09,6
Profuturo,2024-08-30,2024-09-04,5
Profuturo,2024-11-27,2024-12-03,6
Profuturo,2025-01-08,2025-01-14,6
Profuturo,2025-01-17,2025-01-22,5
Profuturo,2025-02-14,2025-02-19,5
Profuturo,2025-04-17,2025-04-22,5
Profuturo,2025-05-23,2025-05-28,5
Profuturo,2025-06-18,2025-06-24,6
Profuturo,2025-07-03,2025-07-08,5
Profuturo,2025-08-29,2025-09-03,5
Profuturo,2025-11-26,2025-12-02,6
Profuturo,2025-12-24,2025-12-30,6
Profuturo,2025-12-31,2026-01-06,6
Profuturo,2026-01-16,2026-01-21,5
Profuturo,2026-02-13,2026-02-18,5
Profuturo,2026-04-02,2026-04-07,5
Profuturo,2026-05-22,2026-05-27,5
Profuturo,2026-05-29,2026-06-23,25
