fecha,dia_semana,afp_sin_prediccion,lista_afp,causas,factores_faltantes,faltante_en_las_4_afp
2024-03-29,viernes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-04-01,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-05-27,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-05-28,martes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-06-19,miercoles,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-06-20,jueves,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-07-04,jueves,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-07-05,viernes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-07-08,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-07-15,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-07-22,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-07-29,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-08-05,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-08-12,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-08-19,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-08-26,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-09-02,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-09-03,martes,4,Habitat | Integra | Prima | Profuturo,faltan_factores_seleccionados | ningun_factor_seleccionado_disponible,ret_COPX || ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_XLB,True
