factor,metodo,observaciones_no_nulas
ret_ACWI,ya_es_variacion,2692
ret_SPY,ya_es_variacion,2692
ret_QQQ,ya_es_variacion,2692
ret_EEM,ya_es_variacion,2692
ret_ILF,ya_es_variacion,2692
ret_EPU,ya_es_variacion,2692
ret_VGK,ya_es_variacion,2692
ret_EWJ,ya_es_variacion,2692
ret_MCHI,ya_es_variacion,2692
ret_XLK,ya_es_variacion,2692
ret_XLF,ya_es_variacion,2692
ret_XLE,ya_es_variacion,2692
ret_XLB,ya_es_variacion,2692
ret_XLI,ya_es_variacion,2692
ret_XLV,ya_es_variacion,2692
ret_XLY,ya_es_variacion,2692
ret_XLP,ya_es_variacion,2692
ret_GLD,ya_es_variacion,2692
ret_CPER,ya_es_variacion,2692
ret_COPX,ya_es_variacion,2692
ret_USO,ya_es_variacion,2692
ret_TLT,ya_es_variacion,2692
ret_LQD,ya_es_variacion,2692
ret_HYG,ya_es_variacion,2692
ret_IDX_VIX,ya_es_variacion,2717
ret_DX_Y_NYB,ya_es_variacion,2899
ret_PEN_X,ya_es_variacion,2901
fx_usdpen,ya_es_variacion,2901
vix_retorno,ya_es_variacion,2717
