fecha_cuota,afp,cuota_sbs,cuota_sbs_anterior,retorno_cuota,ret_COPX__fecha_usada,ret_COPX__retorno_alineado,ret_EPU__fecha_usada,ret_EPU__retorno_alineado,ret_IDX_VIX__fecha_usada,ret_IDX_VIX__retorno_alineado,ret_XLB__fecha_usada,ret_XLB__retorno_alineado
2015-01-02,Habitat,10.806122,,,2014-12-31,,2014-12-31,,2014-12-31,,2014-12-31,
2015-01-05,Habitat,10.7153311,10.806122,-0.008401802237657519,2015-01-05,-0.0307131393782233,2015-01-05,-0.020159784432398,2015-01-05,0.1197301321613486,2015-01-05,-0.0305603495652014
2015-01-06,Habitat,10.6141156,10.7153311,-0.009445858373895777,2015-01-06,0.0146616494098406,2015-01-06,0.0290732325679352,2015-01-06,0.0602410019248709,2015-01-06,0.0112745029588141
2015-01-07,Habitat,10.6785828,10.6141156,0.006073723184247148,2015-01-07,0.0015604986365844,2015-01-07,-0.0023547999993641,2015-01-07,-0.0857008191935617,2015-01-07,0.0114489342396038
2015-01-08,Habitat,10.7465171,10.6785828,0.006361733693725835,2015-01-08,0.015639149722177,2015-01-08,0.0117169493244762,2015-01-08,-0.1191092335925292,2015-01-08,0.0241223387853917
2015-01-09,Habitat,10.7203245,10.7465171,-0.0024373105961930097,2015-01-09,-0.0254696377795913,2015-01-09,-0.0243876596557657,2015-01-09,0.0317459730107367,2015-01-09,-0.0251359951362786
2015-01-12,Habitat,10.6542866,10.7203245,-0.006160065397274095,2015-01-12,-0.0135535917815072,2015-01-12,0.0169689397954346,2015-01-12,0.1168091870955849,2015-01-12,0.0178527215892525
2015-01-13,Habitat,10.6507412,10.6542866,-0.00033276747032506826,2015-01-13,-0.0404896890383325,2015-01-13,-0.0225866220563905,2015-01-13,0.0489795441728797,2015-01-13,-0.0088631066847154
2015-01-14,Habitat,10.5792767,10.6507412,-0.0067098147122381935,2015-01-14,-0.1009810842675603,2015-01-14,-0.0577255720095123,2015-01-14,0.0447470865851882,2015-01-14,-0.0354512756031714
2015-01-15,Habitat,10.5483409,10.5792767,-0.002924188569526698,2015-01-15,0.0150033876318833,2015-01-15,0.0311088913379264,2015-01-15,0.0423649844881406,2015-01-15,0.0229832020911979
2015-01-16,Habitat,10.6407912,10.5483409,0.008764439913010458,2015-01-16,0.0281592747076231,2015-01-16,0.0086675620423863,2015-01-16,-0.0643143665012664,2015-01-16,0.0179607559233505
2015-01-19,Habitat,10.6400546,10.6407912,-6.922417573629325e-05,2015-01-16,0.0,2015-01-16,0.0,2015-01-16,0.0,2015-01-16,0.0
2015-01-20,Habitat,10.6630168,10.6400546,0.002158090429348114,2015-01-16,0.0,2015-01-16,0.0,2015-01-16,0.0,2015-01-16,0.0
2015-01-21,Habitat,10.6936942,10.6630168,0.0028769906842873727,2015-01-21,0.0096345672022255,2015-01-21,-0.0020337072586507,2015-01-21,-0.0522875334385364,2015-01-21,0.0100799209732953
2015-01-22,Habitat,10.7782317,10.6936942,0.007905359777353516,2015-01-22,0.0280146951197961,2015-01-22,0.031577982335218,2015-01-22,-0.1299735126450129,2015-01-22,0.0329881000811409
2015-01-23,Habitat,10.815629,10.7782317,0.0034697064454460858,2015-01-23,-0.0371302137838093,2015-01-23,-0.0127308268582656,2015-01-23,0.0158536728615568,2015-01-23,-0.0158346044933062
2015-01-26,Habitat,10.879394,10.815629,0.0058956349186902735,2015-01-26,-0.0232643216741381,2015-01-26,-0.0115640564279401,2015-01-26,-0.0684273349393529,2015-01-26,-0.0221270797035569
2015-01-27,Habitat,10.8211859,10.879394,-0.005350307195419179,2015-01-27,-0.0022428185394461,2015-01-27,0.0043997787477587,2015-01-27,0.1095360055057483,2015-01-27,0.0004907995123195
2015-01-28,Habitat,10.775903,10.8211859,-0.004184652257013699,2015-01-28,-0.0241045469436512,2015-01-28,-0.0147584681201382,2015-01-28,0.1869919482636646,2015-01-28,-0.0181423599379937
