fecha_cuota,afp,fecha_ultima_cuota_oficial,cuota_ultima_oficial,dias_desde_ultima_oficial,retorno_estimado,cuota_estimada,factores_total,factores_con_dato_nuevo,cobertura_factores_pct,estado_cobertura,factores_actualizados,factores_sin_actualizar
2026-07-01,Habitat,2026-06-30,33.5370629,1,-0.00269324969925306,33.446739215430746,2,2,100.0,COMPLETA,ret_IDX_VIX | ret_COPX,
2026-07-02,Habitat,2026-06-30,33.5370629,2,0.0036949999506027736,33.57032491517959,2,2,100.0,COMPLETA,ret_IDX_VIX | ret_COPX,
2026-07-03,Habitat,2026-06-30,33.5370629,3,0.000779227154808825,33.59648382394926,2,1,50.0,PARCIAL,ret_IDX_VIX,ret_COPX
2026-07-01,Integra,2026-06-30,72.3284597,1,-0.004231266871228175,72.02241868462443,2,2,100.0,COMPLETA,ret_COPX | ret_EPU,
2026-07-02,Integra,2026-06-30,72.3284597,2,0.0050483590709514145,72.38601371530281,2,2,100.0,COMPLETA,ret_COPX | ret_EPU,
2026-07-03,Integra,2026-06-30,72.3284597,3,0.0001212487033539639,72.39479042560676,2,0,0.0,SIN_NUEVA_SENAL,,ret_COPX | ret_EPU
2026-07-01,Prima,2026-06-30,65.7918163,1,-0.003624448661242597,65.55335723949074,4,4,100.0,COMPLETA,ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB,
2026-07-02,Prima,2026-06-30,65.7918163,2,0.003644212213975615,65.79224758461001,4,4,100.0,COMPLETA,ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB,
2026-07-03,Prima,2026-06-30,65.7918163,3,0.0007150866887452717,65.8392947450804,4,1,25.0,PARCIAL,ret_IDX_VIX,ret_COPX | ret_EPU | ret_XLB
2026-07-01,Profuturo,2026-06-30,71.9348302,1,-0.004351751080906297,71.62178772492233,2,2,100.0,COMPLETA,ret_COPX | ret_EPU,
2026-07-02,Profuturo,2026-06-30,71.9348302,2,0.005243570931649236,71.99734164910947,2,2,100.0,COMPLETA,ret_COPX | ret_EPU,
2026-07-03,Profuturo,2026-06-30,71.9348302,3,0.00014990879265277672,72.0081346836703,2,0,0.0,SIN_NUEVA_SENAL,,ret_COPX | ret_EPU
