afp,factor,contribucion_modelo,contribucion_acumulada_pp,tipo
Habitat,intercepto,0.0010114182134352001,0.10114182134352001,componente_base
Habitat,ret_IDX_VIX,0.0008203137289928,0.08203137289928,factor_mercado
Habitat,ret_COPX,-5.075453626969973e-05,-0.005075453626969973,factor_mercado
Integra,ret_EPU,0.0006217781091463,0.06217781091463,factor_mercado
Integra,intercepto,0.0003637461100617,0.03637461100617,componente_base
Integra,ret_COPX,-4.718331613110015e-05,-0.004718331613110015,factor_mercado
Prima,ret_EPU,0.0009979440825921,0.09979440825921,factor_mercado
Prima,ret_IDX_VIX,0.0009450002126614001,0.09450002126614,factor_mercado
Prima,intercepto,0.0006174067462989,0.06174067462989,componente_base
Prima,ret_COPX,-3.59743231551999e-05,-0.0035974323155199897,factor_mercado
Prima,ret_XLB,-0.001789526476919,-0.1789526476919,factor_mercado
Profuturo,ret_EPU,0.0006409083452255002,0.06409083452255003,factor_mercado
Profuturo,intercepto,0.00044972637795809994,0.04497263779581,componente_base
Profuturo,ret_COPX,-4.8906079788099775e-05,-0.0048906079788099775,factor_mercado
