fecha_cuota,afp,factor,corr_120,corr_250,beta_120,beta_250
2015-01-02,Habitat,ret_IDX_VIX,,,,
2015-01-05,Habitat,ret_IDX_VIX,,,,
2015-01-06,Habitat,ret_IDX_VIX,,,,
2015-01-07,Habitat,ret_IDX_VIX,,,,
2015-01-08,Habitat,ret_IDX_VIX,,,,
2015-01-09,Habitat,ret_IDX_VIX,,,,
2015-01-12,Habitat,ret_IDX_VIX,,,,
2015-01-13,Habitat,ret_IDX_VIX,,,,
2015-01-14,Habitat,ret_IDX_VIX,,,,
2015-01-15,Habitat,ret_IDX_VIX,,,,
2015-01-16,Habitat,ret_IDX_VIX,,,,
2015-01-19,Habitat,ret_IDX_VIX,,,,
2015-01-20,Habitat,ret_IDX_VIX,,,,
2015-01-21,Habitat,ret_IDX_VIX,,,,
2015-01-22,Habitat,ret_IDX_VIX,,,,
2015-01-23,Habitat,ret_IDX_VIX,,,,
2015-01-26,Habitat,ret_IDX_VIX,,,,
2015-01-27,Habitat,ret_IDX_VIX,,,,
2015-01-28,Habitat,ret_IDX_VIX,,,,
2015-01-29,Habitat,ret_IDX_VIX,,,,
2015-01-30,Habitat,ret_IDX_VIX,,,,
2015-02-02,Habitat,ret_IDX_VIX,,,,
2015-02-03,Habitat,ret_IDX_VIX,,,,
2015-02-04,Habitat,ret_IDX_VIX,,,,
2015-02-05,Habitat,ret_IDX_VIX,,,,
2015-02-06,Habitat,ret_IDX_VIX,,,,
2015-02-09,Habitat,ret_IDX_VIX,,,,
2015-02-10,Habitat,ret_IDX_VIX,,,,
2015-02-11,Habitat,ret_IDX_VIX,,,,
2015-02-12,Habitat,ret_IDX_VIX,,,,
2015-02-13,Habitat,ret_IDX_VIX,,,,
2015-02-16,Habitat,ret_IDX_VIX,,,,
2015-02-17,Habitat,ret_IDX_VIX,,,,
2015-02-18,Habitat,ret_IDX_VIX,,,,
2015-02-19,Habitat,ret_IDX_VIX,,,,
2015-02-20,Habitat,ret_IDX_VIX,,,,
2015-02-23,Habitat,ret_IDX_VIX,,,,
2015-02-24,Habitat,ret_IDX_VIX,,,,
2015-02-25,Habitat,ret_IDX_VIX,,,,
2015-02-26,Habitat,ret_IDX_VIX,,,,
2015-02-27,Habitat,ret_IDX_VIX,,,,
2015-03-02,Habitat,ret_IDX_VIX,,,,
2015-03-03,Habitat,ret_IDX_VIX,,,,
2015-03-04,Habitat,ret_IDX_VIX,,,,
2015-03-05,Habitat,ret_IDX_VIX,,,,
2015-03-06,Habitat,ret_IDX_VIX,,,,
2015-03-09,Habitat,ret_IDX_VIX,,,,
2015-03-10,Habitat,ret_IDX_VIX,,,,
2015-03-11,Habitat,ret_IDX_VIX,,,,
2015-03-12,Habitat,ret_IDX_VIX,,,,
2015-03-13,Habitat,ret_IDX_VIX,,,,
2015-03-16,Habitat,ret_IDX_VIX,,,,
2015-03-17,Habitat,ret_IDX_VIX,,,,
2015-03-18,Habitat,ret_IDX_VIX,,,,
2015-03-19,Habitat,ret_IDX_VIX,,,,
2015-03-20,Habitat,ret_IDX_VIX,,,,
2015-03-23,Habitat,ret_IDX_VIX,,,,
2015-03-24,Habitat,ret_IDX_VIX,,,,
2015-03-25,Habitat,ret_IDX_VIX,,,,
2015-03-26,Habitat,ret_IDX_VIX,,,,
2015-03-27,Habitat,ret_IDX_VIX,,,,
2015-03-30,Habitat,ret_IDX_VIX,,,,
2015-03-31,Habitat,ret_IDX_VIX,,,,
2015-04-01,Habitat,ret_IDX_VIX,,,,
2015-04-02,Habitat,ret_IDX_VIX,,,,
2015-04-06,Habitat,ret_IDX_VIX,,,,
2015-04-07,Habitat,ret_IDX_VIX,,,,
2015-04-08,Habitat,ret_IDX_VIX,,,,
2015-04-09,Habitat,ret_IDX_VIX,,,,
2015-04-10,Habitat,ret_IDX_VIX,,,,
2015-04-13,Habitat,ret_IDX_VIX,,,,
2015-04-14,Habitat,ret_IDX_VIX,,,,
2015-04-15,Habitat,ret_IDX_VIX,,,,
2015-04-16,Habitat,ret_IDX_VIX,,,,
2015-04-17,Habitat,ret_IDX_VIX,,,,
2015-04-20,Habitat,ret_IDX_VIX,,,,
2015-04-21,Habitat,ret_IDX_VIX,,,,
2015-04-22,Habitat,ret_IDX_VIX,,,,
2015-04-23,Habitat,ret_IDX_VIX,,,,
2015-04-24,Habitat,ret_IDX_VIX,,,,
2015-04-27,Habitat,ret_IDX_VIX,,,,
2015-04-28,Habitat,ret_IDX_VIX,,,,
2015-04-29,Habitat,ret_IDX_VIX,,,,
2015-04-30,Habitat,ret_IDX_VIX,,,,
2015-05-01,Habitat,ret_IDX_VIX,,,,
2015-05-04,Habitat,ret_IDX_VIX,,,,
2015-05-05,Habitat,ret_IDX_VIX,,,,
2015-05-06,Habitat,ret_IDX_VIX,,,,
2015-05-07,Habitat,ret_IDX_VIX,,,,
