afp,factor_columna,vif,factor
Habitat,ret_IDX_VIX__retorno_alineado,1.2121785246852066,ret_IDX_VIX
Habitat,ret_COPX__retorno_alineado,1.2121785246852068,ret_COPX
Integra,ret_COPX__retorno_alineado,2.6277748354018287,ret_COPX
Integra,ret_EPU__retorno_alineado,2.6277748354018273,ret_EPU
Prima,ret_COPX__retorno_alineado,3.4724838291666096,ret_COPX
Prima,ret_EPU__retorno_alineado,3.188424939262478,ret_EPU
Prima,ret_IDX_VIX__retorno_alineado,1.3032235529738996,ret_IDX_VIX
Prima,ret_XLB__retorno_alineado,3.4940994593421797,ret_XLB
Profuturo,ret_COPX__retorno_alineado,2.6277748354018287,ret_COPX
Profuturo,ret_EPU__retorno_alineado,2.6277748354018273,ret_EPU
