afp,baseline,segmento,n_publicacion,mape_cuota_5d_pct,mediana_error_abs_5d_pct,p90_error_abs_5d_pct,error_maximo_abs_5d_pct,sesgo_5d_pct,correlacion_retorno_acumulado,direccion_acumulada_pct,cobertura_direccional_acumulada_pct,mape_cero_pct,mejora_mape_vs_cero_pct,ranking_mape
Habitat,RETORNO_CERO,entrenamiento,1777,0.8723930461119394,0.6422220067817674,1.8175803836282922,9.056712445723392,-0.12568349674295762,,,0.0,0.8723930461119394,0.0,2.0
Habitat,RETORNO_CERO,validacion,593,0.9614381446372002,0.7306619203670484,2.014448851176509,7.532098994970471,-0.051911557354151205,,,0.0,0.9614381446372002,0.0,2.0
Habitat,RETORNO_CERO,prueba,593,1.0195940734705966,0.7227581338476785,2.3831012189354976,6.029746103300937,-0.2827617712632653,,,0.0,1.0195940734705966,0.0,2.0
Habitat,PERSISTENCIA_1D,entrenamiento,1774,1.4408627811406198,1.0503369996376188,3.179430686566672,11.529811365666875,-0.0019407095365617292,0.18834225754904116,56.36978579481398,100.0,0.8723930461119394,-65.16211214225319,4.0
Habitat,PERSISTENCIA_1D,validacion,593,1.6891706420078576,1.2627888958489875,3.6557397544839407,10.371109684028346,0.03327099572417114,0.17055627660721306,56.82967959527825,100.0,0.9614381446372002,-75.692076648911,4.0
Habitat,PERSISTENCIA_1D,prueba,593,2.0542548426619205,1.3870923704670135,4.535166822878771,17.339193689691612,-0.13970672144158422,0.06956549833149028,56.66104553119731,100.0,1.0195940734705966,-101.47771511356885,4.0
Habitat,MEDIA_EXPANSIVA,entrenamiento,1717,0.8643128321151199,0.6248230048518266,1.832555286915825,9.194346130812692,-0.01871818548488508,-0.057058631769649655,58.35760046592895,100.0,0.8723930461119394,0.9262125635722533,1.0
Habitat,MEDIA_EXPANSIVA,validacion,593,0.9547604784367842,0.706727655646644,2.0512124940550858,7.646404907842963,0.05823624100113255,-0.06358720451173339,56.323777403035415,100.0,0.9614381446372002,0.6945497469247814,1.0
Habitat,MEDIA_EXPANSIVA,prueba,593,0.9995255386934311,0.7067574535548182,2.3700754111199744,6.117080446552592,-0.17294671365038686,0.046958530819950786,62.22596964586846,100.0,1.0195940734705966,1.968286723053836,1.0
Habitat,MEDIA_MOVIL_20,entrenamiento,1757,0.9084402542138403,0.6735029299470896,1.9361717103401554,7.310122210700398,0.0012157211051951346,0.1623815117006769,56.346044393853155,100.0,0.8723930461119394,-4.131991682253237,3.0
Habitat,MEDIA_MOVIL_20,validacion,593,1.0854386118760238,0.8670538352131274,2.2789717700763665,6.727336952261331,0.006203086061072243,0.037397852260588255,52.4451939291737,100.0,0.9614381446372002,-12.897394172520087,3.0
Habitat,MEDIA_MOVIL_20,prueba,593,1.0517248712662706,0.7231847634794564,2.3759249519794525,6.94506062500857,-0.04124341630489615,0.05925625031625136,57.67284991568297,100.0,1.0195940734705966,-3.1513323421255213,3.0
Integra,RETORNO_CERO,entrenamiento,1777,0.8297320587695003,0.61470284599624,1.7353684391970203,10.103491740408167,-0.10932185982096106,,,0.0,0.8297320587695003,0.0,2.0
Integra,RETORNO_CERO,validacion,593,0.8338534601295258,0.5646433313865828,1.6531480740945421,9.512350056148,0.005285924799861958,,,0.0,0.8338534601295258,0.0,1.0
Integra,RETORNO_CERO,prueba,593,1.0506052925984848,0.7143634913758135,2.5219787874523143,6.265881771959059,-0.2079192201021966,,,0.0,1.0506052925984848,0.0,2.0
Integra,PERSISTENCIA_1D,entrenamiento,1774,1.4288363993978208,1.0661731172804223,3.009861493851126,12.03386217198238,0.001187188642476637,0.15796547035488454,53.945885005636974,100.0,0.8297320587695003,-72.2045549881244,4.0
Integra,PERSISTENCIA_1D,validacion,593,1.468538991247838,1.0961283213859252,3.072531512087311,8.721824922784105,-0.05137713765208258,0.11695733978211326,52.951096121416526,100.0,0.8338534601295258,-76.1147565448399,4.0
Integra,PERSISTENCIA_1D,prueba,593,2.2001547971983575,1.4532060480010323,4.991609076339801,16.024080126882655,-0.12949113811965546,0.041495415051500714,53.79426644182125,100.0,1.0506052925984848,-109.41782919793475,4.0
Integra,MEDIA_EXPANSIVA,entrenamiento,1717,0.8242254828531215,0.5990903544994985,1.7455966368246982,10.185843152707896,-0.036110430007878565,-0.05668558317397609,58.241118229470004,100.0,0.8297320587695003,0.6636571237882647,1.0
Integra,MEDIA_EXPANSIVA,validacion,593,0.8372048177640836,0.5697259905375729,1.6804134166204374,9.446042459011872,0.08665079522632135,-0.11066952232853287,51.433389544688026,100.0,0.8338534601295258,-0.4019120618672338,2.0
Integra,MEDIA_EXPANSIVA,prueba,593,1.0410245711129298,0.7283298329718413,2.470406067538207,6.320763643878702,-0.13445299329530327,0.015930535775813166,58.68465430016864,100.0,1.0506052925984848,0.9119239692633561,1.0
Integra,MEDIA_MOVIL_20,entrenamiento,1757,0.8835421486667923,0.6633325616276942,1.8987593161298881,8.70649357072175,-0.0033365759778213586,0.16024194489473523,56.0045532157086,100.0,0.8297320587695003,-6.485236930231765,3.0
Integra,MEDIA_MOVIL_20,validacion,593,0.9543097567319621,0.6974511374348014,1.9533659499730005,9.406633681780107,-0.005028204265065728,0.08522731125872933,55.31197301854974,100.0,0.8338534601295258,-14.4457392530008,3.0
