afp,baseline,fecha_hoy_simulada,segmento,fecha_ultima_cuota_visible,cuotas_ocultas_estimadas,cuota_ultima_visible,cuota_estimada_hoy,cuota_real_hoy,error_pct,error_abs_pct,retorno_estimado_acumulado,retorno_real_acumulado
Habitat,RETORNO_CERO,2015-01-07,entrenamiento,2015-01-02,3,10.806122,10.806122,10.6785828,0.01194345751572956,0.01194345751572956,0.0,-0.011802494919083917
Habitat,RETORNO_CERO,2015-01-08,entrenamiento,2015-01-02,4,10.806122,10.806122,10.7465171,0.0055464388550594546,0.0055464388550594546,0.0,-0.005515845554954879
Habitat,RETORNO_CERO,2015-01-09,entrenamiento,2015-01-02,5,10.806122,10.806122,10.7203245,0.00800325587159234,0.00800325587159234,0.0,-0.007939712322329928
Habitat,RETORNO_CERO,2015-01-12,entrenamiento,2015-01-07,3,10.6785828,10.6785828,10.6542866,0.002280415471459074,0.002280415471459074,0.0,-0.0022752270085875104
Habitat,RETORNO_CERO,2015-01-13,entrenamiento,2015-01-08,3,10.7465171,10.7465171,10.6507412,0.008992416415112947,0.008992416415112947,0.0,-0.008912273540233717
Habitat,RETORNO_CERO,2015-01-14,entrenamiento,2015-01-09,3,10.7203245,10.7203245,10.5792767,0.013332461566110787,0.013332461566110787,0.0,-0.013157045759202624
Habitat,RETORNO_CERO,2015-01-15,entrenamiento,2015-01-09,4,10.7203245,10.7203245,10.5483409,0.016304327062467205,0.016304327062467205,0.0,-0.01604276064591148
Habitat,RETORNO_CERO,2015-01-16,entrenamiento,2015-01-09,5,10.7203245,10.7203245,10.6407912,0.00747437840900389,0.00747437840900389,0.0,-0.007418926544620841
Habitat,RETORNO_CERO,2015-01-19,entrenamiento,2015-01-14,3,10.5792767,10.5792767,10.6400546,-0.005712179334117273,0.005712179334117273,0.0,0.005744995780287976
Habitat,RETORNO_CERO,2015-01-20,entrenamiento,2015-01-15,3,10.5483409,10.5483409,10.6630168,-0.010754545561627582,0.010754545561627582,0.0,0.010871463208019794
Habitat,RETORNO_CERO,2015-01-21,entrenamiento,2015-01-16,3,10.6407912,10.6407912,10.6936942,-0.004947121080009831,0.004947121080009831,0.0,0.004971716764820888
Habitat,RETORNO_CERO,2015-01-22,entrenamiento,2015-01-16,4,10.6407912,10.6407912,10.7782317,-0.012751674284381731,0.012751674284381731,0.0,0.012916379751911622
Habitat,RETORNO_CERO,2015-01-23,entrenamiento,2015-01-16,5,10.6407912,10.6407912,10.815629,-0.016165291912287216,0.016165291912287216,0.0,0.016430902243434575
Habitat,RETORNO_CERO,2015-01-26,entrenamiento,2015-01-21,3,10.6936942,10.6936942,10.879394,-0.017068947038778037,0.017068947038778037,0.0,0.017365355369896474
Habitat,RETORNO_CERO,2015-01-27,entrenamiento,2015-01-22,3,10.7782317,10.7782317,10.8211859,-0.003969454031835906,0.003969454031835906,0.0,0.003985273391367228
Habitat,RETORNO_CERO,2015-01-28,entrenamiento,2015-01-23,3,10.815629,10.815629,10.775903,0.0036865587969749924,0.0036865587969749924,0.0,-0.0036730180001551815
