afp,modelo,segmento,tipo_features,parametros,n,mae,rmse,r2,sesgo,correlacion,direccion_diaria_pct
Habitat,OLS,entrenamiento,estatico,{},1779,0.0032222617984086553,0.004464393281430969,0.24735263410797248,1.0726227226388352e-19,0.4973455882060002,66.83530073074762
Habitat,OLS,validacion,estatico,{},593,0.003634009204677731,0.005099508346776186,0.2397872421211188,0.00024304124397988978,0.5213481833275326,65.26138279932546
Habitat,OLS,prueba,estatico,{},593,0.004270205396916813,0.006489409072536812,0.24250497199588572,-0.00030716977620375095,0.5190733674899606,67.95952782462057
Habitat,RIDGE,entrenamiento,estatico,"{""alpha"": 0.001}",1779,0.0032222617594976294,0.004464393281431095,0.24735263410793007,1.2871472671666023e-19,0.49734558820599883,66.83530073074762
Habitat,RIDGE,validacion,estatico,"{""alpha"": 0.001}",593,0.0036340093203537783,0.005099508471605351,0.23978720490312888,0.00024304121294577982,0.5213481955198007,65.26138279932546
Habitat,RIDGE,prueba,estatico,"{""alpha"": 0.001}",593,0.004270205487005531,0.0064894092177861535,0.24250493808658713,-0.00030716981205962927,0.51907336799924,67.95952782462057
Habitat,ELASTIC_NET,entrenamiento,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",1779,0.003222205776394759,0.0044643934415331595,0.247352580125052,8.971026407524804e-20,0.4973455871386518,66.83530073074762
Habitat,ELASTIC_NET,validacion,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",593,0.003634191078786388,0.005099727677745543,0.23972184688083786,0.00024301768767049853,0.5213377748799647,65.26138279932546
Habitat,ELASTIC_NET,prueba,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",593,0.0042703413230590495,0.006489634993595917,0.24245222850075543,-0.00030723096089386564,0.5190726037305143,67.95952782462057
Habitat,HUBER,entrenamiento,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",1779,0.003217606723197007,0.0044655216714879365,0.24697211784085193,3.7716020897993035e-05,0.4973443738782404,67.06014614952221
Habitat,HUBER,validacion,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",593,0.0036505754724585502,0.005117633868487104,0.2343734884152191,0.00027867778619095214,0.5209955394649174,64.92411467116358
Habitat,HUBER,prueba,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",593,0.004281676943129736,0.00650945799591951,0.23781720473037415,-0.0002710510056957165,0.5190063705413211,68.29679595278246
Habitat,LAD_Q50,entrenamiento,estatico,"{""alpha"": 0.0}",1779,0.003211906571371309,0.004475318537397976,0.2436643718526833,0.00013483910493410626,0.4963694253085814,66.61045531197301
Habitat,LAD_Q50,validacion,estatico,"{""alpha"": 0.0}",593,0.003699775813922843,0.005180248292016039,0.21552394460214486,0.00037642093419210364,0.5100554223017206,63.91231028667791
Habitat,LAD_Q50,prueba,estatico,"{""alpha"": 0.0}",593,0.004295301345758219,0.00653958710773134,0.23074533023363664,-0.00025928784997028456,0.5151543680981183,68.97133220910624
Habitat,ARDL_OLS,entrenamiento,ardl,{},1776,0.0028512453867296024,0.004017912765838871,0.38872853536606367,8.595476682767963e-20,0.6234809823611813,70.83333333333334
Habitat,ARDL_OLS,validacion,ardl,{},593,0.003565439837382024,0.00494695406496213,0.2845911716135937,0.0002563592885659538,0.5425263391713014,68.8026981450253
Habitat,ARDL_OLS,prueba,ardl,{},593,0.004282969002569393,0.006530814959654016,0.23280768979699218,-0.00016999380996130008,0.48482041814184024,66.27318718381113
Habitat,ARDL_RIDGE,entrenamiento,ardl,"{""alpha"": 0.001}",1776,0.0028512453420272495,0.004017912765839095,0.3887285353659955,1.4846732452053754e-19,0.6234809823611753,70.83333333333334
Habitat,ARDL_RIDGE,validacion,ardl,"{""alpha"": 0.001}",593,0.0035654398623400116,0.004946954119918931,0.2845911557183255,0.0002563592443229076,0.5425263514287435,68.8026981450253
