afp,modelo,segmento,tipo_features,parametros,n_publicacion,mape_cuota_5d_pct,mediana_error_abs_5d_pct,p90_error_abs_5d_pct,error_maximo_abs_5d_pct,sesgo_5d_pct,correlacion_retorno_acumulado,direccion_acumulada_pct
Habitat,OLS,entrenamiento,estatico,{},1777,0.6895617827692693,0.5235647181076164,1.3920463184750778,7.540292962814976,-0.022110491657073267,0.6560958310948024,74.62014631401239
Habitat,OLS,validacion,estatico,{},593,0.807009427774724,0.5822241957337049,1.6714728910579526,6.5855411614550885,0.0742982070128403,0.6268367302056175,71.16357504215851
Habitat,OLS,prueba,estatico,{},593,0.8564553868700489,0.5577270094840103,2.1175674776287394,5.767628730558972,-0.13275452270718946,0.5260776990738751,71.8381112984823
Habitat,RIDGE,entrenamiento,estatico,"{""alpha"": 0.001}",1777,0.6895618222487695,0.5235648286654015,1.392046372820235,7.540293652301711,-0.022110481092577714,0.6560958341407431,74.62014631401239
Habitat,RIDGE,validacion,estatico,"{""alpha"": 0.001}",593,0.807009465119461,0.5822242924046206,1.6714729663211172,6.585541164893738,0.07429820459788733,0.6268367480802155,71.16357504215851
Habitat,RIDGE,prueba,estatico,"{""alpha"": 0.001}",593,0.8564554142219674,0.5577270524801392,2.1175673770985464,5.767628312292128,-0.1327545333471089,0.5260776983963558,71.8381112984823
Habitat,ELASTIC_NET,entrenamiento,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",1777,0.6896067675403633,0.5237510082623187,1.3920951780189328,7.541102767433583,-0.02209979549998096,0.6560911094416658,74.62014631401239
Habitat,ELASTIC_NET,validacion,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",593,0.807069458169031,0.5823783977772612,1.671604741362971,6.585690048845061,0.07430194723004536,0.6268166674757202,71.16357504215851
Habitat,ELASTIC_NET,prueba,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",593,0.8564970015980692,0.5577896966380669,2.1174400887728377,5.766977342035295,-0.13277309617168565,0.5260761810583084,71.8381112984823
Habitat,HUBER,entrenamiento,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",1777,0.69261336409982,0.526720731185315,1.3987731187542087,7.623654199884156,-0.007736952301428947,0.6556042588757286,73.77602701181767
Habitat,HUBER,validacion,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",593,0.8123555303510703,0.5897600143980108,1.6909584417636534,6.614466480302239,0.08800553961726346,0.6253437239920253,71.66947723440134
Habitat,HUBER,prueba,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",593,0.8594831118699192,0.5540218030986477,2.1225750915518424,5.703112312782577,-0.11953775602895433,0.5255636679420861,72.00674536256324
Habitat,LAD_Q50,entrenamiento,estatico,"{""alpha"": 0.0}",1777,0.6981793847291026,0.5290879340227539,1.419246277350648,7.785148721326562,0.027993265211669078,0.6501933216312449,73.43837929093978
Habitat,LAD_Q50,validacion,estatico,"{""alpha"": 0.0}",593,0.8282701641607682,0.6046026597068987,1.722353176520771,6.729048226456569,0.1253254865511384,0.6049048906452209,70.65767284991568
Habitat,LAD_Q50,prueba,estatico,"{""alpha"": 0.0}",593,0.863120751396021,0.5631973216737585,2.1484530266860267,5.620356363789414,-0.11507969673943798,0.523454123363618,71.66947723440134
Habitat,ARDL_OLS,entrenamiento,ardl,{},1777,0.6233551410641885,0.4690325050406896,1.2942432315357528,5.335560778165971,-0.027385344132999187,0.6977070026273351,75.52054023635341
Habitat,ARDL_OLS,validacion,ardl,{},593,0.7523696268680959,0.5674820053293228,1.5235933232066363,6.510676192017351,0.08056873627312863,0.6418768710867844,75.54806070826307
Habitat,ARDL_OLS,prueba,ardl,{},593,0.8264012816506504,0.5594394264802238,2.0739325407144564,5.620598590109427,-0.1133968324087563,0.5064118835159278,74.03035413153457
