afp,modelo,n_modelo,n_ridge,n_cruce,fecha_inicio_modelo,fecha_fin_modelo,fecha_inicio_ridge,fecha_fin_ridge
Habitat,ARIMAX_000,593,593,593,2024-02-26,2026-06-30,2024-02-26,2026-06-30
Habitat,EW_RIDGE_HL60_A0.001,593,593,593,2024-02-26,2026-06-30,2024-02-26,2026-06-30
Habitat,ROLLING_RIDGE_W250_A0.001,593,593,593,2024-02-26,2026-06-30,2024-02-26,2026-06-30
Integra,ARIMAX_000,593,593,593,2024-02-26,2026-06-30,2024-02-26,2026-06-30
Integra,EW_RIDGE_HL120_A0.001,593,593,593,2024-02-26,2026-06-30,2024-02-26,2026-06-30
Integra,ROLLING_RIDGE_W1000_A0.001,593,593,593,2024-02-26,2026-06-30,2024-02-26,2026-06-30
Prima,ARIMAX_000,593,593,593,2024-02-26,2026-06-30,2024-02-26,2026-06-30
Prima,EW_RIDGE_HL250_A0.001,593,593,593,2024-02-26,2026-06-30,2024-02-26,2026-06-30
Prima,ROLLING_RIDGE_W1000_A0.001,593,593,593,2024-02-26,2026-06-30,2024-02-26,2026-06-30
Profuturo,ARIMAX_000,593,593,593,2024-02-26,2026-06-30,2024-02-26,2026-06-30
Profuturo,EW_RIDGE_HL250_A0.001,593,593,593,2024-02-26,2026-06-30,2024-02-26,2026-06-30
Profuturo,ROLLING_RIDGE_W1000_A0.001,593,593,593,2024-02-26,2026-06-30,2024-02-26,2026-06-30
