afp,modelo,familia,segmento,n_residuos,ljungbox_p_lag10,arch_lm_p_lag10,asimetria_residual,curtosis_exceso_residual
Habitat,ARIMAX_000,ARIMAX,validacion,593,0.00048675511299561006,8.459410382824097e-15,-0.4784545776847289,4.196691958282815
Habitat,ARIMAX_000,ARIMAX,prueba,593,0.6545676180184088,0.00010491952699268745,1.060692670601179,14.582372879813413
Habitat,EW_RIDGE_HL60_A0.001,EW_RIDGE,validacion,593,0.1334995626121868,6.221441892735311e-18,-0.36445326808524214,4.052502581551688
Habitat,EW_RIDGE_HL60_A0.001,EW_RIDGE,prueba,593,0.6245616387772475,0.3829096428342657,3.849180516251718,56.29998459815764
Habitat,ROLLING_RIDGE_W250_A0.001,ROLLING_RIDGE,validacion,593,0.11441044425990714,3.605795759722762e-16,-0.3973864910548634,3.8266137060846326
Habitat,ROLLING_RIDGE_W250_A0.001,ROLLING_RIDGE,prueba,593,0.8529643470236291,0.3471910192734068,3.0912856645526134,43.18827171689767
Integra,ARIMAX_000,ARIMAX,validacion,593,0.17218476421814052,0.9999999199312539,4.716322876120498,74.14873211059734
Integra,ARIMAX_000,ARIMAX,prueba,593,0.28193227652490793,6.119986388126479e-13,0.0804663699198423,5.182090523337385
Integra,EW_RIDGE_HL120_A0.001,EW_RIDGE,validacion,593,0.22795001237847448,0.9999934499979218,4.734746788250522,71.54584335009635
Integra,EW_RIDGE_HL120_A0.001,EW_RIDGE,prueba,593,0.3595882881075656,3.6880764756010373e-07,0.9779986552147382,14.612917410324144
Integra,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,validacion,593,0.19008774312639734,0.9999987913185414,4.515663886995858,67.69453266211437
Integra,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,prueba,593,0.2693988588093109,3.0058212281989983e-12,0.28401297152486166,6.482992309434014
Prima,ARIMAX_000,ARIMAX,validacion,593,0.09275184307370482,1.1475091833687744e-08,-0.07990789235839209,3.5268084070763726
Prima,ARIMAX_000,ARIMAX,prueba,593,0.4310553624494476,0.0012702379337449932,-0.37708224040622423,11.683176199873165
Prima,EW_RIDGE_HL250_A0.001,EW_RIDGE,validacion,593,0.4638425652386937,5.904945290848593e-06,0.014825175818672508,2.9609179077446335
Prima,EW_RIDGE_HL250_A0.001,EW_RIDGE,prueba,593,0.7614168823777487,0.009838113456313325,0.4089528072378414,20.772653163657292
Prima,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,validacion,593,0.6019008093333831,4.6034972067463905e-06,0.022624088418415296,2.615861812549131
Prima,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,prueba,593,0.5888308943514657,0.004329844209424858,0.044699390500332316,15.376957178185148
Profuturo,ARIMAX_000,ARIMAX,validacion,593,0.1859774923738873,1.138385206132039e-09,-0.07401500357314376,3.412988103264828
Profuturo,ARIMAX_000,ARIMAX,prueba,593,0.155518285552937,6.186468608546213e-12,-0.17409217591823778,4.094316662723227
Profuturo,EW_RIDGE_HL250_A0.001,EW_RIDGE,validacion,593,0.6677258383447888,1.9906923303161442e-06,0.04554878219571858,2.420264872343699
Profuturo,EW_RIDGE_HL250_A0.001,EW_RIDGE,prueba,593,0.2544434265682093,8.746017330710953e-08,0.1811958619934179,6.064590140595497
Profuturo,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,validacion,593,0.660346477002609,4.849879345042899e-07,0.020746369910950014,2.2622596727994715
Profuturo,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,prueba,593,0.19840780690619297,3.1881210069908033e-10,-0.055794632545433584,4.415984155481565
