afp,modelo,familia,segmento,parametros,n,mae,rmse,r2,sesgo,desviacion_residual,varianza_residual,correlacion,direccion_diaria_pct
Habitat,ARIMAX_000,ARIMAX,validacion,"{""order"": [0, 0, 0]}",593,0.003631273156965986,0.005095302808545798,0.2410406121645251,0.00024236260076997165,0.005093832228775844,2.5947126774915483e-05,0.5226910234842456,65.26138279932546
Habitat,ARIMAX_000,ARIMAX,prueba,"{""order"": [0, 0, 0]}",593,0.004269905470440453,0.006487796764320707,0.24288132790884465,-0.0003058286684881031,0.006486055674071001,4.206891820714863e-05,0.5193268654821416,67.79089376053963
Habitat,EW_RIDGE_HL60_A0.001,EW_RIDGE,validacion,"{""alpha"": 0.001, ""half_life"": 60}",593,0.0035171425217805415,0.00489430156855879,0.2997389178133787,7.870675248555795e-06,0.004898427191147069,2.399458894696896e-05,0.5491820861684936,66.94772344013491
Habitat,EW_RIDGE_HL60_A0.001,EW_RIDGE,prueba,"{""alpha"": 0.001, ""half_life"": 60}",593,0.003982848908138418,0.006514599973603347,0.23661259604156393,-0.00022065410394735626,0.0065163587646540795,4.2462931549684045e-05,0.4956471663014546,66.61045531197301
Habitat,ROLLING_RIDGE_W250_A0.001,ROLLING_RIDGE,validacion,"{""alpha"": 0.001, ""ventana"": 250}",593,0.00355946646589178,0.004935420871512372,0.28792305231733717,-2.7856044229417142e-05,0.00493950886422863,2.4398747819793207e-05,0.5398490279111319,66.61045531197301
Habitat,ROLLING_RIDGE_W250_A0.001,ROLLING_RIDGE,prueba,"{""alpha"": 0.001, ""ventana"": 250}",593,0.004041884822079213,0.00645184681864345,0.2512487183740878,-0.00029373756665441444,0.006450598003994959,4.1610214609143746e-05,0.5028764508807452,66.61045531197301
Integra,ARIMAX_000,ARIMAX,validacion,"{""order"": [0, 0, 0]}",593,0.0033633115757628063,0.0055616754944236005,0.15089248059876725,0.0003368612422405721,0.0055561513228989815,3.08708175229521e-05,0.39333588831443533,63.06913996627319
Integra,ARIMAX_000,ARIMAX,prueba,"{""order"": [0, 0, 0]}",593,0.004793714622729837,0.006994920822357165,0.2183134060194203,-5.535517692090307e-05,0.007000606983511382,4.900849813758834e-05,0.505521600813055,66.27318718381113
Integra,EW_RIDGE_HL120_A0.001,EW_RIDGE,validacion,"{""alpha"": 0.001, ""half_life"": 120}",593,0.003392699369244297,0.0055261018856149705,0.16171987154547318,0.00013077565335449883,0.0055292183005194945,3.057225501479969e-05,0.41227713927843646,64.08094435075886
Integra,EW_RIDGE_HL120_A0.001,EW_RIDGE,prueba,"{""alpha"": 0.001, ""half_life"": 120}",593,0.00457782294734971,0.006839522760516958,0.2526592626283277,-0.00021799543686260747,0.0068418190570551565,4.681048800948311e-05,0.5076148448458692,64.2495784148398
Integra,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,validacion,"{""alpha"": 0.001, ""ventana"": 1000}",593,0.003508517157646168,0.00559183138409591,0.14165964758675242,0.0002502705640287202,0.0055909440718254514,3.1258655614280155e-05,0.39273237171723757,62.731871838111296
Integra,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,prueba,"{""alpha"": 0.001, ""ventana"": 1000}",593,0.004793704600327459,0.006966032693864089,0.22475660503875172,-0.00019456410571251035,0.006969193733460345,4.856966129450294e-05,0.4975749540158028,63.91231028667791
Prima,ARIMAX_000,ARIMAX,validacion,"{""order"": [0, 0, 0]}",593,0.0031179877235206505,0.004359679950646402,0.20091391128204505,0.00033903887037021254,0.004350146416542692,1.8923773845359223e-05,0.4549520868280184,65.59865092748736
Prima,ARIMAX_000,ARIMAX,prueba,"{""order"": [0, 0, 0]}",593,0.004580066396939317,0.0071498509805652056,0.27328992879375,-0.00011652927301419573,0.007154936688045272,5.119311900993625e-05,0.567006627941982,68.63406408094434
Prima,EW_RIDGE_HL250_A0.001,EW_RIDGE,validacion,"{""alpha"": 0.001, ""half_life"": 250}",593,0.0031166559231239526,0.004285060892693232,0.22803368699945215,0.00020563490213760158,0.004283737407547656,1.8350406176823114e-05,0.486652451569582,65.7672849915683
Prima,EW_RIDGE_HL250_A0.001,EW_RIDGE,prueba,"{""alpha"": 0.001, ""half_life"": 250}",593,0.004280107595434032,0.0068162854460525925,0.3395153378789899,-0.0003431119667010155,0.006813391613609874,4.642230528040936e-05,0.5986853451886083,66.61045531197301
Prima,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,validacion,"{""alpha"": 0.001, ""ventana"": 1000}",593,0.0032052347926626945,0.004350232143388496,0.20437353726396978,0.00024764217655457745,0.004346844436547251,1.8895056555541793e-05,0.4730753160777348,66.61045531197301
Prima,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,prueba,"{""alpha"": 0.001, ""ventana"": 1000}",593,0.004444999460223221,0.006959019937975071,0.311564336764946,-0.0003131585078209374,0.006957839361054001,4.841152857423236e-05,0.5874823210223293,64.92411467116358
Profuturo,ARIMAX_000,ARIMAX,validacion,"{""order"": [0, 0, 0]}",593,0.0034067997495436193,0.0047351486495173225,0.1738127013600106,0.0003191699558071664,0.004728368172547551,2.235746557516067e-05,0.42179668884831795,63.23777403035413
Profuturo,ARIMAX_000,ARIMAX,prueba,"{""order"": [0, 0, 0]}",593,0.004920095226256134,0.007193575961950579,0.23054089646117049,1.107243237233048e-05,0.00719964052515086,5.183482369139454e-05,0.5304857127410315,66.27318718381113
Profuturo,EW_RIDGE_HL250_A0.001,EW_RIDGE,validacion,"{""alpha"": 0.001, ""half_life"": 250}",593,0.0034608249182424933,0.004708879197383054,0.18295424535960791,0.00019231027655893423,0.004708922689002676,2.2173952891004196e-05,0.4432003564560178,63.40640809443507
Profuturo,EW_RIDGE_HL250_A0.001,EW_RIDGE,prueba,"{""alpha"": 0.001, ""half_life"": 250}",593,0.004756038754406456,0.006941157306792442,0.28359328483971824,-0.00015265562123622988,0.00694533701294379,4.8237706223366976e-05,0.5618538058996868,64.2495784148398
Profuturo,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,validacion,"{""alpha"": 0.001, ""ventana"": 1000}",593,0.0035403058195599534,0.0047829772574977045,0.15703816728515818,0.00025375098296747674,0.004780273682767648,2.285101648216097e-05,0.4256681858176802,63.06913996627319
Profuturo,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,prueba,"{""alpha"": 0.001, ""ventana"": 1000}",593,0.004913790797694214,0.007137020918198399,0.24259212982646206,-0.00011847073076341043,0.007142062090765507,5.100905090834977e-05,0.5320316960615621,63.74367622259697
Habitat,RIDGE,REFERENCIA,validacion,"{""alpha"": 0.001}",593,0.0036340093203537,0.0050995084716053,0.2397872049031288,0.0002430412129457,,,0.5213481955198007,65.26138279932546
Habitat,RIDGE,REFERENCIA,prueba,"{""alpha"": 0.001}",593,0.0042702054870055,0.0064894092177861,0.2425049380865871,-0.0003071698120596,,,0.51907336799924,67.95952782462057
Integra,RIDGE,REFERENCIA,validacion,"{""alpha"": 0.001}",593,0.0033621602250447,0.0055618530363931,0.1508382686521258,0.00033698146959,,,0.3933603117707435,63.06913996627319
Integra,RIDGE,REFERENCIA,prueba,"{""alpha"": 0.001}",593,0.0047940485754412,0.0069962211475454,0.218022754768379,-5.601566578379838e-05,,,0.5055053301069227,66.27318718381113
Prima,RIDGE,REFERENCIA,validacion,"{""alpha"": 0.001}",593,0.0031161460096836,0.0043583757100922,0.2013919484787217,0.0003406912625686,,,0.4554167269191953,65.7672849915683
Prima,RIDGE,REFERENCIA,prueba,"{""alpha"": 0.001}",593,0.0045783830394452,0.0071488901887089,0.2734852252292113,-0.0001175601931194,,,0.5672907125181123,68.63406408094434
Profuturo,RIDGE,REFERENCIA,validacion,"{""alpha"": 0.001}",593,0.0034054881640055,0.0047348695532311,0.173910091760288,0.0003192668179174,,,0.4218391875008043,63.23777403035413
Profuturo,RIDGE,REFERENCIA,prueba,"{""alpha"": 0.001}",593,0.0049209105216636,0.0071956310934004,0.2301011803873344,1.0330715494319152e-05,,,0.5304639259716886,66.27318718381113
