afp,modelo,familia,segmento,parametros,n_publicacion,mape_cuota_5d_pct,mediana_error_abs_5d_pct,p90_error_abs_5d_pct,error_maximo_abs_5d_pct,sesgo_5d_pct,correlacion_retorno_acumulado,direccion_acumulada_pct
Habitat,ARIMAX_000,ARIMAX,validacion,"{""order"": [0, 0, 0]}",593,0.8059757630236511,0.582963076573273,1.6689682537989594,6.5774336821230905,0.07429486899349283,0.6291942072519418,71.50084317032041
Habitat,ARIMAX_000,ARIMAX,prueba,"{""order"": [0, 0, 0]}",593,0.8563679296257263,0.5615781986473722,2.1138155193175523,5.7723359174391975,-0.13272113924080112,0.5261695631918155,71.66947723440134
Habitat,EW_RIDGE_HL60_A0.001,EW_RIDGE,validacion,"{""alpha"": 0.001, ""half_life"": 60}",593,0.741083543092443,0.5532529851571155,1.5343980290139903,5.793767161366148,-0.02712308428477077,0.65597625927109,72.68128161888701
Habitat,EW_RIDGE_HL60_A0.001,EW_RIDGE,prueba,"{""alpha"": 0.001, ""half_life"": 60}",593,0.8031782094698549,0.5409990364857453,1.8420098602777029,8.404292312307982,-0.11586872794522889,0.47214191600989774,72.51264755480608
Habitat,ROLLING_RIDGE_W250_A0.001,ROLLING_RIDGE,validacion,"{""alpha"": 0.001, ""ventana"": 250}",593,0.7341774995802487,0.5361615409345877,1.545968983183078,5.928082856394701,-0.03630260329400807,0.6581570109415268,74.03035413153457
Habitat,ROLLING_RIDGE_W250_A0.001,ROLLING_RIDGE,prueba,"{""alpha"": 0.001, ""ventana"": 250}",593,0.8175907477251939,0.5579739075933898,1.9654220265226594,7.779312221722345,-0.1392996544127745,0.47718393836577255,72.00674536256324
Integra,ARIMAX_000,ARIMAX,validacion,"{""order"": [0, 0, 0]}",593,0.7086803692089835,0.4961725962921548,1.4539775410860631,9.149787077914462,0.0934244554910336,0.5369875738854123,70.48903878583474
Integra,ARIMAX_000,ARIMAX,prueba,"{""order"": [0, 0, 0]}",593,0.9123637946423079,0.6074607453859571,2.2442430434359126,6.4498033159421375,-0.042156481180368494,0.5231315639972903,68.8026981450253
Integra,EW_RIDGE_HL120_A0.001,EW_RIDGE,validacion,"{""alpha"": 0.001, ""half_life"": 120}",593,0.6815917664372464,0.4730575006058335,1.3901662453332888,9.123495429134987,0.01193390005113782,0.5511770940042993,70.99494097807757
Integra,EW_RIDGE_HL120_A0.001,EW_RIDGE,prueba,"{""alpha"": 0.001, ""half_life"": 120}",593,0.8909807340011332,0.6319858717777072,2.0874772904450216,6.221121064120871,-0.11344792039804802,0.5011242522411813,67.62225969645868
Integra,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,validacion,"{""alpha"": 0.001, ""ventana"": 1000}",593,0.6806887710239217,0.4589646373029499,1.350711989314136,9.039514865953723,0.050761155294630995,0.5589557341689891,71.50084317032041
Integra,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,prueba,"{""alpha"": 0.001, ""ventana"": 1000}",593,0.9214330840126782,0.6356702663622205,2.2498232060657,6.492451817166223,-0.09532329912305239,0.5008621006088948,67.11635750421586
Prima,ARIMAX_000,ARIMAX,validacion,"{""order"": [0, 0, 0]}",593,0.6553415286629545,0.4880946495701588,1.4170389770448741,6.204805517888423,0.10323794663276428,0.5962897393343763,70.48903878583474
Prima,ARIMAX_000,ARIMAX,prueba,"{""order"": [0, 0, 0]}",593,0.8996535365406536,0.5800812871056493,2.209181266925905,7.394226676559734,-0.04851134003435743,0.5317549080096775,73.52445193929174
Prima,EW_RIDGE_HL250_A0.001,EW_RIDGE,validacion,"{""alpha"": 0.001, ""half_life"": 250}",593,0.6292545652608367,0.478102011419379,1.339677791753391,5.591001300047749,0.05198958022215255,0.6372546311078962,71.50084317032041
Prima,EW_RIDGE_HL250_A0.001,EW_RIDGE,prueba,"{""alpha"": 0.001, ""half_life"": 250}",593,0.885044174170895,0.5604819531582983,2.144105978247895,7.294599347992925,-0.14236368596319623,0.50719071938616,73.86172006745363
Prima,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,validacion,"{""alpha"": 0.001, ""ventana"": 1000}",593,0.6203992332859596,0.4775087096202113,1.3230486487871447,5.635019376294204,0.06340028240527826,0.6452797728422387,71.8381112984823
Prima,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,prueba,"{""alpha"": 0.001, ""ventana"": 1000}",593,0.905488730012702,0.574242266723779,2.224279865904375,7.3491770632091,-0.12713579735147132,0.4958593573981523,71.66947723440134
Profuturo,ARIMAX_000,ARIMAX,validacion,"{""order"": [0, 0, 0]}",593,0.6958552926142011,0.5209102545945088,1.5254091178022753,6.481177954224204,0.09396188873345904,0.6051681938483502,72.17537942664418
Profuturo,ARIMAX_000,ARIMAX,prueba,"{""order"": [0, 0, 0]}",593,0.9622156342366933,0.687455315398966,2.3075003161817644,6.425904856033826,-0.01764880570968214,0.5489434827550184,69.47723440134908
Profuturo,EW_RIDGE_HL250_A0.001,EW_RIDGE,validacion,"{""alpha"": 0.001, ""half_life"": 250}",593,0.6678747339984191,0.4981170434883664,1.4217648560819296,5.984945358400728,0.0400448968893301,0.6344420988438909,71.8381112984823
Profuturo,EW_RIDGE_HL250_A0.001,EW_RIDGE,prueba,"{""alpha"": 0.001, ""half_life"": 250}",593,0.9417952758705331,0.6936213922009271,2.1086284033616622,6.294784926998154,-0.08363709975091352,0.5285662062945147,69.13996627318718
Profuturo,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,validacion,"{""alpha"": 0.001, ""ventana"": 1000}",593,0.6649939230662636,0.5035693521248996,1.414925603649835,6.029524321511759,0.059561862117010506,0.634706032842568,73.69308600337267
Profuturo,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,prueba,"{""alpha"": 0.001, ""ventana"": 1000}",593,0.970585570313139,0.7136363394421252,2.290041612145523,6.437209623679507,-0.06683443325937527,0.5228388771836507,68.29679595278246
Habitat,RIDGE,REFERENCIA,validacion,"{""alpha"": 0.001}",593,0.807009465119461,0.5822242924046206,1.6714729663211172,6.585541164893738,0.0742982045978873,0.6268367480802155,71.16357504215851
Habitat,RIDGE,REFERENCIA,prueba,"{""alpha"": 0.001}",593,0.8564554142219674,0.5577270524801392,2.1175673770985464,5.767628312292128,-0.1327545333471089,0.5260776983963558,71.8381112984823
Integra,RIDGE,REFERENCIA,validacion,"{""alpha"": 0.001}",593,0.7089865267731725,0.4970453576610634,1.454665367793183,9.150412440277444,0.0938069914603818,0.536972711383695,70.48903878583474
Integra,RIDGE,REFERENCIA,prueba,"{""alpha"": 0.001}",593,0.912515404669736,0.6077024202319814,2.245417525962893,6.44948627971802,-0.0419157242781022,0.5230522479726407,68.8026981450253
Prima,RIDGE,REFERENCIA,validacion,"{""alpha"": 0.001}",593,0.6556811008283971,0.4887523217212752,1.4128779805453335,6.206556733844604,0.1045652994893196,0.5961578080272805,71.16357504215851
Prima,RIDGE,REFERENCIA,prueba,"{""alpha"": 0.001}",593,0.899592521925842,0.5778455805015792,2.209390822387657,7.393705930224925,-0.0487307488594731,0.531353467682963,73.69308600337267
Profuturo,RIDGE,REFERENCIA,validacion,"{""alpha"": 0.001}",593,0.6962678090545705,0.5204809440094493,1.526522916108931,6.484953861012377,0.0941879566028203,0.6052034285716678,72.17537942664418
Profuturo,RIDGE,REFERENCIA,prueba,"{""alpha"": 0.001}",593,0.9624230488512732,0.6882453083174034,2.308027148842686,6.425455659112567,-0.0173137470797662,0.5488409775536202,69.81450252951096
