afp,modelo,familia,segmento,parametros,n_publicacion,mape_cuota_5d_pct,mediana_error_abs_5d_pct,p90_error_abs_5d_pct,error_maximo_abs_5d_pct,sesgo_5d_pct,correlacion_retorno_acumulado,direccion_acumulada_pct,ranking_mape_prueba
Habitat,EW_RIDGE_HL60_A0.001,EW_RIDGE,prueba,"{""alpha"": 0.001, ""half_life"": 60}",593,0.8031782094698549,0.5409990364857453,1.8420098602777029,8.404292312307982,-0.11586872794522889,0.47214191600989774,72.51264755480608,1.0
Habitat,ROLLING_RIDGE_W250_A0.001,ROLLING_RIDGE,prueba,"{""alpha"": 0.001, ""ventana"": 250}",593,0.8175907477251939,0.5579739075933898,1.9654220265226594,7.779312221722345,-0.1392996544127745,0.47718393836577255,72.00674536256324,2.0
Habitat,ARIMAX_000,ARIMAX,prueba,"{""order"": [0, 0, 0]}",593,0.8563679296257263,0.5615781986473722,2.1138155193175523,5.7723359174391975,-0.13272113924080112,0.5261695631918155,71.66947723440134,3.0
Habitat,RIDGE,REFERENCIA,prueba,"{""alpha"": 0.001}",593,0.8564554142219674,0.5577270524801392,2.1175673770985464,5.767628312292128,-0.1327545333471089,0.5260776983963558,71.8381112984823,4.0
Integra,EW_RIDGE_HL120_A0.001,EW_RIDGE,prueba,"{""alpha"": 0.001, ""half_life"": 120}",593,0.8909807340011332,0.6319858717777072,2.0874772904450216,6.221121064120871,-0.11344792039804802,0.5011242522411813,67.62225969645868,1.0
Integra,ARIMAX_000,ARIMAX,prueba,"{""order"": [0, 0, 0]}",593,0.9123637946423079,0.6074607453859571,2.2442430434359126,6.4498033159421375,-0.042156481180368494,0.5231315639972903,68.8026981450253,2.0
Integra,RIDGE,REFERENCIA,prueba,"{""alpha"": 0.001}",593,0.912515404669736,0.6077024202319814,2.245417525962893,6.44948627971802,-0.0419157242781022,0.5230522479726407,68.8026981450253,3.0
Integra,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,prueba,"{""alpha"": 0.001, ""ventana"": 1000}",593,0.9214330840126782,0.6356702663622205,2.2498232060657,6.492451817166223,-0.09532329912305239,0.5008621006088948,67.11635750421586,4.0
Prima,EW_RIDGE_HL250_A0.001,EW_RIDGE,prueba,"{""alpha"": 0.001, ""half_life"": 250}",593,0.885044174170895,0.5604819531582983,2.144105978247895,7.294599347992925,-0.14236368596319623,0.50719071938616,73.86172006745363,1.0
Prima,RIDGE,REFERENCIA,prueba,"{""alpha"": 0.001}",593,0.899592521925842,0.5778455805015792,2.209390822387657,7.393705930224925,-0.0487307488594731,0.531353467682963,73.69308600337267,2.0
Prima,ARIMAX_000,ARIMAX,prueba,"{""order"": [0, 0, 0]}",593,0.8996535365406536,0.5800812871056493,2.209181266925905,7.394226676559734,-0.04851134003435743,0.5317549080096775,73.52445193929174,3.0
Prima,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,prueba,"{""alpha"": 0.001, ""ventana"": 1000}",593,0.905488730012702,0.574242266723779,2.224279865904375,7.3491770632091,-0.12713579735147132,0.4958593573981523,71.66947723440134,4.0
Profuturo,EW_RIDGE_HL250_A0.001,EW_RIDGE,prueba,"{""alpha"": 0.001, ""half_life"": 250}",593,0.9417952758705331,0.6936213922009271,2.1086284033616622,6.294784926998154,-0.08363709975091352,0.5285662062945147,69.13996627318718,1.0
Profuturo,ARIMAX_000,ARIMAX,prueba,"{""order"": [0, 0, 0]}",593,0.9622156342366933,0.687455315398966,2.3075003161817644,6.425904856033826,-0.01764880570968214,0.5489434827550184,69.47723440134908,2.0
Profuturo,RIDGE,REFERENCIA,prueba,"{""alpha"": 0.001}",593,0.9624230488512732,0.6882453083174034,2.308027148842686,6.425455659112567,-0.0173137470797662,0.5488409775536202,69.81450252951096,3.0
Profuturo,ROLLING_RIDGE_W1000_A0.001,ROLLING_RIDGE,prueba,"{""alpha"": 0.001, ""ventana"": 1000}",593,0.970585570313139,0.7136363394421252,2.290041612145523,6.437209623679507,-0.06683443325937527,0.5228388771836507,68.29679595278246,4.0
