afp,familia,modelo,parametros,val_mae,val_rmse,val_r2,val_mape_5d_pct,val_p90_5d_pct,estado,seleccionado_familia
Habitat,ARIMAX,ARIMAX_000,"{""order"": [0, 0, 0]}",0.003631273156965986,0.005095302808545798,0.2410406121645251,0.8059757630236511,1.6689682537989594,CORRECTO,True
Habitat,ARIMAX,ARIMAX_100,"{""order"": [1, 0, 0]}",0.003634649459507317,0.005068462714176351,0.249015364703688,0.8176163982943572,1.6968260306906173,CORRECTO,False
Habitat,ARIMAX,ARIMAX_200,"{""order"": [2, 0, 0]}",0.003619437532704353,0.005065903956534605,0.24977342596862584,0.8165004605605609,1.6667302107587163,CORRECTO,False
Habitat,ARIMAX,ARIMAX_101,"{""order"": [1, 0, 1]}",0.0036314142566334206,0.0050632785021280345,0.2505508490217103,0.8168019722527092,1.6693309875827602,CORRECTO,False
Habitat,ROLLING_RIDGE,ROLLING_RIDGE_W120_A0.001,"{""alpha"": 0.001, ""ventana"": 120}",0.0035269554318368914,0.004890680199835787,0.30077480224693853,0.7488398175309802,1.5671785710731072,CORRECTO,False
Habitat,ROLLING_RIDGE,ROLLING_RIDGE_W120_A0.1,"{""alpha"": 0.1, ""ventana"": 120}",0.0035267179002841254,0.0048905005212423365,0.30082617894181063,0.748913469240923,1.5669615840833997,CORRECTO,False
Habitat,ROLLING_RIDGE,ROLLING_RIDGE_W120_A10,"{""alpha"": 10.0, ""ventana"": 120}",0.003513906755012656,0.004880975389441846,0.30354706088937244,0.7565349626407528,1.5650282247490623,CORRECTO,False
Habitat,ROLLING_RIDGE,ROLLING_RIDGE_W250_A0.001,"{""alpha"": 0.001, ""ventana"": 250}",0.00355946646589178,0.004935420871512372,0.28792305231733717,0.7341774995802487,1.545968983183078,CORRECTO,True
Habitat,ROLLING_RIDGE,ROLLING_RIDGE_W250_A0.1,"{""alpha"": 0.1, ""ventana"": 250}",0.0035593082974107078,0.0049353142260710305,0.28795382535245284,0.7342123096933848,1.5464128878756578,CORRECTO,False
Habitat,ROLLING_RIDGE,ROLLING_RIDGE_W250_A10,"{""alpha"": 10.0, ""ventana"": 250}",0.0035445743865479256,0.004926809457697927,0.29040577458944306,0.7377643825956011,1.5419749546097699,CORRECTO,False
Habitat,ROLLING_RIDGE,ROLLING_RIDGE_W500_A0.001,"{""alpha"": 0.001, ""ventana"": 500}",0.0036071914643872145,0.005005185282008923,0.2676497108209689,0.754417648803482,1.532262483903915,CORRECTO,False
Habitat,ROLLING_RIDGE,ROLLING_RIDGE_W500_A0.1,"{""alpha"": 0.1, ""ventana"": 500}",0.0036071263945620462,0.0050051682861964346,0.2676546844098999,0.7544372961311516,1.5324048022384456,CORRECTO,False
Habitat,ROLLING_RIDGE,ROLLING_RIDGE_W500_A10,"{""alpha"": 10.0, ""ventana"": 500}",0.0036012434665561107,0.00500383376235912,0.26804516158560276,0.7563911654283082,1.535843777849767,CORRECTO,False
Habitat,ROLLING_RIDGE,ROLLING_RIDGE_W1000_A0.001,"{""alpha"": 0.001, ""ventana"": 1000}",0.0035731637973845523,0.00499261907110681,0.2713224282660004,0.7659227979888485,1.55414551467199,CORRECTO,False
Habitat,ROLLING_RIDGE,ROLLING_RIDGE_W1000_A0.1,"{""alpha"": 0.1, ""ventana"": 1000}",0.003573167544707987,0.004992636646812909,0.2713172978744356,0.7659331117955425,1.55419518846603,CORRECTO,False
Habitat,ROLLING_RIDGE,ROLLING_RIDGE_W1000_A10,"{""alpha"": 10.0, ""ventana"": 1000}",0.003573576802135065,0.004994427990343833,0.2707943055921582,0.7669544091181035,1.5591003912837926,CORRECTO,False
Habitat,EW_RIDGE,EW_RIDGE_HL60_A0.001,"{""alpha"": 0.001, ""half_life"": 60}",0.0035171425217805415,0.00489430156855879,0.2997389178133787,0.741083543092443,1.5343980290139903,CORRECTO,True
